[10.0134716   6.52907324 10.01178455  9.29536057  8.84560966  9.72538948
  8.99744034  8.37508392  9.56919765  8.73225498]
    batch_train_loss: inf, original=inf, J3=inf
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
    batch_train_loss: nan, original=nan, J3=nan
