[5.17375591 3.39157877 5.23441818 4.91311867 4.60903667 5.02325001
 4.74201412 4.44408092 4.9924118  4.50090683]
    batch_train_loss: 2.3063, original=2.3063, J3=0.0003, J5=0.0000
    batch_train_loss: 2.3089, original=2.3089, J3=0.0004, J5=0.0000
    batch_train_loss: 2.3036, original=2.3036, J3=0.0003, J5=0.0000
    batch_train_loss: 2.3039, original=2.3039, J3=0.0004, J5=0.0000
    batch_train_loss: 2.3106, original=2.3106, J3=0.0003, J5=0.0000
    batch_train_loss: 2.3196, original=2.3196, J3=0.0003, J5=0.0000
    batch_train_loss: 2.3090, original=2.3090, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2988, original=2.2988, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2958, original=2.2958, J3=0.0003, J5=0.0000
    batch_train_loss: 2.3099, original=2.3099, J3=0.0004, J5=0.0000
    batch_train_loss: 2.3088, original=2.3088, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2966, original=2.2966, J3=0.0003, J5=0.0000
    batch_train_loss: 2.3048, original=2.3048, J3=0.0004, J5=0.0000
    batch_train_loss: 2.3043, original=2.3043, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2993, original=2.2993, J3=0.0003, J5=0.0000
    batch_train_loss: 2.3039, original=2.3039, J3=0.0004, J5=0.0000
    batch_train_loss: 2.3010, original=2.3010, J3=0.0004, J5=0.0000
    batch_train_loss: 2.3003, original=2.3003, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2952, original=2.2952, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2982, original=2.2982, J3=0.0003, J5=0.0000
(num=200,lam=0.0001,coef=0.52)epoch=0, trainloss=2.304, testloss=['2.351', '2.266', '2.252', '2.373', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.374', '9.981', '0.000', '0.000', '0.000', '0.104', '85.117', '0.205', '5.550']
    batch_train_loss: 2.2953, original=2.2953, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2969, original=2.2969, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2963, original=2.2963, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2958, original=2.2958, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2933, original=2.2933, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2983, original=2.2983, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2979, original=2.2979, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2971, original=2.2971, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2863, original=2.2863, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2877, original=2.2877, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2904, original=2.2904, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2866, original=2.2866, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2943, original=2.2943, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2932, original=2.2932, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2839, original=2.2839, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2889, original=2.2889, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2896, original=2.2896, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2829, original=2.2829, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2831, original=2.2831, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2840, original=2.2840, J3=0.0004, J5=0.0000
(num=200,lam=0.0001,coef=0.52)epoch=1, trainloss=2.291, testloss=['2.314', '2.277', '2.241', '2.347', '2.284', '2.337', '2.264', '2.238', '2.264', '2.256'], testacc=['0.000', '9.604', '43.702', '0.000', '2.037', '0.000', '2.296', '84.047', '4.723', '30.624']
    batch_train_loss: 2.2849, original=2.2849, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2793, original=2.2793, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2804, original=2.2804, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2771, original=2.2771, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2768, original=2.2768, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2808, original=2.2808, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2767, original=2.2767, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2819, original=2.2819, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2741, original=2.2741, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2756, original=2.2756, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2749, original=2.2749, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2765, original=2.2765, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2718, original=2.2718, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2693, original=2.2693, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2748, original=2.2748, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2701, original=2.2701, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2810, original=2.2810, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2679, original=2.2679, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2683, original=2.2683, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2733, original=2.2733, J3=0.0004, J5=0.0000
(num=200,lam=0.0001,coef=0.52)epoch=2, trainloss=2.276, testloss=['2.262', '2.278', '2.225', '2.321', '2.273', '2.337', '2.247', '2.235', '2.242', '2.243'], testacc=['1.429', '9.339', '68.120', '0.000', '7.637', '0.000', '9.290', '72.568', '39.220', '61.943']
    batch_train_loss: 2.2731, original=2.2731, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2619, original=2.2619, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2616, original=2.2616, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2685, original=2.2685, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2662, original=2.2662, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2540, original=2.2540, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2654, original=2.2654, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2643, original=2.2643, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2586, original=2.2586, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2583, original=2.2583, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2581, original=2.2581, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2511, original=2.2511, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2532, original=2.2532, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2578, original=2.2578, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2579, original=2.2579, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2589, original=2.2589, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2613, original=2.2613, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2507, original=2.2507, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2491, original=2.2491, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2526, original=2.2526, J3=0.0004, J5=0.0000
(num=200,lam=0.0001,coef=0.52)epoch=3, trainloss=2.259, testloss=['2.221', '2.277', '2.215', '2.287', '2.262', '2.325', '2.222', '2.229', '2.217', '2.230'], testacc=['52.959', '8.811', '64.632', '1.584', '13.747', '0.000', '39.144', '66.537', '83.060', '72.151']
    batch_train_loss: 2.2400, original=2.2400, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2535, original=2.2535, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2429, original=2.2429, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2466, original=2.2466, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2462, original=2.2462, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2460, original=2.2460, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2473, original=2.2473, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2395, original=2.2395, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2461, original=2.2461, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2446, original=2.2446, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2448, original=2.2448, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2393, original=2.2393, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2400, original=2.2400, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2369, original=2.2369, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2322, original=2.2322, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2294, original=2.2294, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2307, original=2.2307, J3=0.0005, J5=0.0000
    batch_train_loss: 2.2367, original=2.2367, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2321, original=2.2321, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2298, original=2.2298, J3=0.0004, J5=0.0000
(num=200,lam=0.0001,coef=0.52)epoch=4, trainloss=2.240, testloss=['2.162', '2.277', '2.202', '2.259', '2.239', '2.311', '2.198', '2.223', '2.186', '2.224'], testacc=['91.735', '5.815', '58.915', '7.129', '34.318', '0.448', '64.927', '65.467', '96.304', '54.410']
    batch_train_loss: 2.2280, original=2.2280, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2304, original=2.2304, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2264, original=2.2264, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2274, original=2.2274, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2304, original=2.2304, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2210, original=2.2210, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2219, original=2.2219, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2191, original=2.2191, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2228, original=2.2228, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2180, original=2.2180, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2241, original=2.2241, J3=0.0004, J5=0.0000
