[5.27325122 3.45680144 5.33508007 5.00760172 4.697672   5.11985097
 4.8332067  4.52954402 5.08841972 4.58746273]
    batch_train_loss: 2.3063, original=2.3063, J3=0.0004, J5=0.0000
    batch_train_loss: 2.3089, original=2.3089, J3=0.0004, J5=0.0000
    batch_train_loss: 2.3037, original=2.3037, J3=0.0004, J5=0.0000
    batch_train_loss: 2.3040, original=2.3040, J3=0.0004, J5=0.0000
    batch_train_loss: 2.3107, original=2.3107, J3=0.0004, J5=0.0000
    batch_train_loss: 2.3197, original=2.3197, J3=0.0004, J5=0.0000
    batch_train_loss: 2.3090, original=2.3090, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2989, original=2.2989, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2958, original=2.2958, J3=0.0004, J5=0.0000
    batch_train_loss: 2.3099, original=2.3099, J3=0.0004, J5=0.0000
    batch_train_loss: 2.3088, original=2.3088, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2966, original=2.2966, J3=0.0003, J5=0.0000
    batch_train_loss: 2.3049, original=2.3049, J3=0.0004, J5=0.0000
    batch_train_loss: 2.3044, original=2.3044, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2993, original=2.2993, J3=0.0004, J5=0.0000
    batch_train_loss: 2.3039, original=2.3039, J3=0.0005, J5=0.0000
    batch_train_loss: 2.3011, original=2.3011, J3=0.0004, J5=0.0000
    batch_train_loss: 2.3003, original=2.3003, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2952, original=2.2952, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2982, original=2.2982, J3=0.0004, J5=0.0000
(num=200,lam=0.0001,coef=0.53)epoch=0, trainloss=2.304, testloss=['2.351', '2.266', '2.252', '2.373', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.374', '9.981', '0.000', '0.000', '0.000', '0.104', '85.117', '0.205', '5.550']
    batch_train_loss: 2.2954, original=2.2954, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2970, original=2.2970, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2963, original=2.2963, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2959, original=2.2959, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2934, original=2.2934, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2984, original=2.2984, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2979, original=2.2979, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2971, original=2.2971, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2863, original=2.2863, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2877, original=2.2877, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2904, original=2.2904, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2866, original=2.2866, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2944, original=2.2944, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2932, original=2.2932, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2839, original=2.2839, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2889, original=2.2889, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2896, original=2.2896, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2829, original=2.2829, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2831, original=2.2831, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2840, original=2.2840, J3=0.0004, J5=0.0000
(num=200,lam=0.0001,coef=0.53)epoch=1, trainloss=2.291, testloss=['2.314', '2.277', '2.241', '2.347', '2.284', '2.337', '2.264', '2.238', '2.264', '2.256'], testacc=['0.000', '9.604', '43.702', '0.000', '2.037', '0.000', '2.296', '84.047', '4.723', '30.723']
    batch_train_loss: 2.2849, original=2.2849, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2794, original=2.2794, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2805, original=2.2805, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2771, original=2.2771, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2769, original=2.2769, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2808, original=2.2808, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2767, original=2.2767, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2819, original=2.2819, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2741, original=2.2741, J3=0.0003, J5=0.0000
    batch_train_loss: 2.2757, original=2.2757, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2749, original=2.2749, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2766, original=2.2766, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2719, original=2.2719, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2693, original=2.2693, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2748, original=2.2748, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2702, original=2.2702, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2811, original=2.2811, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2680, original=2.2680, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2683, original=2.2683, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2734, original=2.2734, J3=0.0004, J5=0.0000
(num=200,lam=0.0001,coef=0.53)epoch=2, trainloss=2.276, testloss=['2.262', '2.278', '2.225', '2.321', '2.273', '2.337', '2.247', '2.235', '2.242', '2.243'], testacc=['1.429', '9.339', '68.023', '0.000', '7.637', '0.000', '9.290', '72.568', '39.220', '61.943']
    batch_train_loss: 2.2732, original=2.2732, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2619, original=2.2619, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2616, original=2.2616, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2686, original=2.2686, J3=0.0005, J5=0.0000
    batch_train_loss: 2.2662, original=2.2662, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2541, original=2.2541, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2655, original=2.2655, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2643, original=2.2643, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2586, original=2.2586, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2583, original=2.2583, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2581, original=2.2581, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2511, original=2.2511, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2532, original=2.2532, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2578, original=2.2578, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2579, original=2.2579, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2590, original=2.2590, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2613, original=2.2613, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2507, original=2.2507, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2492, original=2.2492, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2527, original=2.2527, J3=0.0004, J5=0.0000
(num=200,lam=0.0001,coef=0.53)epoch=3, trainloss=2.259, testloss=['2.221', '2.277', '2.215', '2.287', '2.262', '2.325', '2.222', '2.229', '2.217', '2.230'], testacc=['53.061', '8.811', '64.341', '1.584', '13.747', '0.000', '39.144', '66.537', '83.060', '72.151']
    batch_train_loss: 2.2400, original=2.2400, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2536, original=2.2536, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2430, original=2.2430, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2467, original=2.2467, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2462, original=2.2462, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2461, original=2.2461, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2473, original=2.2473, J3=0.0005, J5=0.0000
    batch_train_loss: 2.2396, original=2.2396, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2462, original=2.2462, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2446, original=2.2446, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2449, original=2.2449, J3=0.0005, J5=0.0000
    batch_train_loss: 2.2393, original=2.2393, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2401, original=2.2401, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2370, original=2.2370, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2323, original=2.2323, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2295, original=2.2295, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2308, original=2.2308, J3=0.0005, J5=0.0000
    batch_train_loss: 2.2368, original=2.2368, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2322, original=2.2322, J3=0.0005, J5=0.0000
    batch_train_loss: 2.2299, original=2.2299, J3=0.0004, J5=0.0000
(num=200,lam=0.0001,coef=0.53)epoch=4, trainloss=2.240, testloss=['2.162', '2.277', '2.202', '2.259', '2.239', '2.311', '2.198', '2.223', '2.186', '2.224'], testacc=['91.735', '5.815', '58.915', '7.129', '34.318', '0.448', '64.927', '65.467', '96.304', '54.509']
    batch_train_loss: 2.2281, original=2.2281, J3=0.0005, J5=0.0000
    batch_train_loss: 2.2305, original=2.2305, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2265, original=2.2265, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2274, original=2.2274, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2305, original=2.2305, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2211, original=2.2211, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2220, original=2.2220, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2191, original=2.2191, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2229, original=2.2229, J3=0.0005, J5=0.0000
    batch_train_loss: 2.2180, original=2.2180, J3=0.0005, J5=0.0000
    batch_train_loss: 2.2241, original=2.2241, J3=0.0005, J5=0.0000
    batch_train_loss: 2.2151, original=2.2151, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2073, original=2.2073, J3=0.0005, J5=0.0000
    batch_train_loss: 2.2113, original=2.2113, J3=0.0005, J5=0.0000
    batch_train_loss: 2.2252, original=2.2252, J3=0.0005, J5=0.0000
    batch_train_loss: 2.2136, original=2.2136, J3=0.0005, J5=0.0000
    batch_train_loss: 2.2112, original=2.2112, J3=0.0004, J5=0.0000
    batch_train_loss: 2.2031, original=2.2031, J3=0.0005, J5=0.0000
    batch_train_loss: 2.2017, original=2.2017, J3=0.0005, J5=0.0000
    batch_train_loss: 2.1945, original=2.1945, J3=0.0005, J5=0.0000
(num=200,lam=0.0001,coef=0.53)epoch=5, trainloss=2.218, testloss=['2.103', '2.271', '2.188', '2.233', '2.215', '2.296', '2.158', '2.205', '2.151', '2.216'], testacc=['95.204', '5.639', '50.388', '12.178', '43.992', '0.897', '76.827', '68.385', '98.255', '37.066']
    batch_train_loss: 2.1902, original=2.1902, J3=0.0005, J5=0.0000
    batch_train_loss: 2.2051, original=2.2051, J3=0.0005, J5=0.0000
    batch_train_loss: 2.2063, original=2.2063, J3=0.0005, J5=0.0000
    batch_train_loss: 2.2103, original=2.2103, J3=0.0004, J5=0.0000
    batch_train_loss: 2.1940, original=2.1940, J3=0.0005, J5=0.0000
    batch_train_loss: 2.2019, original=2.2019, J3=0.0004, J5=0.0000
    batch_train_loss: 2.1950, original=2.1950, J3=0.0005, J5=0.0000
    batch_train_loss: 2.1841, original=2.1841, J3=0.0005, J5=0.0000
    batch_train_loss: 2.1952, original=2.1952, J3=0.0005, J5=0.0000
    batch_train_loss: 2.1849, original=2.1849, J3=0.0005, J5=0.0000
    batch_train_loss: 2.1847, original=2.1847, J3=0.0005, J5=0.0000
    batch_train_loss: 2.1912, original=2.1912, J3=0.0005, J5=0.0000
    batch_train_loss: 2.1918, original=2.1918, J3=0.0005, J5=0.0000
    batch_train_loss: 2.1817, original=2.1817, J3=0.0006, J5=0.0000
    batch_train_loss: 2.1879, original=2.1879, J3=0.0005, J5=0.0000
    batch_train_loss: 2.1843, original=2.1843, J3=0.0005, J5=0.0000
    batch_train_loss: 2.1757, original=2.1757, J3=0.0005, J5=0.0000
    batch_train_loss: 2.1777, original=2.1777, J3=0.0005, J5=0.0000
    batch_train_loss: 2.1814, original=2.1814, J3=0.0005, J5=0.0000
    batch_train_loss: 2.1801, original=2.1801, J3=0.0005, J5=0.0000
(num=200,lam=0.0001,coef=0.53)epoch=6, trainloss=2.190, testloss=['2.006', '2.267', '2.167', '2.192', '2.185', '2.278', '2.112', '2.182', '2.129', '2.206'], testacc=['97.653', '10.925', '53.004', '44.653', '55.601', '2.130', '83.194', '70.914', '95.277', '32.805']
    batch_train_loss: 2.1686, original=2.1686, J3=0.0005, J5=0.0000
    batch_train_loss: 2.1632, original=2.1632, J3=0.0006, J5=0.0000
    batch_train_loss: 2.1659, original=2.1659, J3=0.0006, J5=0.0000
    batch_train_loss: 2.1768, original=2.1768, J3=0.0005, J5=0.0000
    batch_train_loss: 2.1734, original=2.1734, J3=0.0005, J5=0.0000
    batch_train_loss: 2.1705, original=2.1705, J3=0.0006, J5=0.0000
    batch_train_loss: 2.1461, original=2.1461, J3=0.0005, J5=0.0000
    batch_train_loss: 2.1651, original=2.1651, J3=0.0005, J5=0.0000
    batch_train_loss: 2.1634, original=2.1634, J3=0.0005, J5=0.0000
    batch_train_loss: 2.1600, original=2.1600, J3=0.0006, J5=0.0000
    batch_train_loss: 2.1666, original=2.1666, J3=0.0006, J5=0.0000
    batch_train_loss: 2.1455, original=2.1455, J3=0.0006, J5=0.0000
    batch_train_loss: 2.1312, original=2.1312, J3=0.0005, J5=0.0000
    batch_train_loss: 2.1343, original=2.1343, J3=0.0006, J5=0.0000
    batch_train_loss: 2.1520, original=2.1520, J3=0.0005, J5=0.0000
    batch_train_loss: 2.1494, original=2.1494, J3=0.0005, J5=0.0000
    batch_train_loss: 2.1518, original=2.1518, J3=0.0006, J5=0.0000
    batch_train_loss: 2.1447, original=2.1447, J3=0.0006, J5=0.0000
    batch_train_loss: 2.1414, original=2.1414, J3=0.0005, J5=0.0000
    batch_train_loss: 2.1286, original=2.1286, J3=0.0006, J5=0.0000
(num=200,lam=0.0001,coef=0.53)epoch=7, trainloss=2.155, testloss=['1.895', '2.254', '2.124', '2.140', '2.161', '2.263', '2.049', '2.166', '2.077', '2.206'], testacc=['98.265', '11.454', '53.101', '58.317', '50.611', '2.130', '82.985', '66.342', '94.867', '15.659']
    batch_train_loss: 2.1372, original=2.1372, J3=0.0006, J5=0.0000
    batch_train_loss: 2.1232, original=2.1232, J3=0.0007, J5=0.0000
    batch_train_loss: 2.1170, original=2.1170, J3=0.0006, J5=0.0000
    batch_train_loss: 2.1217, original=2.1217, J3=0.0007, J5=0.0000
    batch_train_loss: 2.1333, original=2.1333, J3=0.0005, J5=0.0000
    batch_train_loss: 2.1076, original=2.1076, J3=0.0006, J5=0.0000
    batch_train_loss: 2.1164, original=2.1164, J3=0.0006, J5=0.0000
    batch_train_loss: 2.1244, original=2.1244, J3=0.0006, J5=0.0000
    batch_train_loss: 2.1113, original=2.1113, J3=0.0006, J5=0.0000
    batch_train_loss: 2.1187, original=2.1187, J3=0.0007, J5=0.0000
    batch_train_loss: 2.0947, original=2.0947, J3=0.0006, J5=0.0000
    batch_train_loss: 2.0830, original=2.0830, J3=0.0006, J5=0.0000
    batch_train_loss: 2.1049, original=2.1049, J3=0.0006, J5=0.0000
    batch_train_loss: 2.1064, original=2.1064, J3=0.0006, J5=0.0000
    batch_train_loss: 2.1184, original=2.1184, J3=0.0008, J5=0.0000
    batch_train_loss: 2.0981, original=2.0981, J3=0.0006, J5=0.0000
    batch_train_loss: 2.1072, original=2.1072, J3=0.0007, J5=0.0000
    batch_train_loss: 2.1025, original=2.1025, J3=0.0007, J5=0.0000
    batch_train_loss: 2.0636, original=2.0636, J3=0.0007, J5=0.0000
    batch_train_loss: 2.0873, original=2.0873, J3=0.0007, J5=0.0000
(num=200,lam=0.0001,coef=0.53)epoch=8, trainloss=2.109, testloss=['1.749', '2.210', '2.080', '2.106', '2.118', '2.240', '1.970', '2.118', '2.022', '2.195'], testacc=['98.673', '25.198', '51.550', '54.752', '52.138', '3.251', '83.299', '70.331', '93.634', '11.497']
    batch_train_loss: 2.0660, original=2.0660, J3=0.0007, J5=0.0000
    batch_train_loss: 2.0786, original=2.0786, J3=0.0006, J5=0.0000
    batch_train_loss: 2.0469, original=2.0469, J3=0.0008, J5=0.0000
    batch_train_loss: 2.0538, original=2.0538, J3=0.0008, J5=0.0000
    batch_train_loss: 2.0677, original=2.0677, J3=0.0008, J5=0.0000
    batch_train_loss: 2.0664, original=2.0664, J3=0.0007, J5=0.0000
    batch_train_loss: 2.0841, original=2.0841, J3=0.0006, J5=0.0000
    batch_train_loss: 2.0583, original=2.0583, J3=0.0006, J5=0.0000
    batch_train_loss: 2.0334, original=2.0334, J3=0.0007, J5=0.0000
    batch_train_loss: 2.0439, original=2.0439, J3=0.0008, J5=0.0000
    batch_train_loss: 2.0219, original=2.0219, J3=0.0008, J5=0.0000
    batch_train_loss: 2.0666, original=2.0666, J3=0.0009, J5=0.0000
    batch_train_loss: 2.0192, original=2.0192, J3=0.0008, J5=0.0000
    batch_train_loss: 2.0622, original=2.0622, J3=0.0007, J5=0.0000
    batch_train_loss: 2.0216, original=2.0216, J3=0.0007, J5=0.0000
    batch_train_loss: 2.0276, original=2.0276, J3=0.0008, J5=0.0000
    batch_train_loss: 2.0186, original=2.0186, J3=0.0009, J5=0.0000
    batch_train_loss: 2.0326, original=2.0326, J3=0.0008, J5=0.0000
    batch_train_loss: 2.0185, original=2.0185, J3=0.0008, J5=0.0000
    batch_train_loss: 2.0460, original=2.0460, J3=0.0009, J5=0.0000
(num=200,lam=0.0001,coef=0.53)epoch=9, trainloss=2.047, testloss=['1.560', '2.152', '2.020', '2.050', '2.035', '2.230', '1.872', '2.061', '1.955', '2.159'], testacc=['98.776', '39.031', '51.744', '58.515', '62.016', '3.027', '82.150', '70.331', '90.349', '15.263']
    batch_train_loss: 2.0049, original=2.0049, J3=0.0008, J5=0.0000
    batch_train_loss: 1.9988, original=1.9988, J3=0.0009, J5=0.0000
    batch_train_loss: 1.9781, original=1.9781, J3=0.0009, J5=0.0000
    batch_train_loss: 1.9777, original=1.9777, J3=0.0011, J5=0.0001
    batch_train_loss: 1.9772, original=1.9772, J3=0.0009, J5=0.0000
    batch_train_loss: 1.9949, original=1.9949, J3=0.0008, J5=0.0000
    batch_train_loss: 1.9652, original=1.9652, J3=0.0008, J5=0.0000
    batch_train_loss: 1.9582, original=1.9582, J3=0.0008, J5=0.0000
    batch_train_loss: 1.9673, original=1.9673, J3=0.0010, J5=0.0000
    batch_train_loss: 1.9842, original=1.9842, J3=0.0011, J5=0.0001
    batch_train_loss: 1.9765, original=1.9765, J3=0.0009, J5=0.0000
    batch_train_loss: 1.9492, original=1.9492, J3=0.0011, J5=0.0001
    batch_train_loss: 1.9631, original=1.9631, J3=0.0010, J5=0.0001
    batch_train_loss: 1.9676, original=1.9676, J3=0.0009, J5=0.0000
    batch_train_loss: 1.9459, original=1.9459, J3=0.0010, J5=0.0001
    batch_train_loss: 1.9419, original=1.9419, J3=0.0010, J5=0.0001
    batch_train_loss: 1.9249, original=1.9249, J3=0.0009, J5=0.0000
    batch_train_loss: 1.9315, original=1.9315, J3=0.0010, J5=0.0001
    batch_train_loss: 1.9325, original=1.9325, J3=0.0012, J5=0.0001
    batch_train_loss: 1.8842, original=1.8842, J3=0.0011, J5=0.0001
(num=200,lam=0.0001,coef=0.53)epoch=10, trainloss=1.961, testloss=['1.333', '2.056', '1.892', '1.940', '1.954', '2.168', '1.780', '1.969', '1.882', '2.144'], testacc=['98.980', '55.683', '65.310', '73.663', '65.886', '9.865', '78.914', '73.249', '89.836', '13.280']
    batch_train_loss: 1.8694, original=1.8694, J3=0.0011, J5=0.0001
    batch_train_loss: 1.8876, original=1.8876, J3=0.0011, J5=0.0001
    batch_train_loss: 1.8828, original=1.8828, J3=0.0011, J5=0.0001
    batch_train_loss: 1.8889, original=1.8889, J3=0.0010, J5=0.0001
    batch_train_loss: 1.8751, original=1.8751, J3=0.0012, J5=0.0001
    batch_train_loss: 1.8382, original=1.8382, J3=0.0012, J5=0.0001
    batch_train_loss: 1.8266, original=1.8266, J3=0.0012, J5=0.0001
    batch_train_loss: 1.8394, original=1.8394, J3=0.0012, J5=0.0001
    batch_train_loss: 1.8626, original=1.8626, J3=0.0012, J5=0.0001
    batch_train_loss: 1.8727, original=1.8727, J3=0.0012, J5=0.0001
    batch_train_loss: 1.8863, original=1.8863, J3=0.0013, J5=0.0001
    batch_train_loss: 1.8633, original=1.8633, J3=0.0013, J5=0.0001
    batch_train_loss: 1.8452, original=1.8452, J3=0.0013, J5=0.0001
    batch_train_loss: 1.8346, original=1.8346, J3=0.0015, J5=0.0001
    batch_train_loss: 1.8241, original=1.8241, J3=0.0012, J5=0.0001
    batch_train_loss: 1.8185, original=1.8185, J3=0.0012, J5=0.0001
    batch_train_loss: 1.8380, original=1.8380, J3=0.0013, J5=0.0001
    batch_train_loss: 1.8196, original=1.8196, J3=0.0014, J5=0.0001
    batch_train_loss: 1.7186, original=1.7186, J3=0.0016, J5=0.0001
    batch_train_loss: 1.7832, original=1.7832, J3=0.0014, J5=0.0001
(num=200,lam=0.0001,coef=0.53)epoch=11, trainloss=1.844, testloss=['1.061', '1.884', '1.775', '1.863', '1.816', '2.100', '1.595', '1.809', '1.779', '2.078'], testacc=['98.980', '71.101', '65.601', '69.802', '69.348', '17.152', '82.985', '77.140', '87.782', '17.344']
    batch_train_loss: 1.8065, original=1.8065, J3=0.0015, J5=0.0001
    batch_train_loss: 1.7384, original=1.7384, J3=0.0013, J5=0.0001
    batch_train_loss: 1.7517, original=1.7517, J3=0.0013, J5=0.0001
    batch_train_loss: 1.7699, original=1.7699, J3=0.0013, J5=0.0001
