[5.67123244 3.71769211 5.73772762 5.38553392 5.05221328 5.50625482
 5.19797702 4.8713964  5.4724514  4.93368633]
    batch_train_loss: 2.3065, original=2.3065, J3=0.0006, J5=0.0000
    batch_train_loss: 2.3091, original=2.3091, J3=0.0006, J5=0.0000
    batch_train_loss: 2.3039, original=2.3039, J3=0.0006, J5=0.0000
    batch_train_loss: 2.3042, original=2.3042, J3=0.0006, J5=0.0000
    batch_train_loss: 2.3109, original=2.3109, J3=0.0006, J5=0.0000
    batch_train_loss: 2.3199, original=2.3199, J3=0.0005, J5=0.0000
    batch_train_loss: 2.3092, original=2.3092, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2991, original=2.2991, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2960, original=2.2960, J3=0.0005, J5=0.0000
    batch_train_loss: 2.3101, original=2.3101, J3=0.0006, J5=0.0000
    batch_train_loss: 2.3090, original=2.3090, J3=0.0005, J5=0.0000
    batch_train_loss: 2.2968, original=2.2968, J3=0.0005, J5=0.0000
    batch_train_loss: 2.3051, original=2.3051, J3=0.0006, J5=0.0000
    batch_train_loss: 2.3046, original=2.3046, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2995, original=2.2995, J3=0.0006, J5=0.0000
    batch_train_loss: 2.3042, original=2.3042, J3=0.0007, J5=0.0000
    batch_train_loss: 2.3013, original=2.3013, J3=0.0006, J5=0.0000
    batch_train_loss: 2.3005, original=2.3005, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2954, original=2.2954, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2984, original=2.2984, J3=0.0006, J5=0.0000
(num=200,lam=0.0001,coef=0.5700000000000001)epoch=0, trainloss=2.304, testloss=['2.351', '2.265', '2.252', '2.373', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.374', '9.981', '0.000', '0.000', '0.000', '0.104', '85.117', '0.205', '5.550']
    batch_train_loss: 2.2956, original=2.2956, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2972, original=2.2972, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2965, original=2.2965, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2961, original=2.2961, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2936, original=2.2936, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2986, original=2.2986, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2981, original=2.2981, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2973, original=2.2973, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2865, original=2.2865, J3=0.0005, J5=0.0000
    batch_train_loss: 2.2879, original=2.2879, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2906, original=2.2906, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2868, original=2.2868, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2946, original=2.2946, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2935, original=2.2935, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2841, original=2.2841, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2891, original=2.2891, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2898, original=2.2898, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2831, original=2.2831, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2833, original=2.2833, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2842, original=2.2842, J3=0.0006, J5=0.0000
(num=200,lam=0.0001,coef=0.5700000000000001)epoch=1, trainloss=2.291, testloss=['2.314', '2.277', '2.241', '2.348', '2.284', '2.337', '2.264', '2.238', '2.264', '2.256'], testacc=['0.000', '9.604', '43.702', '0.000', '2.037', '0.000', '2.296', '83.949', '4.723', '30.823']
    batch_train_loss: 2.2852, original=2.2852, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2796, original=2.2796, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2807, original=2.2807, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2774, original=2.2774, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2771, original=2.2771, J3=0.0005, J5=0.0000
    batch_train_loss: 2.2811, original=2.2811, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2769, original=2.2769, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2821, original=2.2821, J3=0.0006, J5=0.0000
    batch_train_loss: 2.2744, original=2.2744, J3=0.0005, J5=0.0000
