[6.16870897 4.04380546 6.24103706 5.85794918 5.49538988 5.98925962
 5.65393991 5.29871187 5.952491   5.36646584]
    batch_train_loss: 2.3068, original=2.3068, J3=0.0009, J5=0.0000
    batch_train_loss: 2.3094, original=2.3094, J3=0.0009, J5=0.0000
    batch_train_loss: 2.3042, original=2.3042, J3=0.0009, J5=0.0000
    batch_train_loss: 2.3045, original=2.3045, J3=0.0009, J5=0.0000
    batch_train_loss: 2.3112, original=2.3112, J3=0.0009, J5=0.0000
    batch_train_loss: 2.3202, original=2.3202, J3=0.0008, J5=0.0000
    batch_train_loss: 2.3095, original=2.3095, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2994, original=2.2994, J3=0.0008, J5=0.0000
    batch_train_loss: 2.2963, original=2.2963, J3=0.0008, J5=0.0000
    batch_train_loss: 2.3105, original=2.3105, J3=0.0009, J5=0.0000
    batch_train_loss: 2.3093, original=2.3093, J3=0.0008, J5=0.0000
    batch_train_loss: 2.2971, original=2.2971, J3=0.0007, J5=0.0000
    batch_train_loss: 2.3054, original=2.3054, J3=0.0009, J5=0.0000
    batch_train_loss: 2.3049, original=2.3049, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2998, original=2.2998, J3=0.0009, J5=0.0000
    batch_train_loss: 2.3045, original=2.3045, J3=0.0010, J5=0.0000
    batch_train_loss: 2.3016, original=2.3016, J3=0.0009, J5=0.0000
    batch_train_loss: 2.3009, original=2.3009, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2958, original=2.2958, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2987, original=2.2987, J3=0.0009, J5=0.0000
(num=200,lam=0.0001,coef=0.6200000000000001)epoch=0, trainloss=2.304, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.374', '9.981', '0.000', '0.000', '0.000', '0.104', '85.117', '0.205', '5.550']
    batch_train_loss: 2.2959, original=2.2959, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2975, original=2.2975, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2968, original=2.2968, J3=0.0008, J5=0.0000
    batch_train_loss: 2.2964, original=2.2964, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2939, original=2.2939, J3=0.0010, J5=0.0000
