[6.26820428 4.10902812 6.34169895 5.95243223 5.5840252  6.08586059
 5.74513249 5.38417497 6.04849892 5.45302174]
    batch_train_loss: 2.3069, original=2.3069, J3=0.0010, J5=0.0000
    batch_train_loss: 2.3095, original=2.3095, J3=0.0010, J5=0.0000
    batch_train_loss: 2.3042, original=2.3042, J3=0.0009, J5=0.0000
    batch_train_loss: 2.3045, original=2.3045, J3=0.0010, J5=0.0000
    batch_train_loss: 2.3113, original=2.3113, J3=0.0009, J5=0.0000
    batch_train_loss: 2.3203, original=2.3203, J3=0.0009, J5=0.0000
    batch_train_loss: 2.3096, original=2.3096, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2994, original=2.2994, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2963, original=2.2963, J3=0.0009, J5=0.0000
    batch_train_loss: 2.3105, original=2.3105, J3=0.0010, J5=0.0000
    batch_train_loss: 2.3093, original=2.3093, J3=0.0008, J5=0.0000
    batch_train_loss: 2.2971, original=2.2971, J3=0.0008, J5=0.0000
    batch_train_loss: 2.3055, original=2.3055, J3=0.0010, J5=0.0000
    batch_train_loss: 2.3049, original=2.3049, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2999, original=2.2999, J3=0.0010, J5=0.0000
    batch_train_loss: 2.3046, original=2.3046, J3=0.0011, J5=0.0000
    batch_train_loss: 2.3017, original=2.3017, J3=0.0010, J5=0.0000
    batch_train_loss: 2.3009, original=2.3009, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2958, original=2.2958, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2988, original=2.2988, J3=0.0009, J5=0.0000
(num=200,lam=0.0001,coef=0.6300000000000001)epoch=0, trainloss=2.305, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.374', '9.981', '0.000', '0.000', '0.000', '0.104', '85.117', '0.205', '5.550']
    batch_train_loss: 2.2959, original=2.2959, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2975, original=2.2975, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2969, original=2.2969, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2964, original=2.2964, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2940, original=2.2940, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2990, original=2.2990, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2985, original=2.2985, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2977, original=2.2977, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2869, original=2.2869, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2883, original=2.2883, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2910, original=2.2910, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2872, original=2.2872, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2949, original=2.2949, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2939, original=2.2939, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2845, original=2.2845, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2895, original=2.2895, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2902, original=2.2902, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2835, original=2.2835, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2837, original=2.2837, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2846, original=2.2846, J3=0.0010, J5=0.0000
(num=200,lam=0.0001,coef=0.6300000000000001)epoch=1, trainloss=2.292, testloss=['2.314', '2.277', '2.241', '2.348', '2.284', '2.337', '2.264', '2.238', '2.264', '2.256'], testacc=['0.000', '9.604', '43.702', '0.000', '2.037', '0.000', '2.296', '84.047', '4.723', '30.723']
    batch_train_loss: 2.2856, original=2.2856, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2800, original=2.2800, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2811, original=2.2811, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2778, original=2.2778, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2774, original=2.2774, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2815, original=2.2815, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2773, original=2.2773, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2826, original=2.2826, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2747, original=2.2747, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2763, original=2.2763, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2755, original=2.2755, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2771, original=2.2771, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2725, original=2.2725, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2700, original=2.2700, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2755, original=2.2755, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2708, original=2.2708, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2817, original=2.2817, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2686, original=2.2686, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2690, original=2.2690, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2741, original=2.2741, J3=0.0010, J5=0.0000
(num=200,lam=0.0001,coef=0.6300000000000001)epoch=2, trainloss=2.276, testloss=['2.262', '2.278', '2.225', '2.321', '2.273', '2.337', '2.247', '2.235', '2.242', '2.243'], testacc=['1.429', '9.515', '68.120', '0.000', '7.637', '0.000', '9.290', '72.471', '39.220', '61.943']
    batch_train_loss: 2.2739, original=2.2739, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2626, original=2.2626, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2623, original=2.2623, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2693, original=2.2693, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2669, original=2.2669, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2548, original=2.2548, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2662, original=2.2662, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2650, original=2.2650, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2593, original=2.2593, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2590, original=2.2590, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2589, original=2.2589, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2518, original=2.2518, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2540, original=2.2540, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2586, original=2.2586, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2587, original=2.2587, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2597, original=2.2597, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2621, original=2.2621, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2515, original=2.2515, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2499, original=2.2499, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2535, original=2.2535, J3=0.0010, J5=0.0000
(num=200,lam=0.0001,coef=0.6300000000000001)epoch=3, trainloss=2.260, testloss=['2.221', '2.277', '2.215', '2.287', '2.262', '2.325', '2.223', '2.229', '2.217', '2.230'], testacc=['52.551', '8.987', '64.632', '1.584', '13.646', '0.000', '38.935', '66.440', '82.649', '72.349']
    batch_train_loss: 2.2408, original=2.2408, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2544, original=2.2544, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2438, original=2.2438, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2474, original=2.2474, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2470, original=2.2470, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2470, original=2.2470, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2482, original=2.2482, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2404, original=2.2404, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2470, original=2.2470, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2454, original=2.2454, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2458, original=2.2458, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2401, original=2.2401, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2409, original=2.2409, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2379, original=2.2379, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2332, original=2.2332, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2304, original=2.2304, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2318, original=2.2318, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2377, original=2.2377, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2331, original=2.2331, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2308, original=2.2308, J3=0.0011, J5=0.0000
(num=200,lam=0.0001,coef=0.6300000000000001)epoch=4, trainloss=2.241, testloss=['2.163', '2.277', '2.202', '2.259', '2.239', '2.311', '2.199', '2.223', '2.187', '2.224'], testacc=['91.633', '5.903', '58.915', '7.129', '34.318', '0.448', '64.614', '65.370', '96.304', '54.708']
    batch_train_loss: 2.2290, original=2.2290, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2314, original=2.2314, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2273, original=2.2273, J3=0.0009, J5=0.0000
    batch_train_loss: 2.2284, original=2.2284, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2315, original=2.2315, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2221, original=2.2221, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2230, original=2.2230, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2202, original=2.2202, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2240, original=2.2240, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2191, original=2.2191, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2252, original=2.2252, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2162, original=2.2162, J3=0.0010, J5=0.0000
