[6.5666902  4.30469613 6.64368462 6.23588139 5.84993116 6.37566347
 6.01871023 5.64056425 6.33652267 5.71268944]
    batch_train_loss: 2.3072, original=2.3072, J3=0.0012, J5=0.0000
    batch_train_loss: 2.3097, original=2.3097, J3=0.0012, J5=0.0000
    batch_train_loss: 2.3045, original=2.3045, J3=0.0011, J5=0.0000
    batch_train_loss: 2.3048, original=2.3048, J3=0.0012, J5=0.0000
    batch_train_loss: 2.3115, original=2.3115, J3=0.0011, J5=0.0000
    batch_train_loss: 2.3205, original=2.3205, J3=0.0011, J5=0.0000
    batch_train_loss: 2.3098, original=2.3098, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2997, original=2.2997, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2965, original=2.2965, J3=0.0011, J5=0.0000
    batch_train_loss: 2.3108, original=2.3108, J3=0.0012, J5=0.0000
    batch_train_loss: 2.3095, original=2.3095, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2973, original=2.2973, J3=0.0010, J5=0.0000
    batch_train_loss: 2.3057, original=2.3057, J3=0.0012, J5=0.0000
    batch_train_loss: 2.3052, original=2.3052, J3=0.0011, J5=0.0000
    batch_train_loss: 2.3001, original=2.3001, J3=0.0012, J5=0.0000
    batch_train_loss: 2.3049, original=2.3049, J3=0.0013, J5=0.0000
    batch_train_loss: 2.3019, original=2.3019, J3=0.0012, J5=0.0000
    batch_train_loss: 2.3012, original=2.3012, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2961, original=2.2961, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2990, original=2.2990, J3=0.0011, J5=0.0000
(num=200,lam=0.0001,coef=0.6600000000000001)epoch=0, trainloss=2.305, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.374', '9.981', '0.000', '0.000', '0.000', '0.104', '85.117', '0.205', '5.451']
    batch_train_loss: 2.2962, original=2.2962, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2978, original=2.2978, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2971, original=2.2971, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2966, original=2.2966, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2943, original=2.2943, J3=0.0013, J5=0.0000
    batch_train_loss: 2.2992, original=2.2992, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2988, original=2.2988, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2980, original=2.2980, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2872, original=2.2872, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2885, original=2.2885, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2913, original=2.2913, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2875, original=2.2875, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2952, original=2.2952, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2941, original=2.2941, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2847, original=2.2847, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2897, original=2.2897, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2904, original=2.2904, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2837, original=2.2837, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2840, original=2.2840, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2849, original=2.2849, J3=0.0012, J5=0.0000
(num=200,lam=0.0001,coef=0.6600000000000001)epoch=1, trainloss=2.292, testloss=['2.314', '2.277', '2.241', '2.348', '2.284', '2.337', '2.264', '2.238', '2.264', '2.256'], testacc=['0.000', '9.604', '43.605', '0.000', '2.037', '0.000', '2.296', '84.047', '4.723', '30.723']
    batch_train_loss: 2.2858, original=2.2858, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2803, original=2.2803, J3=0.0013, J5=0.0000
    batch_train_loss: 2.2813, original=2.2813, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2781, original=2.2781, J3=0.0013, J5=0.0000
    batch_train_loss: 2.2777, original=2.2777, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2817, original=2.2817, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2776, original=2.2776, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2828, original=2.2828, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2750, original=2.2750, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2766, original=2.2766, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2757, original=2.2757, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2773, original=2.2773, J3=0.0010, J5=0.0000
    batch_train_loss: 2.2727, original=2.2727, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2702, original=2.2702, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2757, original=2.2757, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2711, original=2.2711, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2820, original=2.2820, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2689, original=2.2689, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2693, original=2.2693, J3=0.0013, J5=0.0000
    batch_train_loss: 2.2743, original=2.2743, J3=0.0012, J5=0.0000
(num=200,lam=0.0001,coef=0.6600000000000001)epoch=2, trainloss=2.277, testloss=['2.262', '2.278', '2.225', '2.321', '2.273', '2.337', '2.247', '2.235', '2.242', '2.243'], testacc=['1.429', '9.604', '68.120', '0.000', '7.637', '0.000', '9.290', '72.568', '39.220', '61.843']
    batch_train_loss: 2.2741, original=2.2741, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2629, original=2.2629, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2626, original=2.2626, J3=0.0013, J5=0.0000
    batch_train_loss: 2.2696, original=2.2696, J3=0.0013, J5=0.0000
    batch_train_loss: 2.2671, original=2.2671, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2551, original=2.2551, J3=0.0013, J5=0.0000
    batch_train_loss: 2.2665, original=2.2665, J3=0.0013, J5=0.0000
    batch_train_loss: 2.2652, original=2.2652, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2596, original=2.2596, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2592, original=2.2592, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2592, original=2.2592, J3=0.0013, J5=0.0000
    batch_train_loss: 2.2521, original=2.2521, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2542, original=2.2542, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2589, original=2.2589, J3=0.0013, J5=0.0000
    batch_train_loss: 2.2590, original=2.2590, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2600, original=2.2600, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2624, original=2.2624, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2518, original=2.2518, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2502, original=2.2502, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2538, original=2.2538, J3=0.0012, J5=0.0000
(num=200,lam=0.0001,coef=0.6600000000000001)epoch=3, trainloss=2.260, testloss=['2.222', '2.277', '2.215', '2.287', '2.262', '2.325', '2.223', '2.229', '2.218', '2.230'], testacc=['52.449', '9.075', '64.729', '1.584', '13.544', '0.000', '39.040', '66.440', '82.649', '72.448']
    batch_train_loss: 2.2412, original=2.2412, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2547, original=2.2547, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2441, original=2.2441, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2477, original=2.2477, J3=0.0012, J5=0.0000
