[6.6661855  4.3699188  6.7443465  6.33036444 5.93856648 6.47226443
 6.10990281 5.72602735 6.43253059 5.79924534]
    batch_train_loss: 2.3072, original=2.3072, J3=0.0013, J5=0.0000
    batch_train_loss: 2.3098, original=2.3098, J3=0.0013, J5=0.0000
    batch_train_loss: 2.3045, original=2.3045, J3=0.0012, J5=0.0000
    batch_train_loss: 2.3049, original=2.3049, J3=0.0013, J5=0.0000
    batch_train_loss: 2.3116, original=2.3116, J3=0.0012, J5=0.0000
    batch_train_loss: 2.3206, original=2.3206, J3=0.0012, J5=0.0000
    batch_train_loss: 2.3099, original=2.3099, J3=0.0013, J5=0.0000
    batch_train_loss: 2.2997, original=2.2997, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2966, original=2.2966, J3=0.0011, J5=0.0000
    batch_train_loss: 2.3108, original=2.3108, J3=0.0013, J5=0.0000
    batch_train_loss: 2.3096, original=2.3096, J3=0.0011, J5=0.0000
    batch_train_loss: 2.2974, original=2.2974, J3=0.0010, J5=0.0000
    batch_train_loss: 2.3058, original=2.3058, J3=0.0013, J5=0.0000
    batch_train_loss: 2.3052, original=2.3052, J3=0.0012, J5=0.0000
    batch_train_loss: 2.3002, original=2.3002, J3=0.0012, J5=0.0000
    batch_train_loss: 2.3049, original=2.3049, J3=0.0014, J5=0.0001
    batch_train_loss: 2.3020, original=2.3020, J3=0.0013, J5=0.0000
    batch_train_loss: 2.3012, original=2.3012, J3=0.0013, J5=0.0000
    batch_train_loss: 2.2961, original=2.2961, J3=0.0013, J5=0.0000
    batch_train_loss: 2.2991, original=2.2991, J3=0.0012, J5=0.0000
(num=200,lam=0.0001,coef=0.6700000000000002)epoch=0, trainloss=2.305, testloss=['2.351', '2.266', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.374', '9.981', '0.000', '0.000', '0.000', '0.104', '85.117', '0.205', '5.352']
    batch_train_loss: 2.2962, original=2.2962, J3=0.0013, J5=0.0000
    batch_train_loss: 2.2978, original=2.2978, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2972, original=2.2972, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2967, original=2.2967, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2943, original=2.2943, J3=0.0014, J5=0.0001
    batch_train_loss: 2.2993, original=2.2993, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2988, original=2.2988, J3=0.0013, J5=0.0000
    batch_train_loss: 2.2980, original=2.2980, J3=0.0013, J5=0.0000
    batch_train_loss: 2.2872, original=2.2872, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2886, original=2.2886, J3=0.0013, J5=0.0000
    batch_train_loss: 2.2913, original=2.2913, J3=0.0013, J5=0.0000
    batch_train_loss: 2.2875, original=2.2875, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2952, original=2.2952, J3=0.0012, J5=0.0000
    batch_train_loss: 2.2942, original=2.2942, J3=0.0013, J5=0.0000
    batch_train_loss: 2.2848, original=2.2848, J3=0.0012, J5=0.0000
