[7.56164326 4.95692282 7.6503035  7.1807119  6.73628437 7.34167309
 6.93063602 6.4951952  7.29660187 6.57824844]
    batch_train_loss: 2.3080, original=2.3080, J3=0.0020, J5=0.0001
    batch_train_loss: 2.3106, original=2.3106, J3=0.0021, J5=0.0001
    batch_train_loss: 2.3053, original=2.3053, J3=0.0019, J5=0.0001
    batch_train_loss: 2.3056, original=2.3056, J3=0.0020, J5=0.0001
    batch_train_loss: 2.3124, original=2.3124, J3=0.0020, J5=0.0001
    batch_train_loss: 2.3213, original=2.3213, J3=0.0020, J5=0.0001
    batch_train_loss: 2.3107, original=2.3107, J3=0.0020, J5=0.0001
    batch_train_loss: 2.3005, original=2.3005, J3=0.0019, J5=0.0001
    batch_train_loss: 2.2973, original=2.2973, J3=0.0018, J5=0.0001
    batch_train_loss: 2.3116, original=2.3116, J3=0.0020, J5=0.0001
    batch_train_loss: 2.3103, original=2.3103, J3=0.0018, J5=0.0001
    batch_train_loss: 2.2981, original=2.2981, J3=0.0017, J5=0.0001
    batch_train_loss: 2.3066, original=2.3066, J3=0.0021, J5=0.0001
    batch_train_loss: 2.3060, original=2.3060, J3=0.0020, J5=0.0001
    batch_train_loss: 2.3010, original=2.3010, J3=0.0020, J5=0.0001
    batch_train_loss: 2.3058, original=2.3058, J3=0.0022, J5=0.0001
    batch_train_loss: 2.3028, original=2.3028, J3=0.0020, J5=0.0001
    batch_train_loss: 2.3020, original=2.3020, J3=0.0020, J5=0.0001
    batch_train_loss: 2.2969, original=2.2969, J3=0.0021, J5=0.0001
    batch_train_loss: 2.2998, original=2.2998, J3=0.0019, J5=0.0001
(num=200,lam=0.0001,coef=0.7600000000000002)epoch=0, trainloss=2.306, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.374', '9.981', '0.000', '0.000', '0.000', '0.104', '85.117', '0.205', '5.253']
    batch_train_loss: 2.2970, original=2.2970, J3=0.0020, J5=0.0001
    batch_train_loss: 2.2986, original=2.2986, J3=0.0019, J5=0.0001
    batch_train_loss: 2.2979, original=2.2979, J3=0.0019, J5=0.0001
    batch_train_loss: 2.2975, original=2.2975, J3=0.0020, J5=0.0001
    batch_train_loss: 2.2952, original=2.2952, J3=0.0022, J5=0.0001
