[7.76063387 5.08736815 7.85162727 7.369678   6.91355501 7.53487501
 7.11302118 6.66612139 7.48861771 6.75136024]
    batch_train_loss: 2.3060, original=2.3060, J6=0.0000
    batch_train_loss: 2.3085, original=2.3085, J6=0.0000
    batch_train_loss: 2.3033, original=2.3033, J6=0.0000
    batch_train_loss: 2.3036, original=2.3036, J6=0.0000
    batch_train_loss: 2.3103, original=2.3103, J6=0.0000
    batch_train_loss: 2.3193, original=2.3193, J6=0.0000
    batch_train_loss: 2.3086, original=2.3086, J6=0.0000
    batch_train_loss: 2.2985, original=2.2985, J6=0.0000
    batch_train_loss: 2.2955, original=2.2955, J6=0.0000
    batch_train_loss: 2.3095, original=2.3095, J6=0.0000
    batch_train_loss: 2.3085, original=2.3085, J6=0.0000
    batch_train_loss: 2.2963, original=2.2963, J6=0.0000
    batch_train_loss: 2.3045, original=2.3045, J6=0.0000
    batch_train_loss: 2.3040, original=2.3040, J6=0.0000
    batch_train_loss: 2.2989, original=2.2989, J6=0.0000
    batch_train_loss: 2.3035, original=2.3035, J6=0.0000
    batch_train_loss: 2.3007, original=2.3007, J6=0.0000
    batch_train_loss: 2.2999, original=2.2999, J6=0.0000
    batch_train_loss: 2.2948, original=2.2948, J6=0.0000
    batch_train_loss: 2.2979, original=2.2979, J6=0.0000
(num=200,lam=0.0001,coef=0.7800000000000002)epoch=0, trainloss=2.304, testloss=['2.351', '2.266', '2.252', '2.373', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.374', '9.981', '0.000', '0.000', '0.000', '0.104', '85.117', '0.205', '5.550']
    batch_train_loss: 2.2950, original=2.2950, J6=0.0000
    batch_train_loss: 2.2966, original=2.2966, J6=0.0000
    batch_train_loss: 2.2960, original=2.2960, J6=0.0000
    batch_train_loss: 2.2955, original=2.2955, J6=0.0000
    batch_train_loss: 2.2930, original=2.2930, J6=0.0000
    batch_train_loss: 2.2980, original=2.2980, J6=0.0000
    batch_train_loss: 2.2976, original=2.2976, J6=0.0000
    batch_train_loss: 2.2968, original=2.2968, J6=0.0000
    batch_train_loss: 2.2860, original=2.2860, J6=0.0000
    batch_train_loss: 2.2873, original=2.2873, J6=0.0000
    batch_train_loss: 2.2901, original=2.2901, J6=0.0000
    batch_train_loss: 2.2863, original=2.2863, J6=0.0000
    batch_train_loss: 2.2940, original=2.2940, J6=0.0000
    batch_train_loss: 2.2928, original=2.2928, J6=0.0000
    batch_train_loss: 2.2836, original=2.2836, J6=0.0000
    batch_train_loss: 2.2885, original=2.2885, J6=0.0000
    batch_train_loss: 2.2892, original=2.2892, J6=0.0000
    batch_train_loss: 2.2825, original=2.2825, J6=0.0000
    batch_train_loss: 2.2828, original=2.2828, J6=0.0000
    batch_train_loss: 2.2836, original=2.2836, J6=0.0000
