[7.76063387 5.08736815 7.85162727 7.369678   6.91355501 7.53487501
 7.11302118 6.66612139 7.48861771 6.75136024]
    batch_train_loss: 2.3082, original=2.3082, J3=0.0022, J5=0.0001
    batch_train_loss: 2.3108, original=2.3108, J3=0.0023, J5=0.0001
    batch_train_loss: 2.3055, original=2.3055, J3=0.0021, J5=0.0001
    batch_train_loss: 2.3058, original=2.3058, J3=0.0022, J5=0.0001
    batch_train_loss: 2.3126, original=2.3126, J3=0.0022, J5=0.0001
    batch_train_loss: 2.3215, original=2.3215, J3=0.0021, J5=0.0001
    batch_train_loss: 2.3109, original=2.3109, J3=0.0022, J5=0.0001
    batch_train_loss: 2.3007, original=2.3007, J3=0.0021, J5=0.0001
    batch_train_loss: 2.2975, original=2.2975, J3=0.0020, J5=0.0001
    batch_train_loss: 2.3118, original=2.3118, J3=0.0022, J5=0.0001
    batch_train_loss: 2.3105, original=2.3105, J3=0.0020, J5=0.0001
    batch_train_loss: 2.2982, original=2.2982, J3=0.0019, J5=0.0001
    batch_train_loss: 2.3068, original=2.3068, J3=0.0023, J5=0.0001
    batch_train_loss: 2.3062, original=2.3062, J3=0.0021, J5=0.0001
    batch_train_loss: 2.3012, original=2.3012, J3=0.0022, J5=0.0001
    batch_train_loss: 2.3060, original=2.3060, J3=0.0024, J5=0.0001
    batch_train_loss: 2.3029, original=2.3029, J3=0.0022, J5=0.0001
    batch_train_loss: 2.3022, original=2.3022, J3=0.0022, J5=0.0001
    batch_train_loss: 2.2971, original=2.2971, J3=0.0022, J5=0.0001
    batch_train_loss: 2.3000, original=2.3000, J3=0.0021, J5=0.0001
(num=200,lam=0.0001,coef=0.7800000000000002)epoch=0, trainloss=2.306, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.374', '9.981', '0.000', '0.000', '0.000', '0.104', '85.117', '0.205', '5.253']
    batch_train_loss: 2.2972, original=2.2972, J3=0.0022, J5=0.0001
    batch_train_loss: 2.2988, original=2.2988, J3=0.0021, J5=0.0001
    batch_train_loss: 2.2981, original=2.2981, J3=0.0021, J5=0.0001
    batch_train_loss: 2.2977, original=2.2977, J3=0.0021, J5=0.0001
    batch_train_loss: 2.2954, original=2.2954, J3=0.0023, J5=0.0001
    batch_train_loss: 2.3002, original=2.3002, J3=0.0021, J5=0.0001
    batch_train_loss: 2.2998, original=2.2998, J3=0.0022, J5=0.0001
    batch_train_loss: 2.2990, original=2.2990, J3=0.0022, J5=0.0001
    batch_train_loss: 2.2883, original=2.2883, J3=0.0022, J5=0.0001
    batch_train_loss: 2.2896, original=2.2896, J3=0.0022, J5=0.0001
    batch_train_loss: 2.2923, original=2.2923, J3=0.0022, J5=0.0001
    batch_train_loss: 2.2885, original=2.2885, J3=0.0022, J5=0.0001
    batch_train_loss: 2.2962, original=2.2962, J3=0.0021, J5=0.0001
    batch_train_loss: 2.2952, original=2.2952, J3=0.0023, J5=0.0001
    batch_train_loss: 2.2857, original=2.2857, J3=0.0021, J5=0.0001
    batch_train_loss: 2.2908, original=2.2908, J3=0.0021, J5=0.0001
    batch_train_loss: 2.2914, original=2.2914, J3=0.0021, J5=0.0001
    batch_train_loss: 2.2847, original=2.2847, J3=0.0020, J5=0.0001
    batch_train_loss: 2.2851, original=2.2851, J3=0.0022, J5=0.0001
    batch_train_loss: 2.2859, original=2.2859, J3=0.0022, J5=0.0001
(num=200,lam=0.0001,coef=0.7800000000000002)epoch=1, trainloss=2.293, testloss=['2.314', '2.277', '2.241', '2.348', '2.284', '2.337', '2.264', '2.238', '2.264', '2.256'], testacc=['0.000', '9.604', '43.508', '0.000', '2.037', '0.000', '2.192', '84.144', '4.723', '30.525']
    batch_train_loss: 2.2869, original=2.2869, J3=0.0022, J5=0.0001
    batch_train_loss: 2.2814, original=2.2814, J3=0.0023, J5=0.0001
    batch_train_loss: 2.2824, original=2.2824, J3=0.0022, J5=0.0001
    batch_train_loss: 2.2793, original=2.2793, J3=0.0024, J5=0.0001
    batch_train_loss: 2.2787, original=2.2787, J3=0.0021, J5=0.0001
    batch_train_loss: 2.2829, original=2.2829, J3=0.0023, J5=0.0001
    batch_train_loss: 2.2786, original=2.2786, J3=0.0022, J5=0.0001
    batch_train_loss: 2.2840, original=2.2840, J3=0.0023, J5=0.0001
    batch_train_loss: 2.2761, original=2.2761, J3=0.0021, J5=0.0001
    batch_train_loss: 2.2777, original=2.2777, J3=0.0022, J5=0.0001
    batch_train_loss: 2.2767, original=2.2767, J3=0.0020, J5=0.0001
    batch_train_loss: 2.2783, original=2.2783, J3=0.0019, J5=0.0001
    batch_train_loss: 2.2739, original=2.2739, J3=0.0022, J5=0.0001
    batch_train_loss: 2.2714, original=2.2714, J3=0.0022, J5=0.0001
    batch_train_loss: 2.2769, original=2.2769, J3=0.0022, J5=0.0001
    batch_train_loss: 2.2722, original=2.2722, J3=0.0022, J5=0.0001
    batch_train_loss: 2.2831, original=2.2831, J3=0.0022, J5=0.0001
    batch_train_loss: 2.2701, original=2.2701, J3=0.0022, J5=0.0001
    batch_train_loss: 2.2705, original=2.2705, J3=0.0023, J5=0.0001
    batch_train_loss: 2.2755, original=2.2755, J3=0.0022, J5=0.0001
(num=200,lam=0.0001,coef=0.7800000000000002)epoch=2, trainloss=2.278, testloss=['2.262', '2.278', '2.225', '2.322', '2.273', '2.337', '2.248', '2.235', '2.242', '2.243'], testacc=['1.327', '9.604', '68.120', '0.000', '7.637', '0.000', '9.186', '72.665', '38.809', '62.042']
    batch_train_loss: 2.2754, original=2.2754, J3=0.0023, J5=0.0001
    batch_train_loss: 2.2641, original=2.2641, J3=0.0022, J5=0.0001
    batch_train_loss: 2.2639, original=2.2639, J3=0.0024, J5=0.0001
    batch_train_loss: 2.2707, original=2.2707, J3=0.0023, J5=0.0001
    batch_train_loss: 2.2684, original=2.2684, J3=0.0022, J5=0.0001
    batch_train_loss: 2.2563, original=2.2563, J3=0.0023, J5=0.0001
    batch_train_loss: 2.2677, original=2.2677, J3=0.0023, J5=0.0001
    batch_train_loss: 2.2664, original=2.2664, J3=0.0021, J5=0.0001
    batch_train_loss: 2.2608, original=2.2608, J3=0.0022, J5=0.0001
    batch_train_loss: 2.2604, original=2.2604, J3=0.0021, J5=0.0001
    batch_train_loss: 2.2605, original=2.2605, J3=0.0024, J5=0.0001
    batch_train_loss: 2.2534, original=2.2534, J3=0.0022, J5=0.0001
    batch_train_loss: 2.2555, original=2.2555, J3=0.0023, J5=0.0001
    batch_train_loss: 2.2603, original=2.2603, J3=0.0024, J5=0.0001
    batch_train_loss: 2.2603, original=2.2603, J3=0.0023, J5=0.0001
    batch_train_loss: 2.2612, original=2.2612, J3=0.0022, J5=0.0001
    batch_train_loss: 2.2637, original=2.2637, J3=0.0024, J5=0.0001
    batch_train_loss: 2.2532, original=2.2532, J3=0.0023, J5=0.0001
    batch_train_loss: 2.2516, original=2.2516, J3=0.0023, J5=0.0001
    batch_train_loss: 2.2552, original=2.2552, J3=0.0023, J5=0.0001
(num=200,lam=0.0001,coef=0.7800000000000002)epoch=3, trainloss=2.261, testloss=['2.222', '2.277', '2.216', '2.288', '2.262', '2.325', '2.223', '2.229', '2.218', '2.230'], testacc=['52.041', '9.339', '65.116', '1.584', '13.544', '0.000', '38.727', '66.732', '82.546', '72.349']
    batch_train_loss: 2.2426, original=2.2426, J3=0.0023, J5=0.0001
    batch_train_loss: 2.2560, original=2.2560, J3=0.0023, J5=0.0001
    batch_train_loss: 2.2455, original=2.2455, J3=0.0023, J5=0.0001
    batch_train_loss: 2.2490, original=2.2490, J3=0.0021, J5=0.0001
    batch_train_loss: 2.2488, original=2.2488, J3=0.0023, J5=0.0001
    batch_train_loss: 2.2488, original=2.2488, J3=0.0024, J5=0.0001
    batch_train_loss: 2.2500, original=2.2500, J3=0.0024, J5=0.0001
    batch_train_loss: 2.2421, original=2.2421, J3=0.0022, J5=0.0001
    batch_train_loss: 2.2488, original=2.2488, J3=0.0024, J5=0.0001
    batch_train_loss: 2.2471, original=2.2471, J3=0.0022, J5=0.0001
    batch_train_loss: 2.2478, original=2.2478, J3=0.0026, J5=0.0001
    batch_train_loss: 2.2419, original=2.2419, J3=0.0023, J5=0.0001
