[7.95962448 5.21781349 8.05295105 7.5586441  7.09082565 7.72807693
 7.29540634 6.83704758 7.68063354 6.92447205]
    batch_train_loss: 2.3276, original=2.3276, J1=0.0217
    batch_train_loss: 2.3304, original=2.3304, J1=0.0219
    batch_train_loss: 2.3235, original=2.3235, J1=0.0202
    batch_train_loss: 2.3251, original=2.3251, J1=0.0215
    batch_train_loss: 2.3316, original=2.3316, J1=0.0213
    batch_train_loss: 2.3407, original=2.3407, J1=0.0214
    batch_train_loss: 2.3301, original=2.3301, J1=0.0215
    batch_train_loss: 2.3185, original=2.3185, J1=0.0200
    batch_train_loss: 2.3146, original=2.3146, J1=0.0191
    batch_train_loss: 2.3310, original=2.3310, J1=0.0215
    batch_train_loss: 2.3279, original=2.3279, J1=0.0195
    batch_train_loss: 2.3145, original=2.3145, J1=0.0182
    batch_train_loss: 2.3265, original=2.3265, J1=0.0221
    batch_train_loss: 2.3249, original=2.3249, J1=0.0209
    batch_train_loss: 2.3200, original=2.3200, J1=0.0211
    batch_train_loss: 2.3263, original=2.3263, J1=0.0228
    batch_train_loss: 2.3225, original=2.3225, J1=0.0218
    batch_train_loss: 2.3215, original=2.3215, J1=0.0216
    batch_train_loss: 2.3163, original=2.3163, J1=0.0215
    batch_train_loss: 2.3186, original=2.3186, J1=0.0208
(num=200,lam=0.0001,coef=0.7999999999999999)epoch=0, trainloss=2.325, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.198', '9.884', '0.000', '0.000', '0.000', '0.104', '85.409', '0.205', '5.352']
    batch_train_loss: 2.3156, original=2.3156, J1=0.0206
    batch_train_loss: 2.3168, original=2.3168, J1=0.0202
    batch_train_loss: 2.3158, original=2.3158, J1=0.0199
    batch_train_loss: 2.3160, original=2.3160, J1=0.0205
    batch_train_loss: 2.3157, original=2.3157, J1=0.0227
    batch_train_loss: 2.3189, original=2.3189, J1=0.0208
    batch_train_loss: 2.3192, original=2.3192, J1=0.0217
    batch_train_loss: 2.3184, original=2.3184, J1=0.0216
    batch_train_loss: 2.3073, original=2.3073, J1=0.0212
    batch_train_loss: 2.3090, original=2.3090, J1=0.0217
    batch_train_loss: 2.3116, original=2.3116, J1=0.0215
    batch_train_loss: 2.3073, original=2.3073, J1=0.0209
    batch_train_loss: 2.3143, original=2.3143, J1=0.0203
    batch_train_loss: 2.3150, original=2.3150, J1=0.0221
    batch_train_loss: 2.3035, original=2.3035, J1=0.0198
    batch_train_loss: 2.3096, original=2.3096, J1=0.0209
    batch_train_loss: 2.3094, original=2.3094, J1=0.0200
    batch_train_loss: 2.3023, original=2.3023, J1=0.0196
    batch_train_loss: 2.3043, original=2.3043, J1=0.0214
    batch_train_loss: 2.3047, original=2.3047, J1=0.0209
(num=200,lam=0.0001,coef=0.7999999999999999)epoch=1, trainloss=2.312, testloss=['2.315', '2.277', '2.241', '2.348', '2.284', '2.337', '2.265', '2.238', '2.264', '2.256'], testacc=['0.000', '9.604', '43.508', '0.000', '1.935', '0.000', '2.192', '84.630', '4.723', '30.129']
    batch_train_loss: 2.3062, original=2.3062, J1=0.0215
    batch_train_loss: 2.3016, original=2.3016, J1=0.0224
    batch_train_loss: 2.3013, original=2.3013, J1=0.0209
    batch_train_loss: 2.2999, original=2.2999, J1=0.0228
    batch_train_loss: 2.2963, original=2.2963, J1=0.0195
    batch_train_loss: 2.3026, original=2.3026, J1=0.0219
