[7.95962448 5.21781349 8.05295105 7.5586441  7.09082565 7.72807693
 7.29540634 6.83704758 7.68063354 6.92447205]
    batch_train_loss: 2.3084, original=2.3084, J3=0.0024, J5=0.0001
    batch_train_loss: 2.3110, original=2.3110, J3=0.0024, J5=0.0001
    batch_train_loss: 2.3056, original=2.3056, J3=0.0023, J5=0.0001
    batch_train_loss: 2.3060, original=2.3060, J3=0.0024, J5=0.0001
    batch_train_loss: 2.3127, original=2.3127, J3=0.0024, J5=0.0001
    batch_train_loss: 2.3217, original=2.3217, J3=0.0023, J5=0.0001
    batch_train_loss: 2.3110, original=2.3110, J3=0.0024, J5=0.0001
    batch_train_loss: 2.3008, original=2.3008, J3=0.0023, J5=0.0001
    batch_train_loss: 2.2977, original=2.2977, J3=0.0022, J5=0.0001
    batch_train_loss: 2.3120, original=2.3120, J3=0.0024, J5=0.0001
    batch_train_loss: 2.3107, original=2.3107, J3=0.0022, J5=0.0001
    batch_train_loss: 2.2984, original=2.2984, J3=0.0020, J5=0.0001
    batch_train_loss: 2.3070, original=2.3070, J3=0.0025, J5=0.0001
    batch_train_loss: 2.3064, original=2.3064, J3=0.0023, J5=0.0001
    batch_train_loss: 2.3014, original=2.3014, J3=0.0024, J5=0.0001
    batch_train_loss: 2.3062, original=2.3062, J3=0.0026, J5=0.0001
    batch_train_loss: 2.3031, original=2.3031, J3=0.0024, J5=0.0001
    batch_train_loss: 2.3024, original=2.3024, J3=0.0024, J5=0.0001
    batch_train_loss: 2.2973, original=2.2973, J3=0.0024, J5=0.0001
    batch_train_loss: 2.3002, original=2.3002, J3=0.0022, J5=0.0001
(num=200,lam=0.0001,coef=0.8000000000000003)epoch=0, trainloss=2.306, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.374', '9.981', '0.000', '0.000', '0.000', '0.104', '85.117', '0.205', '5.253']
    batch_train_loss: 2.2974, original=2.2974, J3=0.0023, J5=0.0001
    batch_train_loss: 2.2989, original=2.2989, J3=0.0023, J5=0.0001
    batch_train_loss: 2.2983, original=2.2983, J3=0.0022, J5=0.0001
    batch_train_loss: 2.2978, original=2.2978, J3=0.0023, J5=0.0001
    batch_train_loss: 2.2956, original=2.2956, J3=0.0025, J5=0.0001
    batch_train_loss: 2.3004, original=2.3004, J3=0.0023, J5=0.0001
    batch_train_loss: 2.3000, original=2.3000, J3=0.0024, J5=0.0001
    batch_train_loss: 2.2992, original=2.2992, J3=0.0024, J5=0.0001
    batch_train_loss: 2.2885, original=2.2885, J3=0.0024, J5=0.0001
    batch_train_loss: 2.2898, original=2.2898, J3=0.0024, J5=0.0001
    batch_train_loss: 2.2925, original=2.2925, J3=0.0024, J5=0.0001
    batch_train_loss: 2.2887, original=2.2887, J3=0.0023, J5=0.0001
    batch_train_loss: 2.2963, original=2.2963, J3=0.0023, J5=0.0001
    batch_train_loss: 2.2954, original=2.2954, J3=0.0025, J5=0.0001
    batch_train_loss: 2.2859, original=2.2859, J3=0.0022, J5=0.0001
    batch_train_loss: 2.2910, original=2.2910, J3=0.0023, J5=0.0001
