[8.15861509 5.34825883 8.25427483 7.74761021 7.26809629 7.92127886
 7.4777915  7.00797377 7.87264938 7.09758385]
    batch_train_loss: 2.3086, original=2.3086, J3=0.0026, J5=0.0001
    batch_train_loss: 2.3112, original=2.3112, J3=0.0026, J5=0.0001
    batch_train_loss: 2.3058, original=2.3058, J3=0.0024, J5=0.0001
    batch_train_loss: 2.3062, original=2.3062, J3=0.0026, J5=0.0001
    batch_train_loss: 2.3129, original=2.3129, J3=0.0025, J5=0.0001
    batch_train_loss: 2.3219, original=2.3219, J3=0.0025, J5=0.0001
    batch_train_loss: 2.3112, original=2.3112, J3=0.0026, J5=0.0001
    batch_train_loss: 2.3010, original=2.3010, J3=0.0024, J5=0.0001
    batch_train_loss: 2.2979, original=2.2979, J3=0.0023, J5=0.0001
    batch_train_loss: 2.3121, original=2.3121, J3=0.0026, J5=0.0001
    batch_train_loss: 2.3109, original=2.3109, J3=0.0023, J5=0.0001
    batch_train_loss: 2.2986, original=2.2986, J3=0.0022, J5=0.0001
    batch_train_loss: 2.3072, original=2.3072, J3=0.0027, J5=0.0001
    batch_train_loss: 2.3066, original=2.3066, J3=0.0025, J5=0.0001
    batch_train_loss: 2.3015, original=2.3015, J3=0.0025, J5=0.0001
    batch_train_loss: 2.3063, original=2.3063, J3=0.0028, J5=0.0001
    batch_train_loss: 2.3033, original=2.3033, J3=0.0026, J5=0.0001
    batch_train_loss: 2.3026, original=2.3026, J3=0.0026, J5=0.0001
    batch_train_loss: 2.2975, original=2.2975, J3=0.0026, J5=0.0001
    batch_train_loss: 2.3003, original=2.3003, J3=0.0024, J5=0.0001
(num=200,lam=0.0001,coef=0.8200000000000003)epoch=0, trainloss=2.306, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.374', '9.981', '0.000', '0.000', '0.000', '0.104', '85.214', '0.205', '5.253']
    batch_train_loss: 2.2976, original=2.2976, J3=0.0025, J5=0.0001
    batch_train_loss: 2.2991, original=2.2991, J3=0.0025, J5=0.0001
    batch_train_loss: 2.2984, original=2.2984, J3=0.0024, J5=0.0001
    batch_train_loss: 2.2980, original=2.2980, J3=0.0025, J5=0.0001
    batch_train_loss: 2.2958, original=2.2958, J3=0.0027, J5=0.0001
    batch_train_loss: 2.3006, original=2.3006, J3=0.0025, J5=0.0001
    batch_train_loss: 2.3002, original=2.3002, J3=0.0026, J5=0.0001
    batch_train_loss: 2.2994, original=2.2994, J3=0.0026, J5=0.0001
    batch_train_loss: 2.2887, original=2.2887, J3=0.0026, J5=0.0001
    batch_train_loss: 2.2900, original=2.2900, J3=0.0026, J5=0.0001
    batch_train_loss: 2.2927, original=2.2927, J3=0.0026, J5=0.0001
    batch_train_loss: 2.2889, original=2.2889, J3=0.0025, J5=0.0001
    batch_train_loss: 2.2965, original=2.2965, J3=0.0024, J5=0.0001
    batch_train_loss: 2.2956, original=2.2956, J3=0.0026, J5=0.0001
    batch_train_loss: 2.2861, original=2.2861, J3=0.0024, J5=0.0001
    batch_train_loss: 2.2912, original=2.2912, J3=0.0025, J5=0.0001
    batch_train_loss: 2.2918, original=2.2918, J3=0.0024, J5=0.0001
    batch_train_loss: 2.2850, original=2.2850, J3=0.0024, J5=0.0001
    batch_train_loss: 2.2855, original=2.2855, J3=0.0026, J5=0.0001
    batch_train_loss: 2.2862, original=2.2862, J3=0.0025, J5=0.0001
(num=200,lam=0.0001,coef=0.8200000000000003)epoch=1, trainloss=2.293, testloss=['2.314', '2.277', '2.241', '2.348', '2.284', '2.337', '2.264', '2.238', '2.264', '2.256'], testacc=['0.000', '9.604', '43.508', '0.000', '2.037', '0.000', '2.192', '84.144', '4.723', '30.426']
    batch_train_loss: 2.2873, original=2.2873, J3=0.0026, J5=0.0001
    batch_train_loss: 2.2818, original=2.2818, J3=0.0027, J5=0.0001
    batch_train_loss: 2.2829, original=2.2829, J3=0.0025, J5=0.0001
    batch_train_loss: 2.2797, original=2.2797, J3=0.0027, J5=0.0001
    batch_train_loss: 2.2791, original=2.2791, J3=0.0024, J5=0.0001
    batch_train_loss: 2.2833, original=2.2833, J3=0.0026, J5=0.0001
    batch_train_loss: 2.2790, original=2.2790, J3=0.0025, J5=0.0001
    batch_train_loss: 2.2844, original=2.2844, J3=0.0027, J5=0.0001
    batch_train_loss: 2.2764, original=2.2764, J3=0.0024, J5=0.0001
    batch_train_loss: 2.2781, original=2.2781, J3=0.0026, J5=0.0001
    batch_train_loss: 2.2771, original=2.2771, J3=0.0023, J5=0.0001
    batch_train_loss: 2.2786, original=2.2786, J3=0.0021, J5=0.0001
    batch_train_loss: 2.2743, original=2.2743, J3=0.0026, J5=0.0001
    batch_train_loss: 2.2718, original=2.2718, J3=0.0026, J5=0.0001
    batch_train_loss: 2.2773, original=2.2773, J3=0.0026, J5=0.0001
    batch_train_loss: 2.2726, original=2.2726, J3=0.0025, J5=0.0001
    batch_train_loss: 2.2835, original=2.2835, J3=0.0026, J5=0.0001
    batch_train_loss: 2.2705, original=2.2705, J3=0.0026, J5=0.0001
    batch_train_loss: 2.2710, original=2.2710, J3=0.0027, J5=0.0001
    batch_train_loss: 2.2759, original=2.2759, J3=0.0026, J5=0.0001
(num=200,lam=0.0001,coef=0.8200000000000003)epoch=2, trainloss=2.278, testloss=['2.263', '2.278', '2.225', '2.322', '2.273', '2.337', '2.248', '2.235', '2.242', '2.243'], testacc=['1.327', '9.692', '68.120', '0.000', '7.637', '0.000', '9.290', '72.763', '38.706', '62.042']
    batch_train_loss: 2.2758, original=2.2758, J3=0.0027, J5=0.0001
    batch_train_loss: 2.2645, original=2.2645, J3=0.0026, J5=0.0001
    batch_train_loss: 2.2643, original=2.2643, J3=0.0027, J5=0.0001
    batch_train_loss: 2.2712, original=2.2712, J3=0.0026, J5=0.0001
