[8.2581104  5.4134815  8.35493671 7.84209326 7.35673162 8.01787982
 7.56898408 7.09343686 7.9686573  7.18413975]
    batch_train_loss: 2.3087, original=2.3087, J3=0.0027, J5=0.0001
    batch_train_loss: 2.3113, original=2.3113, J3=0.0027, J5=0.0001
    batch_train_loss: 2.3059, original=2.3059, J3=0.0025, J5=0.0001
    batch_train_loss: 2.3063, original=2.3063, J3=0.0027, J5=0.0001
    batch_train_loss: 2.3130, original=2.3130, J3=0.0026, J5=0.0001
    batch_train_loss: 2.3220, original=2.3220, J3=0.0026, J5=0.0001
    batch_train_loss: 2.3113, original=2.3113, J3=0.0026, J5=0.0001
    batch_train_loss: 2.3011, original=2.3011, J3=0.0025, J5=0.0001
    batch_train_loss: 2.2980, original=2.2980, J3=0.0024, J5=0.0001
    batch_train_loss: 2.3122, original=2.3122, J3=0.0027, J5=0.0001
    batch_train_loss: 2.3110, original=2.3110, J3=0.0024, J5=0.0001
    batch_train_loss: 2.2986, original=2.2986, J3=0.0023, J5=0.0001
    batch_train_loss: 2.3073, original=2.3073, J3=0.0028, J5=0.0001
    batch_train_loss: 2.3067, original=2.3067, J3=0.0026, J5=0.0001
    batch_train_loss: 2.3016, original=2.3016, J3=0.0026, J5=0.0001
    batch_train_loss: 2.3064, original=2.3064, J3=0.0029, J5=0.0001
    batch_train_loss: 2.3034, original=2.3034, J3=0.0027, J5=0.0001
    batch_train_loss: 2.3027, original=2.3027, J3=0.0027, J5=0.0001
    batch_train_loss: 2.2976, original=2.2976, J3=0.0027, J5=0.0001
    batch_train_loss: 2.3004, original=2.3004, J3=0.0025, J5=0.0001
(num=200,lam=0.0001,coef=0.8300000000000003)epoch=0, trainloss=2.306, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.374', '9.981', '0.000', '0.000', '0.000', '0.104', '85.214', '0.205', '5.253']
    batch_train_loss: 2.2977, original=2.2977, J3=0.0026, J5=0.0001
    batch_train_loss: 2.2992, original=2.2992, J3=0.0026, J5=0.0001
    batch_train_loss: 2.2985, original=2.2985, J3=0.0025, J5=0.0001
    batch_train_loss: 2.2981, original=2.2981, J3=0.0026, J5=0.0001
    batch_train_loss: 2.2959, original=2.2959, J3=0.0028, J5=0.0001
    batch_train_loss: 2.3007, original=2.3007, J3=0.0026, J5=0.0001
    batch_train_loss: 2.3003, original=2.3003, J3=0.0027, J5=0.0001
    batch_train_loss: 2.2995, original=2.2995, J3=0.0027, J5=0.0001
    batch_train_loss: 2.2888, original=2.2888, J3=0.0027, J5=0.0001
    batch_train_loss: 2.2901, original=2.2901, J3=0.0027, J5=0.0001
    batch_train_loss: 2.2928, original=2.2928, J3=0.0027, J5=0.0001
    batch_train_loss: 2.2890, original=2.2890, J3=0.0026, J5=0.0001
    batch_train_loss: 2.2966, original=2.2966, J3=0.0025, J5=0.0001
    batch_train_loss: 2.2957, original=2.2957, J3=0.0027, J5=0.0001
    batch_train_loss: 2.2862, original=2.2862, J3=0.0025, J5=0.0001
    batch_train_loss: 2.2912, original=2.2912, J3=0.0026, J5=0.0001
