[8.35760571 5.47870417 8.4555986  7.93657631 7.44536694 8.11448078
 7.66017666 7.17889996 8.06466522 7.27069565]
    batch_train_loss: 2.3088, original=2.3088, J3=0.0028, J5=0.0001
    batch_train_loss: 2.3114, original=2.3114, J3=0.0028, J5=0.0001
    batch_train_loss: 2.3060, original=2.3060, J3=0.0026, J5=0.0001
    batch_train_loss: 2.3064, original=2.3064, J3=0.0028, J5=0.0001
    batch_train_loss: 2.3131, original=2.3131, J3=0.0027, J5=0.0001
    batch_train_loss: 2.3221, original=2.3221, J3=0.0027, J5=0.0001
    batch_train_loss: 2.3114, original=2.3114, J3=0.0027, J5=0.0001
    batch_train_loss: 2.3012, original=2.3012, J3=0.0026, J5=0.0001
    batch_train_loss: 2.2980, original=2.2980, J3=0.0025, J5=0.0001
    batch_train_loss: 2.3123, original=2.3123, J3=0.0028, J5=0.0001
    batch_train_loss: 2.3111, original=2.3111, J3=0.0025, J5=0.0001
    batch_train_loss: 2.2987, original=2.2987, J3=0.0024, J5=0.0001
    batch_train_loss: 2.3074, original=2.3074, J3=0.0029, J5=0.0001
    batch_train_loss: 2.3068, original=2.3068, J3=0.0027, J5=0.0001
    batch_train_loss: 2.3017, original=2.3017, J3=0.0027, J5=0.0001
    batch_train_loss: 2.3065, original=2.3065, J3=0.0030, J5=0.0001
    batch_train_loss: 2.3035, original=2.3035, J3=0.0028, J5=0.0001
    batch_train_loss: 2.3027, original=2.3027, J3=0.0028, J5=0.0001
    batch_train_loss: 2.2977, original=2.2977, J3=0.0028, J5=0.0001
    batch_train_loss: 2.3005, original=2.3005, J3=0.0026, J5=0.0001
(num=200,lam=0.0001,coef=0.8400000000000003)epoch=0, trainloss=2.306, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.374', '9.981', '0.000', '0.000', '0.000', '0.104', '85.311', '0.205', '5.253']
    batch_train_loss: 2.2977, original=2.2977, J3=0.0027, J5=0.0001
    batch_train_loss: 2.2993, original=2.2993, J3=0.0026, J5=0.0001
    batch_train_loss: 2.2986, original=2.2986, J3=0.0026, J5=0.0001
    batch_train_loss: 2.2982, original=2.2982, J3=0.0027, J5=0.0001
    batch_train_loss: 2.2960, original=2.2960, J3=0.0029, J5=0.0001
