[8.55659632 5.6091495  8.65692238 8.12554241 7.62263758 8.3076827
 7.84256182 7.34982615 8.25668106 7.44380745]
    batch_train_loss: 2.3090, original=2.3090, J3=0.0030, J5=0.0001
    batch_train_loss: 2.3116, original=2.3116, J3=0.0030, J5=0.0001
    batch_train_loss: 2.3062, original=2.3062, J3=0.0028, J5=0.0001
    batch_train_loss: 2.3066, original=2.3066, J3=0.0030, J5=0.0001
    batch_train_loss: 2.3133, original=2.3133, J3=0.0029, J5=0.0001
    batch_train_loss: 2.3223, original=2.3223, J3=0.0029, J5=0.0001
    batch_train_loss: 2.3116, original=2.3116, J3=0.0029, J5=0.0001
    batch_train_loss: 2.3014, original=2.3014, J3=0.0028, J5=0.0001
    batch_train_loss: 2.2982, original=2.2982, J3=0.0027, J5=0.0001
    batch_train_loss: 2.3125, original=2.3125, J3=0.0029, J5=0.0001
    batch_train_loss: 2.3113, original=2.3113, J3=0.0027, J5=0.0001
    batch_train_loss: 2.2989, original=2.2989, J3=0.0025, J5=0.0001
    batch_train_loss: 2.3076, original=2.3076, J3=0.0031, J5=0.0001
    batch_train_loss: 2.3069, original=2.3069, J3=0.0029, J5=0.0001
    batch_train_loss: 2.3019, original=2.3019, J3=0.0029, J5=0.0001
    batch_train_loss: 2.3067, original=2.3067, J3=0.0031, J5=0.0001
    batch_train_loss: 2.3037, original=2.3037, J3=0.0029, J5=0.0001
    batch_train_loss: 2.3029, original=2.3029, J3=0.0029, J5=0.0001
    batch_train_loss: 2.2979, original=2.2979, J3=0.0030, J5=0.0001
    batch_train_loss: 2.3007, original=2.3007, J3=0.0028, J5=0.0001
(num=200,lam=0.0001,coef=0.8600000000000003)epoch=0, trainloss=2.307, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.374', '9.981', '0.000', '0.000', '0.000', '0.104', '85.311', '0.205', '5.253']
    batch_train_loss: 2.2979, original=2.2979, J3=0.0029, J5=0.0001
    batch_train_loss: 2.2995, original=2.2995, J3=0.0028, J5=0.0001
    batch_train_loss: 2.2988, original=2.2988, J3=0.0028, J5=0.0001
    batch_train_loss: 2.2984, original=2.2984, J3=0.0028, J5=0.0001
    batch_train_loss: 2.2962, original=2.2962, J3=0.0031, J5=0.0001
    batch_train_loss: 2.3010, original=2.3010, J3=0.0029, J5=0.0001
