[8.65609162 5.67437217 8.75758427 8.22002546 7.7112729  8.40428367
 7.9337544  7.43528924 8.35268898 7.53036335]
    batch_train_loss: 2.3091, original=2.3091, J3=0.0031, J5=0.0001
    batch_train_loss: 2.3117, original=2.3117, J3=0.0031, J5=0.0001
    batch_train_loss: 2.3063, original=2.3063, J3=0.0029, J5=0.0001
    batch_train_loss: 2.3067, original=2.3067, J3=0.0031, J5=0.0001
    batch_train_loss: 2.3134, original=2.3134, J3=0.0030, J5=0.0001
    batch_train_loss: 2.3224, original=2.3224, J3=0.0030, J5=0.0001
    batch_train_loss: 2.3117, original=2.3117, J3=0.0030, J5=0.0001
    batch_train_loss: 2.3015, original=2.3015, J3=0.0029, J5=0.0001
    batch_train_loss: 2.2983, original=2.2983, J3=0.0028, J5=0.0001
    batch_train_loss: 2.3126, original=2.3126, J3=0.0030, J5=0.0001
    batch_train_loss: 2.3114, original=2.3114, J3=0.0028, J5=0.0001
    batch_train_loss: 2.2990, original=2.2990, J3=0.0026, J5=0.0001
    batch_train_loss: 2.3077, original=2.3077, J3=0.0032, J5=0.0001
    batch_train_loss: 2.3070, original=2.3070, J3=0.0030, J5=0.0001
    batch_train_loss: 2.3020, original=2.3020, J3=0.0030, J5=0.0001
    batch_train_loss: 2.3068, original=2.3068, J3=0.0032, J5=0.0001
    batch_train_loss: 2.3038, original=2.3038, J3=0.0030, J5=0.0001
    batch_train_loss: 2.3030, original=2.3030, J3=0.0030, J5=0.0001
    batch_train_loss: 2.2980, original=2.2980, J3=0.0031, J5=0.0001
    batch_train_loss: 2.3008, original=2.3008, J3=0.0028, J5=0.0001
(num=200,lam=0.0001,coef=0.8700000000000003)epoch=0, trainloss=2.307, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.374', '9.981', '0.000', '0.000', '0.000', '0.104', '85.311', '0.205', '5.253']
    batch_train_loss: 2.2980, original=2.2980, J3=0.0030, J5=0.0001
    batch_train_loss: 2.2996, original=2.2996, J3=0.0029, J5=0.0001
    batch_train_loss: 2.2989, original=2.2989, J3=0.0028, J5=0.0001
    batch_train_loss: 2.2985, original=2.2985, J3=0.0029, J5=0.0001
    batch_train_loss: 2.2963, original=2.2963, J3=0.0032, J5=0.0001
    batch_train_loss: 2.3011, original=2.3011, J3=0.0029, J5=0.0001
    batch_train_loss: 2.3007, original=2.3007, J3=0.0030, J5=0.0001
    batch_train_loss: 2.2999, original=2.2999, J3=0.0030, J5=0.0001
    batch_train_loss: 2.2892, original=2.2892, J3=0.0031, J5=0.0001
    batch_train_loss: 2.2905, original=2.2905, J3=0.0031, J5=0.0001
    batch_train_loss: 2.2932, original=2.2932, J3=0.0030, J5=0.0001
