[9.25306346 6.06570818 9.3615556  8.78692377 8.24308482 8.98388944
 8.48090987 7.94806781 8.9287365  8.04969875]
    batch_train_loss: 2.3097, original=2.3097, J3=0.0036, J5=0.0001
    batch_train_loss: 2.3122, original=2.3122, J3=0.0036, J5=0.0001
    batch_train_loss: 2.3068, original=2.3068, J3=0.0034, J5=0.0001
    batch_train_loss: 2.3073, original=2.3073, J3=0.0036, J5=0.0001
    batch_train_loss: 2.3140, original=2.3140, J3=0.0036, J5=0.0001
    batch_train_loss: 2.3230, original=2.3230, J3=0.0035, J5=0.0001
    batch_train_loss: 2.3123, original=2.3123, J3=0.0035, J5=0.0001
    batch_train_loss: 2.3020, original=2.3020, J3=0.0034, J5=0.0001
    batch_train_loss: 2.2988, original=2.2988, J3=0.0033, J5=0.0001
    batch_train_loss: 2.3132, original=2.3132, J3=0.0036, J5=0.0001
    batch_train_loss: 2.3119, original=2.3119, J3=0.0033, J5=0.0001
    batch_train_loss: 2.2995, original=2.2995, J3=0.0031, J5=0.0001
    batch_train_loss: 2.3083, original=2.3083, J3=0.0037, J5=0.0001
    batch_train_loss: 2.3076, original=2.3076, J3=0.0035, J5=0.0001
    batch_train_loss: 2.3026, original=2.3026, J3=0.0035, J5=0.0001
    batch_train_loss: 2.3074, original=2.3074, J3=0.0038, J5=0.0001
    batch_train_loss: 2.3044, original=2.3044, J3=0.0036, J5=0.0001
    batch_train_loss: 2.3036, original=2.3036, J3=0.0036, J5=0.0001
    batch_train_loss: 2.2985, original=2.2985, J3=0.0036, J5=0.0001
    batch_train_loss: 2.3013, original=2.3013, J3=0.0033, J5=0.0001
(num=200,lam=0.0001,coef=0.9300000000000004)epoch=0, trainloss=2.307, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.374', '9.981', '0.000', '0.000', '0.000', '0.104', '85.311', '0.205', '5.253']
    batch_train_loss: 2.2986, original=2.2986, J3=0.0035, J5=0.0001
    batch_train_loss: 2.3001, original=2.3001, J3=0.0034, J5=0.0001
    batch_train_loss: 2.2994, original=2.2994, J3=0.0034, J5=0.0001
    batch_train_loss: 2.2991, original=2.2991, J3=0.0035, J5=0.0001
    batch_train_loss: 2.2969, original=2.2969, J3=0.0038, J5=0.0001
    batch_train_loss: 2.3016, original=2.3016, J3=0.0035, J5=0.0001
    batch_train_loss: 2.3013, original=2.3013, J3=0.0036, J5=0.0001
    batch_train_loss: 2.3005, original=2.3005, J3=0.0036, J5=0.0001
    batch_train_loss: 2.2898, original=2.2898, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2911, original=2.2911, J3=0.0036, J5=0.0001
    batch_train_loss: 2.2938, original=2.2938, J3=0.0036, J5=0.0001
    batch_train_loss: 2.2900, original=2.2900, J3=0.0035, J5=0.0001
    batch_train_loss: 2.2975, original=2.2975, J3=0.0034, J5=0.0001
    batch_train_loss: 2.2967, original=2.2967, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2871, original=2.2871, J3=0.0034, J5=0.0001
    batch_train_loss: 2.2922, original=2.2922, J3=0.0035, J5=0.0001
    batch_train_loss: 2.2928, original=2.2928, J3=0.0033, J5=0.0001
    batch_train_loss: 2.2860, original=2.2860, J3=0.0033, J5=0.0001
    batch_train_loss: 2.2867, original=2.2867, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2872, original=2.2872, J3=0.0034, J5=0.0001
(num=200,lam=0.0001,coef=0.9300000000000004)epoch=1, trainloss=2.294, testloss=['2.315', '2.277', '2.241', '2.348', '2.284', '2.337', '2.264', '2.238', '2.264', '2.256'], testacc=['0.000', '9.692', '43.411', '0.000', '2.037', '0.000', '2.192', '84.144', '4.825', '30.228']
    batch_train_loss: 2.2885, original=2.2885, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2830, original=2.2830, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2840, original=2.2840, J3=0.0036, J5=0.0001
    batch_train_loss: 2.2808, original=2.2808, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2802, original=2.2802, J3=0.0034, J5=0.0001
    batch_train_loss: 2.2844, original=2.2844, J3=0.0036, J5=0.0001
    batch_train_loss: 2.2800, original=2.2800, J3=0.0035, J5=0.0001
    batch_train_loss: 2.2855, original=2.2855, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2776, original=2.2776, J3=0.0034, J5=0.0001
    batch_train_loss: 2.2792, original=2.2792, J3=0.0036, J5=0.0001
    batch_train_loss: 2.2781, original=2.2781, J3=0.0032, J5=0.0001
    batch_train_loss: 2.2795, original=2.2795, J3=0.0029, J5=0.0001
    batch_train_loss: 2.2755, original=2.2755, J3=0.0036, J5=0.0001
    batch_train_loss: 2.2729, original=2.2729, J3=0.0036, J5=0.0001
    batch_train_loss: 2.2785, original=2.2785, J3=0.0036, J5=0.0001
    batch_train_loss: 2.2737, original=2.2737, J3=0.0035, J5=0.0001
    batch_train_loss: 2.2847, original=2.2847, J3=0.0036, J5=0.0001
    batch_train_loss: 2.2717, original=2.2717, J3=0.0036, J5=0.0001
    batch_train_loss: 2.2722, original=2.2722, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2771, original=2.2771, J3=0.0036, J5=0.0001
(num=200,lam=0.0001,coef=0.9300000000000004)epoch=2, trainloss=2.279, testloss=['2.263', '2.278', '2.225', '2.322', '2.273', '2.337', '2.248', '2.235', '2.242', '2.243'], testacc=['1.327', '9.780', '67.829', '0.000', '7.434', '0.000', '8.977', '73.054', '38.501', '61.843']
    batch_train_loss: 2.2770, original=2.2770, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2658, original=2.2658, J3=0.0036, J5=0.0001
    batch_train_loss: 2.2655, original=2.2655, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2723, original=2.2723, J3=0.0036, J5=0.0001
    batch_train_loss: 2.2701, original=2.2701, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2580, original=2.2580, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2694, original=2.2694, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2681, original=2.2681, J3=0.0034, J5=0.0001
    batch_train_loss: 2.2624, original=2.2624, J3=0.0035, J5=0.0001
