[9.35255877 6.13093085 9.46221748 8.88140682 8.33172014 9.0804904
 8.57210245 8.0335309  9.02474442 8.13625465]
    batch_train_loss: 2.3098, original=2.3098, J3=0.0037, J5=0.0001
    batch_train_loss: 2.3123, original=2.3123, J3=0.0037, J5=0.0001
    batch_train_loss: 2.3069, original=2.3069, J3=0.0035, J5=0.0001
    batch_train_loss: 2.3074, original=2.3074, J3=0.0037, J5=0.0001
    batch_train_loss: 2.3141, original=2.3141, J3=0.0037, J5=0.0001
    batch_train_loss: 2.3230, original=2.3230, J3=0.0036, J5=0.0001
    batch_train_loss: 2.3124, original=2.3124, J3=0.0036, J5=0.0001
    batch_train_loss: 2.3021, original=2.3021, J3=0.0035, J5=0.0001
    batch_train_loss: 2.2989, original=2.2989, J3=0.0034, J5=0.0001
    batch_train_loss: 2.3133, original=2.3133, J3=0.0036, J5=0.0001
    batch_train_loss: 2.3120, original=2.3120, J3=0.0034, J5=0.0001
    batch_train_loss: 2.2996, original=2.2996, J3=0.0032, J5=0.0001
    batch_train_loss: 2.3084, original=2.3084, J3=0.0038, J5=0.0001
    batch_train_loss: 2.3077, original=2.3077, J3=0.0036, J5=0.0001
    batch_train_loss: 2.3027, original=2.3027, J3=0.0036, J5=0.0001
    batch_train_loss: 2.3075, original=2.3075, J3=0.0039, J5=0.0001
    batch_train_loss: 2.3045, original=2.3045, J3=0.0037, J5=0.0001
    batch_train_loss: 2.3037, original=2.3037, J3=0.0036, J5=0.0001
    batch_train_loss: 2.2986, original=2.2986, J3=0.0037, J5=0.0001
    batch_train_loss: 2.3014, original=2.3014, J3=0.0034, J5=0.0001
(num=200,lam=0.0001,coef=0.9400000000000004)epoch=0, trainloss=2.307, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.374', '9.981', '0.000', '0.000', '0.000', '0.104', '85.409', '0.205', '5.253']
    batch_train_loss: 2.2987, original=2.2987, J3=0.0036, J5=0.0001
    batch_train_loss: 2.3002, original=2.3002, J3=0.0035, J5=0.0001
    batch_train_loss: 2.2995, original=2.2995, J3=0.0035, J5=0.0001
    batch_train_loss: 2.2991, original=2.2991, J3=0.0035, J5=0.0001
    batch_train_loss: 2.2970, original=2.2970, J3=0.0038, J5=0.0001
    batch_train_loss: 2.3017, original=2.3017, J3=0.0036, J5=0.0001
    batch_train_loss: 2.3014, original=2.3014, J3=0.0037, J5=0.0001
    batch_train_loss: 2.3006, original=2.3006, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2899, original=2.2899, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2912, original=2.2912, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2939, original=2.2939, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2901, original=2.2901, J3=0.0036, J5=0.0001
    batch_train_loss: 2.2976, original=2.2976, J3=0.0034, J5=0.0001
    batch_train_loss: 2.2968, original=2.2968, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2872, original=2.2872, J3=0.0035, J5=0.0001
    batch_train_loss: 2.2923, original=2.2923, J3=0.0035, J5=0.0001
    batch_train_loss: 2.2929, original=2.2929, J3=0.0034, J5=0.0001
    batch_train_loss: 2.2861, original=2.2861, J3=0.0034, J5=0.0001
    batch_train_loss: 2.2868, original=2.2868, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2873, original=2.2873, J3=0.0035, J5=0.0001
(num=200,lam=0.0001,coef=0.9400000000000004)epoch=1, trainloss=2.295, testloss=['2.315', '2.277', '2.241', '2.348', '2.284', '2.337', '2.264', '2.238', '2.264', '2.256'], testacc=['0.000', '9.692', '43.411', '0.000', '2.037', '0.000', '2.192', '84.144', '4.825', '30.228']
    batch_train_loss: 2.2886, original=2.2886, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2831, original=2.2831, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2841, original=2.2841, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2809, original=2.2809, J3=0.0039, J5=0.0001
    batch_train_loss: 2.2803, original=2.2803, J3=0.0035, J5=0.0001
    batch_train_loss: 2.2845, original=2.2845, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2801, original=2.2801, J3=0.0036, J5=0.0001
    batch_train_loss: 2.2856, original=2.2856, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2777, original=2.2777, J3=0.0035, J5=0.0001
    batch_train_loss: 2.2793, original=2.2793, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2782, original=2.2782, J3=0.0033, J5=0.0001
    batch_train_loss: 2.2796, original=2.2796, J3=0.0030, J5=0.0001
    batch_train_loss: 2.2756, original=2.2756, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2730, original=2.2730, J3=0.0036, J5=0.0001
    batch_train_loss: 2.2786, original=2.2786, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2738, original=2.2738, J3=0.0036, J5=0.0001
    batch_train_loss: 2.2848, original=2.2848, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2718, original=2.2718, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2723, original=2.2723, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2772, original=2.2772, J3=0.0037, J5=0.0001
(num=200,lam=0.0001,coef=0.9400000000000004)epoch=2, trainloss=2.279, testloss=['2.263', '2.278', '2.225', '2.322', '2.273', '2.337', '2.248', '2.235', '2.242', '2.243'], testacc=['1.327', '9.780', '67.829', '0.000', '7.434', '0.000', '8.977', '73.054', '38.398', '61.843']
    batch_train_loss: 2.2771, original=2.2771, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2659, original=2.2659, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2656, original=2.2656, J3=0.0039, J5=0.0001
    batch_train_loss: 2.2724, original=2.2724, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2702, original=2.2702, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2581, original=2.2581, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2695, original=2.2695, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2682, original=2.2682, J3=0.0035, J5=0.0001
    batch_train_loss: 2.2625, original=2.2625, J3=0.0036, J5=0.0001
    batch_train_loss: 2.2619, original=2.2619, J3=0.0034, J5=0.0001
    batch_train_loss: 2.2625, original=2.2625, J3=0.0040, J5=0.0002
    batch_train_loss: 2.2552, original=2.2552, J3=0.0036, J5=0.0001
    batch_train_loss: 2.2574, original=2.2574, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2622, original=2.2622, J3=0.0039, J5=0.0001
    batch_train_loss: 2.2621, original=2.2621, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2631, original=2.2631, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2657, original=2.2657, J3=0.0039, J5=0.0002
    batch_train_loss: 2.2552, original=2.2552, J3=0.0039, J5=0.0001
    batch_train_loss: 2.2536, original=2.2536, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2572, original=2.2572, J3=0.0039, J5=0.0001
(num=200,lam=0.0001,coef=0.9400000000000004)epoch=3, trainloss=2.263, testloss=['2.223', '2.277', '2.216', '2.289', '2.263', '2.325', '2.224', '2.229', '2.219', '2.231'], testacc=['51.020', '9.427', '65.310', '1.386', '13.442', '0.000', '38.309', '66.732', '82.136', '72.349']
    batch_train_loss: 2.2446, original=2.2446, J3=0.0039, J5=0.0001
    batch_train_loss: 2.2580, original=2.2580, J3=0.0039, J5=0.0001
    batch_train_loss: 2.2476, original=2.2476, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2509, original=2.2509, J3=0.0035, J5=0.0001
    batch_train_loss: 2.2508, original=2.2508, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2510, original=2.2510, J3=0.0040, J5=0.0002
    batch_train_loss: 2.2520, original=2.2520, J3=0.0040, J5=0.0002
    batch_train_loss: 2.2443, original=2.2443, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2509, original=2.2509, J3=0.0039, J5=0.0002
    batch_train_loss: 2.2492, original=2.2492, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2500, original=2.2500, J3=0.0042, J5=0.0002
    batch_train_loss: 2.2440, original=2.2440, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2449, original=2.2449, J3=0.0039, J5=0.0001
    batch_train_loss: 2.2420, original=2.2420, J3=0.0040, J5=0.0002
    batch_train_loss: 2.2373, original=2.2373, J3=0.0039, J5=0.0002
    batch_train_loss: 2.2345, original=2.2345, J3=0.0038, J5=0.0002
    batch_train_loss: 2.2362, original=2.2362, J3=0.0042, J5=0.0002
    batch_train_loss: 2.2420, original=2.2420, J3=0.0040, J5=0.0002
    batch_train_loss: 2.2374, original=2.2374, J3=0.0042, J5=0.0002
    batch_train_loss: 2.2351, original=2.2351, J3=0.0039, J5=0.0002
(num=200,lam=0.0001,coef=0.9400000000000004)epoch=4, trainloss=2.245, testloss=['2.166', '2.277', '2.204', '2.261', '2.240', '2.311', '2.201', '2.223', '2.189', '2.225'], testacc=['91.429', '6.784', '59.205', '6.535', '33.401', '0.448', '63.987', '66.148', '96.201', '55.798']
    batch_train_loss: 2.2332, original=2.2332, J3=0.0039, J5=0.0002
    batch_train_loss: 2.2355, original=2.2355, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2314, original=2.2314, J3=0.0035, J5=0.0001
    batch_train_loss: 2.2328, original=2.2328, J3=0.0040, J5=0.0002
    batch_train_loss: 2.2362, original=2.2362, J3=0.0043, J5=0.0002
    batch_train_loss: 2.2266, original=2.2266, J3=0.0039, J5=0.0002
    batch_train_loss: 2.2276, original=2.2276, J3=0.0041, J5=0.0002
    batch_train_loss: 2.2249, original=2.2249, J3=0.0042, J5=0.0002
    batch_train_loss: 2.2290, original=2.2290, J3=0.0044, J5=0.0002
    batch_train_loss: 2.2239, original=2.2239, J3=0.0041, J5=0.0002
    batch_train_loss: 2.2302, original=2.2302, J3=0.0044, J5=0.0002
    batch_train_loss: 2.2212, original=2.2212, J3=0.0041, J5=0.0002
    batch_train_loss: 2.2137, original=2.2137, J3=0.0042, J5=0.0002
    batch_train_loss: 2.2175, original=2.2175, J3=0.0042, J5=0.0002
    batch_train_loss: 2.2313, original=2.2313, J3=0.0043, J5=0.0002
    batch_train_loss: 2.2200, original=2.2200, J3=0.0045, J5=0.0002
    batch_train_loss: 2.2176, original=2.2176, J3=0.0042, J5=0.0002
    batch_train_loss: 2.2098, original=2.2098, J3=0.0042, J5=0.0002
    batch_train_loss: 2.2088, original=2.2088, J3=0.0046, J5=0.0002
    batch_train_loss: 2.2016, original=2.2016, J3=0.0044, J5=0.0002
(num=200,lam=0.0001,coef=0.9400000000000004)epoch=5, trainloss=2.224, testloss=['2.110', '2.271', '2.190', '2.237', '2.218', '2.296', '2.163', '2.206', '2.155', '2.216'], testacc=['95.102', '6.167', '51.163', '11.782', '43.381', '1.009', '76.514', '68.677', '98.049', '38.850']
    batch_train_loss: 2.1971, original=2.1971, J3=0.0041, J5=0.0002
    batch_train_loss: 2.2119, original=2.2119, J3=0.0043, J5=0.0002
    batch_train_loss: 2.2127, original=2.2127, J3=0.0041, J5=0.0002
    batch_train_loss: 2.2169, original=2.2169, J3=0.0042, J5=0.0002
    batch_train_loss: 2.2014, original=2.2014, J3=0.0046, J5=0.0002
    batch_train_loss: 2.2088, original=2.2088, J3=0.0043, J5=0.0002
    batch_train_loss: 2.2023, original=2.2023, J3=0.0045, J5=0.0002
    batch_train_loss: 2.1919, original=2.1919, J3=0.0045, J5=0.0002
    batch_train_loss: 2.2029, original=2.2029, J3=0.0048, J5=0.0002
    batch_train_loss: 2.1930, original=2.1930, J3=0.0046, J5=0.0002
    batch_train_loss: 2.1926, original=2.1926, J3=0.0046, J5=0.0002
    batch_train_loss: 2.1988, original=2.1988, J3=0.0045, J5=0.0002
    batch_train_loss: 2.1993, original=2.1993, J3=0.0043, J5=0.0002
    batch_train_loss: 2.1898, original=2.1898, J3=0.0047, J5=0.0002
    batch_train_loss: 2.1959, original=2.1959, J3=0.0046, J5=0.0002
    batch_train_loss: 2.1922, original=2.1922, J3=0.0046, J5=0.0002
    batch_train_loss: 2.1844, original=2.1844, J3=0.0048, J5=0.0002
    batch_train_loss: 2.1861, original=2.1861, J3=0.0047, J5=0.0002
