[9.45205407 6.19615352 9.56287937 8.97588987 8.42035546 9.17709136
 8.66329503 8.118994   9.12075233 8.22281055]
    batch_train_loss: 2.3099, original=2.3099, J3=0.0038, J5=0.0001
    batch_train_loss: 2.3124, original=2.3124, J3=0.0038, J5=0.0001
    batch_train_loss: 2.3070, original=2.3070, J3=0.0036, J5=0.0001
    batch_train_loss: 2.3075, original=2.3075, J3=0.0038, J5=0.0001
    batch_train_loss: 2.3142, original=2.3142, J3=0.0038, J5=0.0001
    batch_train_loss: 2.3231, original=2.3231, J3=0.0037, J5=0.0001
    batch_train_loss: 2.3124, original=2.3124, J3=0.0037, J5=0.0001
    batch_train_loss: 2.3022, original=2.3022, J3=0.0036, J5=0.0001
    batch_train_loss: 2.2990, original=2.2990, J3=0.0035, J5=0.0001
    batch_train_loss: 2.3134, original=2.3134, J3=0.0037, J5=0.0001
    batch_train_loss: 2.3121, original=2.3121, J3=0.0035, J5=0.0001
    batch_train_loss: 2.2997, original=2.2997, J3=0.0033, J5=0.0001
    batch_train_loss: 2.3085, original=2.3085, J3=0.0039, J5=0.0001
    batch_train_loss: 2.3078, original=2.3078, J3=0.0037, J5=0.0001
    batch_train_loss: 2.3028, original=2.3028, J3=0.0037, J5=0.0001
    batch_train_loss: 2.3076, original=2.3076, J3=0.0040, J5=0.0001
    batch_train_loss: 2.3045, original=2.3045, J3=0.0038, J5=0.0001
    batch_train_loss: 2.3038, original=2.3038, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2987, original=2.2987, J3=0.0038, J5=0.0001
    batch_train_loss: 2.3015, original=2.3015, J3=0.0035, J5=0.0001
(num=200,lam=0.0001,coef=0.9500000000000004)epoch=0, trainloss=2.307, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.374', '9.981', '0.000', '0.000', '0.000', '0.104', '85.409', '0.205', '5.253']
    batch_train_loss: 2.2988, original=2.2988, J3=0.0037, J5=0.0001
    batch_train_loss: 2.3003, original=2.3003, J3=0.0036, J5=0.0001
    batch_train_loss: 2.2996, original=2.2996, J3=0.0035, J5=0.0001
    batch_train_loss: 2.2992, original=2.2992, J3=0.0036, J5=0.0001
    batch_train_loss: 2.2970, original=2.2970, J3=0.0039, J5=0.0001
    batch_train_loss: 2.3018, original=2.3018, J3=0.0037, J5=0.0001
    batch_train_loss: 2.3015, original=2.3015, J3=0.0038, J5=0.0001
    batch_train_loss: 2.3007, original=2.3007, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2900, original=2.2900, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2912, original=2.2912, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2940, original=2.2940, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2902, original=2.2902, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2977, original=2.2977, J3=0.0035, J5=0.0001
    batch_train_loss: 2.2969, original=2.2969, J3=0.0039, J5=0.0001
    batch_train_loss: 2.2873, original=2.2873, J3=0.0035, J5=0.0001
    batch_train_loss: 2.2924, original=2.2924, J3=0.0036, J5=0.0001
    batch_train_loss: 2.2929, original=2.2929, J3=0.0035, J5=0.0001
    batch_train_loss: 2.2862, original=2.2862, J3=0.0035, J5=0.0001
    batch_train_loss: 2.2869, original=2.2869, J3=0.0039, J5=0.0001
    batch_train_loss: 2.2874, original=2.2874, J3=0.0036, J5=0.0001
(num=200,lam=0.0001,coef=0.9500000000000004)epoch=1, trainloss=2.295, testloss=['2.315', '2.277', '2.241', '2.348', '2.284', '2.337', '2.264', '2.238', '2.264', '2.256'], testacc=['0.000', '9.692', '43.411', '0.000', '2.037', '0.000', '2.192', '84.144', '4.825', '30.327']
    batch_train_loss: 2.2887, original=2.2887, J3=0.0039, J5=0.0001
    batch_train_loss: 2.2832, original=2.2832, J3=0.0039, J5=0.0001
    batch_train_loss: 2.2842, original=2.2842, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2810, original=2.2810, J3=0.0040, J5=0.0001
    batch_train_loss: 2.2804, original=2.2804, J3=0.0036, J5=0.0001
    batch_train_loss: 2.2846, original=2.2846, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2802, original=2.2802, J3=0.0036, J5=0.0001
    batch_train_loss: 2.2857, original=2.2857, J3=0.0039, J5=0.0001
    batch_train_loss: 2.2778, original=2.2778, J3=0.0036, J5=0.0001
    batch_train_loss: 2.2794, original=2.2794, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2782, original=2.2782, J3=0.0034, J5=0.0001
    batch_train_loss: 2.2797, original=2.2797, J3=0.0031, J5=0.0001
    batch_train_loss: 2.2757, original=2.2757, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2731, original=2.2731, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2787, original=2.2787, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2739, original=2.2739, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2849, original=2.2849, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2719, original=2.2719, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2724, original=2.2724, J3=0.0039, J5=0.0001
    batch_train_loss: 2.2773, original=2.2773, J3=0.0037, J5=0.0001
(num=200,lam=0.0001,coef=0.9500000000000004)epoch=2, trainloss=2.280, testloss=['2.263', '2.278', '2.225', '2.322', '2.273', '2.337', '2.248', '2.235', '2.243', '2.243'], testacc=['1.327', '9.780', '67.926', '0.000', '7.434', '0.000', '8.873', '73.054', '38.398', '61.744']
    batch_train_loss: 2.2772, original=2.2772, J3=0.0039, J5=0.0001
