[9.75053999 6.39182153 9.86486504 9.25933903 8.68626143 9.46689425
 8.93687277 8.37538328 9.40877609 8.48247826]
    batch_train_loss: 2.3101, original=2.3101, J3=0.0041, J5=0.0001
    batch_train_loss: 2.3127, original=2.3127, J3=0.0041, J5=0.0002
    batch_train_loss: 2.3072, original=2.3072, J3=0.0038, J5=0.0001
    batch_train_loss: 2.3078, original=2.3078, J3=0.0041, J5=0.0001
    batch_train_loss: 2.3145, original=2.3145, J3=0.0040, J5=0.0002
    batch_train_loss: 2.3234, original=2.3234, J3=0.0040, J5=0.0001
    batch_train_loss: 2.3127, original=2.3127, J3=0.0040, J5=0.0001
    batch_train_loss: 2.3025, original=2.3025, J3=0.0039, J5=0.0001
    batch_train_loss: 2.2993, original=2.2993, J3=0.0037, J5=0.0001
    batch_train_loss: 2.3136, original=2.3136, J3=0.0040, J5=0.0001
    batch_train_loss: 2.3124, original=2.3124, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2999, original=2.2999, J3=0.0035, J5=0.0001
    batch_train_loss: 2.3088, original=2.3088, J3=0.0042, J5=0.0002
    batch_train_loss: 2.3081, original=2.3081, J3=0.0039, J5=0.0001
    batch_train_loss: 2.3030, original=2.3030, J3=0.0040, J5=0.0001
    batch_train_loss: 2.3079, original=2.3079, J3=0.0042, J5=0.0002
    batch_train_loss: 2.3048, original=2.3048, J3=0.0040, J5=0.0001
    batch_train_loss: 2.3040, original=2.3040, J3=0.0040, J5=0.0001
    batch_train_loss: 2.2990, original=2.2990, J3=0.0040, J5=0.0002
    batch_train_loss: 2.3017, original=2.3017, J3=0.0038, J5=0.0001
(num=200,lam=0.0001,coef=0.9800000000000004)epoch=0, trainloss=2.308, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.374', '9.981', '0.000', '0.000', '0.000', '0.104', '85.409', '0.205', '5.253']
    batch_train_loss: 2.2990, original=2.2990, J3=0.0039, J5=0.0001
    batch_train_loss: 2.3006, original=2.3006, J3=0.0039, J5=0.0001
    batch_train_loss: 2.2999, original=2.2999, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2995, original=2.2995, J3=0.0039, J5=0.0001
    batch_train_loss: 2.2973, original=2.2973, J3=0.0042, J5=0.0002
    batch_train_loss: 2.3021, original=2.3021, J3=0.0039, J5=0.0001
    batch_train_loss: 2.3017, original=2.3017, J3=0.0040, J5=0.0001
    batch_train_loss: 2.3009, original=2.3009, J3=0.0040, J5=0.0001
    batch_train_loss: 2.2903, original=2.2903, J3=0.0041, J5=0.0002
    batch_train_loss: 2.2915, original=2.2915, J3=0.0040, J5=0.0001
    batch_train_loss: 2.2943, original=2.2943, J3=0.0040, J5=0.0002
    batch_train_loss: 2.2904, original=2.2904, J3=0.0040, J5=0.0001
    batch_train_loss: 2.2980, original=2.2980, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2972, original=2.2972, J3=0.0041, J5=0.0002
    batch_train_loss: 2.2876, original=2.2876, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2927, original=2.2927, J3=0.0039, J5=0.0001
    batch_train_loss: 2.2932, original=2.2932, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2865, original=2.2865, J3=0.0037, J5=0.0001
    batch_train_loss: 2.2872, original=2.2872, J3=0.0041, J5=0.0002
    batch_train_loss: 2.2877, original=2.2877, J3=0.0038, J5=0.0001
(num=200,lam=0.0001,coef=0.9800000000000004)epoch=1, trainloss=2.295, testloss=['2.315', '2.277', '2.241', '2.348', '2.284', '2.337', '2.264', '2.238', '2.264', '2.256'], testacc=['0.000', '9.692', '43.411', '0.000', '2.037', '0.000', '2.192', '84.241', '4.825', '30.327']
    batch_train_loss: 2.2890, original=2.2890, J3=0.0041, J5=0.0002
    batch_train_loss: 2.2834, original=2.2834, J3=0.0042, J5=0.0002
    batch_train_loss: 2.2845, original=2.2845, J3=0.0040, J5=0.0002
    batch_train_loss: 2.2813, original=2.2813, J3=0.0042, J5=0.0002
    batch_train_loss: 2.2807, original=2.2807, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2849, original=2.2849, J3=0.0041, J5=0.0001
    batch_train_loss: 2.2805, original=2.2805, J3=0.0039, J5=0.0001
    batch_train_loss: 2.2860, original=2.2860, J3=0.0041, J5=0.0002
    batch_train_loss: 2.2781, original=2.2781, J3=0.0038, J5=0.0001
    batch_train_loss: 2.2797, original=2.2797, J3=0.0040, J5=0.0001
    batch_train_loss: 2.2785, original=2.2785, J3=0.0036, J5=0.0001
    batch_train_loss: 2.2799, original=2.2799, J3=0.0033, J5=0.0001
    batch_train_loss: 2.2760, original=2.2760, J3=0.0041, J5=0.0002
    batch_train_loss: 2.2734, original=2.2734, J3=0.0040, J5=0.0001
    batch_train_loss: 2.2790, original=2.2790, J3=0.0040, J5=0.0002
    batch_train_loss: 2.2742, original=2.2742, J3=0.0039, J5=0.0001
    batch_train_loss: 2.2852, original=2.2852, J3=0.0040, J5=0.0001
    batch_train_loss: 2.2722, original=2.2722, J3=0.0040, J5=0.0002
    batch_train_loss: 2.2727, original=2.2727, J3=0.0042, J5=0.0002
    batch_train_loss: 2.2776, original=2.2776, J3=0.0040, J5=0.0001
(num=200,lam=0.0001,coef=0.9800000000000004)epoch=2, trainloss=2.280, testloss=['2.263', '2.278', '2.225', '2.322', '2.273', '2.337', '2.248', '2.235', '2.243', '2.243'], testacc=['1.327', '9.780', '67.926', '0.000', '7.434', '0.000', '8.977', '73.054', '38.398', '61.744']
    batch_train_loss: 2.2775, original=2.2775, J3=0.0041, J5=0.0002
    batch_train_loss: 2.2663, original=2.2663, J3=0.0040, J5=0.0001
    batch_train_loss: 2.2661, original=2.2661, J3=0.0042, J5=0.0002
    batch_train_loss: 2.2728, original=2.2728, J3=0.0040, J5=0.0002
