[9.8500353  6.4570442  9.96552692 9.35382208 8.77489675 9.56349521
 9.02806535 8.46084638 9.50478401 8.56903416]
    batch_train_loss: 2.3102, original=2.3102, J3=0.0042, J5=0.0002
    batch_train_loss: 2.3128, original=2.3128, J3=0.0042, J5=0.0002
    batch_train_loss: 2.3073, original=2.3073, J3=0.0039, J5=0.0001
    batch_train_loss: 2.3078, original=2.3078, J3=0.0042, J5=0.0002
    batch_train_loss: 2.3146, original=2.3146, J3=0.0041, J5=0.0002
    batch_train_loss: 2.3235, original=2.3235, J3=0.0041, J5=0.0001
    batch_train_loss: 2.3128, original=2.3128, J3=0.0041, J5=0.0002
    batch_train_loss: 2.3026, original=2.3026, J3=0.0039, J5=0.0001
    batch_train_loss: 2.2994, original=2.2994, J3=0.0038, J5=0.0001
    batch_train_loss: 2.3137, original=2.3137, J3=0.0041, J5=0.0001
    batch_train_loss: 2.3125, original=2.3125, J3=0.0039, J5=0.0001
    batch_train_loss: 2.3000, original=2.3000, J3=0.0036, J5=0.0001
    batch_train_loss: 2.3089, original=2.3089, J3=0.0043, J5=0.0002
    batch_train_loss: 2.3081, original=2.3081, J3=0.0040, J5=0.0002
    batch_train_loss: 2.3031, original=2.3031, J3=0.0041, J5=0.0001
    batch_train_loss: 2.3080, original=2.3080, J3=0.0043, J5=0.0002
    batch_train_loss: 2.3049, original=2.3049, J3=0.0041, J5=0.0001
    batch_train_loss: 2.3041, original=2.3041, J3=0.0041, J5=0.0001
    batch_train_loss: 2.2990, original=2.2990, J3=0.0041, J5=0.0002
    batch_train_loss: 2.3018, original=2.3018, J3=0.0038, J5=0.0001
(num=200,lam=0.0001,coef=0.9900000000000004)epoch=0, trainloss=2.308, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.374', '9.981', '0.000', '0.000', '0.000', '0.104', '85.409', '0.205', '5.253']
    batch_train_loss: 2.2991, original=2.2991, J3=0.0040, J5=0.0001
    batch_train_loss: 2.3007, original=2.3007, J3=0.0039, J5=0.0001
    batch_train_loss: 2.3000, original=2.3000, J3=0.0039, J5=0.0001
