[ 9.9495306   6.52226686 10.06618881  9.44830513  8.86353207  9.66009617
  9.11925793  8.54630947  9.60079193  8.65559006]
    batch_train_loss: 2.3103, original=2.3103, J3=0.0042, J5=0.0002
    batch_train_loss: 2.3129, original=2.3129, J3=0.0043, J5=0.0002
    batch_train_loss: 2.3074, original=2.3074, J3=0.0040, J5=0.0001
    batch_train_loss: 2.3079, original=2.3079, J3=0.0042, J5=0.0002
    batch_train_loss: 2.3147, original=2.3147, J3=0.0042, J5=0.0002
    batch_train_loss: 2.3236, original=2.3236, J3=0.0041, J5=0.0002
    batch_train_loss: 2.3129, original=2.3129, J3=0.0042, J5=0.0002
    batch_train_loss: 2.3027, original=2.3027, J3=0.0040, J5=0.0001
    batch_train_loss: 2.2995, original=2.2995, J3=0.0039, J5=0.0001
    batch_train_loss: 2.3138, original=2.3138, J3=0.0042, J5=0.0002
    batch_train_loss: 2.3126, original=2.3126, J3=0.0040, J5=0.0001
    batch_train_loss: 2.3001, original=2.3001, J3=0.0037, J5=0.0001
    batch_train_loss: 2.3090, original=2.3090, J3=0.0044, J5=0.0002
    batch_train_loss: 2.3082, original=2.3082, J3=0.0041, J5=0.0002
    batch_train_loss: 2.3032, original=2.3032, J3=0.0041, J5=0.0002
    batch_train_loss: 2.3081, original=2.3081, J3=0.0044, J5=0.0002
    batch_train_loss: 2.3050, original=2.3050, J3=0.0042, J5=0.0002
    batch_train_loss: 2.3042, original=2.3042, J3=0.0041, J5=0.0002
    batch_train_loss: 2.2991, original=2.2991, J3=0.0042, J5=0.0002
    batch_train_loss: 2.3019, original=2.3019, J3=0.0039, J5=0.0001
(num=200,lam=0.0001,coef=0.9999999999999999)epoch=0, trainloss=2.308, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.374', '9.981', '0.000', '0.000', '0.000', '0.104', '85.409', '0.205', '5.253']
    batch_train_loss: 2.2992, original=2.2992, J3=0.0041, J5=0.0001
    batch_train_loss: 2.3007, original=2.3007, J3=0.0040, J5=0.0001
    batch_train_loss: 2.3000, original=2.3000, J3=0.0040, J5=0.0001
    batch_train_loss: 2.2997, original=2.2997, J3=0.0041, J5=0.0002
    batch_train_loss: 2.2975, original=2.2975, J3=0.0044, J5=0.0002
    batch_train_loss: 2.3023, original=2.3023, J3=0.0041, J5=0.0002
    batch_train_loss: 2.3019, original=2.3019, J3=0.0042, J5=0.0002
    batch_train_loss: 2.3011, original=2.3011, J3=0.0042, J5=0.0002
