[ 9.9495306   6.52226686 10.06618881  9.44830513  8.86353207  9.66009617
  9.11925793  8.54630947  9.60079193  8.65559006]
    batch_train_loss: 2.3060, original=2.3060, J6=0.0001
    batch_train_loss: 2.3085, original=2.3085, J6=0.0001
    batch_train_loss: 2.3034, original=2.3034, J6=0.0001
    batch_train_loss: 2.3036, original=2.3036, J6=0.0001
    batch_train_loss: 2.3104, original=2.3104, J6=0.0001
    batch_train_loss: 2.3194, original=2.3194, J6=0.0001
    batch_train_loss: 2.3087, original=2.3087, J6=0.0001
    batch_train_loss: 2.2986, original=2.2986, J6=0.0001
    batch_train_loss: 2.2955, original=2.2955, J6=0.0001
    batch_train_loss: 2.3096, original=2.3096, J6=0.0001
    batch_train_loss: 2.3085, original=2.3085, J6=0.0001
    batch_train_loss: 2.2964, original=2.2964, J6=0.0001
    batch_train_loss: 2.3045, original=2.3045, J6=0.0001
    batch_train_loss: 2.3040, original=2.3040, J6=0.0001
    batch_train_loss: 2.2990, original=2.2990, J6=0.0001
    batch_train_loss: 2.3036, original=2.3036, J6=0.0001
    batch_train_loss: 2.3007, original=2.3007, J6=0.0001
    batch_train_loss: 2.3000, original=2.3000, J6=0.0001
    batch_train_loss: 2.2948, original=2.2948, J6=0.0001
    batch_train_loss: 2.2979, original=2.2979, J6=0.0001
(num=200,lam=0.0001,coef=0.9999999999999999)epoch=0, trainloss=2.304, testloss=['2.351', '2.266', '2.252', '2.373', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.374', '9.981', '0.000', '0.000', '0.000', '0.104', '85.117', '0.205', '5.550']
    batch_train_loss: 2.2950, original=2.2950, J6=0.0001
    batch_train_loss: 2.2966, original=2.2966, J6=0.0001
    batch_train_loss: 2.2960, original=2.2960, J6=0.0001
    batch_train_loss: 2.2955, original=2.2955, J6=0.0001
    batch_train_loss: 2.2930, original=2.2930, J6=0.0001
    batch_train_loss: 2.2981, original=2.2981, J6=0.0001
    batch_train_loss: 2.2976, original=2.2976, J6=0.0001
    batch_train_loss: 2.2968, original=2.2968, J6=0.0001
    batch_train_loss: 2.2860, original=2.2860, J6=0.0001
    batch_train_loss: 2.2873, original=2.2873, J6=0.0001
    batch_train_loss: 2.2901, original=2.2901, J6=0.0001
    batch_train_loss: 2.2863, original=2.2863, J6=0.0001
    batch_train_loss: 2.2940, original=2.2940, J6=0.0001
    batch_train_loss: 2.2929, original=2.2929, J6=0.0001
    batch_train_loss: 2.2836, original=2.2836, J6=0.0001
    batch_train_loss: 2.2886, original=2.2886, J6=0.0001
    batch_train_loss: 2.2893, original=2.2893, J6=0.0001
    batch_train_loss: 2.2826, original=2.2826, J6=0.0001
    batch_train_loss: 2.2828, original=2.2828, J6=0.0001
    batch_train_loss: 2.2836, original=2.2836, J6=0.0001
(num=200,lam=0.0001,coef=0.9999999999999999)epoch=1, trainloss=2.291, testloss=['2.314', '2.277', '2.241', '2.347', '2.284', '2.337', '2.264', '2.238', '2.264', '2.256'], testacc=['0.000', '9.604', '43.702', '0.000', '2.037', '0.000', '2.296', '84.047', '4.723', '30.624']
    batch_train_loss: 2.2846, original=2.2846, J6=0.0001
    batch_train_loss: 2.2790, original=2.2790, J6=0.0001
    batch_train_loss: 2.2802, original=2.2802, J6=0.0001
    batch_train_loss: 2.2768, original=2.2768, J6=0.0001
    batch_train_loss: 2.2766, original=2.2766, J6=0.0001
    batch_train_loss: 2.2805, original=2.2805, J6=0.0001
    batch_train_loss: 2.2764, original=2.2764, J6=0.0001
    batch_train_loss: 2.2816, original=2.2816, J6=0.0001
    batch_train_loss: 2.2738, original=2.2738, J6=0.0001
    batch_train_loss: 2.2753, original=2.2753, J6=0.0001
    batch_train_loss: 2.2746, original=2.2746, J6=0.0001
    batch_train_loss: 2.2762, original=2.2762, J6=0.0001
    batch_train_loss: 2.2715, original=2.2715, J6=0.0001
    batch_train_loss: 2.2690, original=2.2690, J6=0.0001
    batch_train_loss: 2.2745, original=2.2745, J6=0.0001
    batch_train_loss: 2.2698, original=2.2698, J6=0.0001
    batch_train_loss: 2.2807, original=2.2807, J6=0.0001
    batch_train_loss: 2.2676, original=2.2676, J6=0.0001
    batch_train_loss: 2.2679, original=2.2679, J6=0.0001
    batch_train_loss: 2.2730, original=2.2730, J6=0.0001
(num=200,lam=0.0001,coef=0.9999999999999999)epoch=2, trainloss=2.275, testloss=['2.262', '2.278', '2.225', '2.321', '2.273', '2.337', '2.247', '2.235', '2.242', '2.243'], testacc=['1.429', '9.339', '68.120', '0.000', '7.637', '0.000', '9.290', '72.568', '39.220', '61.943']
    batch_train_loss: 2.2728, original=2.2728, J6=0.0001
    batch_train_loss: 2.2616, original=2.2616, J6=0.0001
    batch_train_loss: 2.2612, original=2.2612, J6=0.0001
    batch_train_loss: 2.2682, original=2.2682, J6=0.0001
    batch_train_loss: 2.2659, original=2.2659, J6=0.0001
    batch_train_loss: 2.2536, original=2.2536, J6=0.0001
    batch_train_loss: 2.2651, original=2.2651, J6=0.0001
    batch_train_loss: 2.2640, original=2.2640, J6=0.0001
    batch_train_loss: 2.2583, original=2.2583, J6=0.0001
    batch_train_loss: 2.2579, original=2.2579, J6=0.0001
    batch_train_loss: 2.2577, original=2.2577, J6=0.0001
    batch_train_loss: 2.2507, original=2.2507, J6=0.0001
    batch_train_loss: 2.2529, original=2.2529, J6=0.0001
    batch_train_loss: 2.2574, original=2.2574, J6=0.0001
    batch_train_loss: 2.2575, original=2.2575, J6=0.0001
    batch_train_loss: 2.2586, original=2.2586, J6=0.0001
    batch_train_loss: 2.2609, original=2.2609, J6=0.0001
    batch_train_loss: 2.2504, original=2.2504, J6=0.0001
    batch_train_loss: 2.2488, original=2.2488, J6=0.0001
    batch_train_loss: 2.2523, original=2.2523, J6=0.0001
(num=200,lam=0.0001,coef=0.9999999999999999)epoch=3, trainloss=2.259, testloss=['2.221', '2.277', '2.215', '2.287', '2.262', '2.325', '2.222', '2.229', '2.217', '2.230'], testacc=['53.163', '8.811', '64.729', '1.584', '13.849', '0.000', '39.144', '66.537', '83.060', '71.952']
    batch_train_loss: 2.2396, original=2.2396, J6=0.0001
    batch_train_loss: 2.2532, original=2.2532, J6=0.0001
    batch_train_loss: 2.2426, original=2.2426, J6=0.0001
    batch_train_loss: 2.2463, original=2.2463, J6=0.0001
    batch_train_loss: 2.2458, original=2.2458, J6=0.0001
    batch_train_loss: 2.2457, original=2.2457, J6=0.0001
    batch_train_loss: 2.2469, original=2.2469, J6=0.0001
    batch_train_loss: 2.2392, original=2.2392, J6=0.0001
    batch_train_loss: 2.2458, original=2.2458, J6=0.0001
    batch_train_loss: 2.2442, original=2.2442, J6=0.0001
    batch_train_loss: 2.2444, original=2.2444, J6=0.0001
    batch_train_loss: 2.2389, original=2.2389, J6=0.0001
    batch_train_loss: 2.2397, original=2.2397, J6=0.0001
    batch_train_loss: 2.2365, original=2.2365, J6=0.0001
    batch_train_loss: 2.2318, original=2.2318, J6=0.0001
    batch_train_loss: 2.2291, original=2.2291, J6=0.0001
    batch_train_loss: 2.2302, original=2.2302, J6=0.0001
    batch_train_loss: 2.2364, original=2.2364, J6=0.0001
    batch_train_loss: 2.2317, original=2.2317, J6=0.0001
    batch_train_loss: 2.2294, original=2.2294, J6=0.0001
(num=200,lam=0.0001,coef=0.9999999999999999)epoch=4, trainloss=2.240, testloss=['2.162', '2.277', '2.202', '2.258', '2.238', '2.311', '2.198', '2.223', '2.186', '2.224'], testacc=['91.735', '5.815', '58.915', '7.129', '34.318', '0.448', '64.927', '65.370', '96.304', '54.113']
    batch_train_loss: 2.2276, original=2.2276, J6=0.0001
    batch_train_loss: 2.2300, original=2.2300, J6=0.0001
    batch_train_loss: 2.2260, original=2.2260, J6=0.0001
    batch_train_loss: 2.2270, original=2.2270, J6=0.0001
    batch_train_loss: 2.2300, original=2.2300, J6=0.0001
    batch_train_loss: 2.2206, original=2.2206, J6=0.0001
    batch_train_loss: 2.2215, original=2.2215, J6=0.0001
    batch_train_loss: 2.2186, original=2.2186, J6=0.0001
    batch_train_loss: 2.2224, original=2.2224, J6=0.0001
    batch_train_loss: 2.2175, original=2.2175, J6=0.0001
    batch_train_loss: 2.2236, original=2.2236, J6=0.0001
    batch_train_loss: 2.2146, original=2.2146, J6=0.0001
    batch_train_loss: 2.2068, original=2.2068, J6=0.0001
    batch_train_loss: 2.2107, original=2.2107, J6=0.0001
    batch_train_loss: 2.2247, original=2.2247, J6=0.0001
    batch_train_loss: 2.2131, original=2.2131, J6=0.0001
    batch_train_loss: 2.2107, original=2.2107, J6=0.0001
    batch_train_loss: 2.2025, original=2.2025, J6=0.0001
    batch_train_loss: 2.2011, original=2.2011, J6=0.0001
    batch_train_loss: 2.1939, original=2.1939, J6=0.0001
