[10.94448366  7.17449355 11.07280769 10.39313564  9.74988527 10.62610579
 10.03118372  9.40094042 10.56087112  9.52114906]
    batch_train_loss: 2.3112, original=2.3112, J3=0.0051, J5=0.0002
    batch_train_loss: 2.3137, original=2.3137, J3=0.0051, J5=0.0002
    batch_train_loss: 2.3082, original=2.3082, J3=0.0048, J5=0.0002
    batch_train_loss: 2.3088, original=2.3088, J3=0.0051, J5=0.0002
    batch_train_loss: 2.3156, original=2.3156, J3=0.0051, J5=0.0002
    batch_train_loss: 2.3245, original=2.3245, J3=0.0050, J5=0.0002
    batch_train_loss: 2.3137, original=2.3137, J3=0.0050, J5=0.0002
    batch_train_loss: 2.3035, original=2.3035, J3=0.0048, J5=0.0002
    batch_train_loss: 2.3003, original=2.3003, J3=0.0047, J5=0.0002
    batch_train_loss: 2.3146, original=2.3146, J3=0.0050, J5=0.0002
    batch_train_loss: 2.3135, original=2.3135, J3=0.0048, J5=0.0002
    batch_train_loss: 2.3009, original=2.3009, J3=0.0044, J5=0.0002
    batch_train_loss: 2.3099, original=2.3099, J3=0.0052, J5=0.0002
    batch_train_loss: 2.3091, original=2.3091, J3=0.0049, J5=0.0002
    batch_train_loss: 2.3041, original=2.3041, J3=0.0050, J5=0.0002
    batch_train_loss: 2.3089, original=2.3089, J3=0.0052, J5=0.0002
    batch_train_loss: 2.3058, original=2.3058, J3=0.0050, J5=0.0002
    batch_train_loss: 2.3050, original=2.3050, J3=0.0049, J5=0.0002
    batch_train_loss: 2.2999, original=2.2999, J3=0.0050, J5=0.0002
    batch_train_loss: 2.3027, original=2.3027, J3=0.0047, J5=0.0002
(num=200,lam=0.0001,coef=1.0999999999999999)epoch=0, trainloss=2.309, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.286', '9.981', '0.000', '0.000', '0.000', '0.104', '85.409', '0.205', '5.253']
    batch_train_loss: 2.3000, original=2.3000, J3=0.0049, J5=0.0002
    batch_train_loss: 2.3016, original=2.3016, J3=0.0048, J5=0.0002
    batch_train_loss: 2.3009, original=2.3009, J3=0.0047, J5=0.0002
    batch_train_loss: 2.3005, original=2.3005, J3=0.0049, J5=0.0002
    batch_train_loss: 2.2984, original=2.2984, J3=0.0052, J5=0.0002
    batch_train_loss: 2.3031, original=2.3031, J3=0.0049, J5=0.0002
    batch_train_loss: 2.3028, original=2.3028, J3=0.0050, J5=0.0002
    batch_train_loss: 2.3020, original=2.3020, J3=0.0050, J5=0.0002
    batch_train_loss: 2.2914, original=2.2914, J3=0.0052, J5=0.0002
    batch_train_loss: 2.2926, original=2.2926, J3=0.0050, J5=0.0002
    batch_train_loss: 2.2954, original=2.2954, J3=0.0051, J5=0.0002
    batch_train_loss: 2.2915, original=2.2915, J3=0.0050, J5=0.0002
    batch_train_loss: 2.2989, original=2.2989, J3=0.0047, J5=0.0002
    batch_train_loss: 2.2983, original=2.2983, J3=0.0051, J5=0.0002
    batch_train_loss: 2.2886, original=2.2886, J3=0.0047, J5=0.0002
    batch_train_loss: 2.2937, original=2.2937, J3=0.0048, J5=0.0002
    batch_train_loss: 2.2942, original=2.2942, J3=0.0047, J5=0.0002
    batch_train_loss: 2.2875, original=2.2875, J3=0.0046, J5=0.0002
    batch_train_loss: 2.2883, original=2.2883, J3=0.0052, J5=0.0002
    batch_train_loss: 2.2886, original=2.2886, J3=0.0047, J5=0.0002
(num=200,lam=0.0001,coef=1.0999999999999999)epoch=1, trainloss=2.296, testloss=['2.315', '2.277', '2.241', '2.348', '2.284', '2.337', '2.264', '2.238', '2.264', '2.256'], testacc=['0.000', '9.692', '43.314', '0.000', '2.037', '0.000', '2.192', '84.339', '4.825', '30.030']
    batch_train_loss: 2.2901, original=2.2901, J3=0.0052, J5=0.0002
    batch_train_loss: 2.2845, original=2.2845, J3=0.0052, J5=0.0002
    batch_train_loss: 2.2856, original=2.2856, J3=0.0051, J5=0.0002
    batch_train_loss: 2.2824, original=2.2824, J3=0.0052, J5=0.0002
    batch_train_loss: 2.2818, original=2.2818, J3=0.0049, J5=0.0002
    batch_train_loss: 2.2860, original=2.2860, J3=0.0051, J5=0.0002
    batch_train_loss: 2.2815, original=2.2815, J3=0.0048, J5=0.0002
    batch_train_loss: 2.2872, original=2.2872, J3=0.0052, J5=0.0002
    batch_train_loss: 2.2792, original=2.2792, J3=0.0048, J5=0.0002
    batch_train_loss: 2.2808, original=2.2808, J3=0.0050, J5=0.0002
    batch_train_loss: 2.2795, original=2.2795, J3=0.0045, J5=0.0002
    batch_train_loss: 2.2808, original=2.2808, J3=0.0041, J5=0.0002
    batch_train_loss: 2.2772, original=2.2772, J3=0.0051, J5=0.0002
    batch_train_loss: 2.2745, original=2.2745, J3=0.0050, J5=0.0002
    batch_train_loss: 2.2801, original=2.2801, J3=0.0051, J5=0.0002
    batch_train_loss: 2.2753, original=2.2753, J3=0.0049, J5=0.0002
    batch_train_loss: 2.2863, original=2.2863, J3=0.0050, J5=0.0002
    batch_train_loss: 2.2734, original=2.2734, J3=0.0050, J5=0.0002
    batch_train_loss: 2.2738, original=2.2738, J3=0.0052, J5=0.0002
    batch_train_loss: 2.2787, original=2.2787, J3=0.0049, J5=0.0002
(num=200,lam=0.0001,coef=1.0999999999999999)epoch=2, trainloss=2.281, testloss=['2.263', '2.278', '2.226', '2.322', '2.273', '2.337', '2.248', '2.235', '2.243', '2.243'], testacc=['1.224', '9.868', '67.926', '0.000', '7.434', '0.000', '8.873', '73.054', '38.193', '62.042']
    batch_train_loss: 2.2787, original=2.2787, J3=0.0051, J5=0.0002
    batch_train_loss: 2.2675, original=2.2675, J3=0.0050, J5=0.0002
    batch_train_loss: 2.2673, original=2.2673, J3=0.0052, J5=0.0002
    batch_train_loss: 2.2739, original=2.2739, J3=0.0049, J5=0.0002
    batch_train_loss: 2.2719, original=2.2719, J3=0.0053, J5=0.0002
    batch_train_loss: 2.2598, original=2.2598, J3=0.0052, J5=0.0002
    batch_train_loss: 2.2711, original=2.2711, J3=0.0051, J5=0.0002
    batch_train_loss: 2.2698, original=2.2698, J3=0.0048, J5=0.0002
    batch_train_loss: 2.2641, original=2.2641, J3=0.0048, J5=0.0002
    batch_train_loss: 2.2633, original=2.2633, J3=0.0045, J5=0.0002
    batch_train_loss: 2.2642, original=2.2642, J3=0.0053, J5=0.0002
    batch_train_loss: 2.2569, original=2.2569, J3=0.0049, J5=0.0002
    batch_train_loss: 2.2591, original=2.2591, J3=0.0051, J5=0.0002
    batch_train_loss: 2.2639, original=2.2639, J3=0.0053, J5=0.0002
