[11.93943672  7.82672024 12.07942657 11.33796616 10.63623848 11.5921154
 10.94310951 10.25557137 11.52095032 10.38670807]
    batch_train_loss: 2.3120, original=2.3120, J3=0.0058, J5=0.0002
    batch_train_loss: 2.3145, original=2.3145, J3=0.0058, J5=0.0002
    batch_train_loss: 2.3090, original=2.3090, J3=0.0055, J5=0.0002
    batch_train_loss: 2.3096, original=2.3096, J3=0.0059, J5=0.0002
    batch_train_loss: 2.3164, original=2.3164, J3=0.0059, J5=0.0002
    batch_train_loss: 2.3253, original=2.3253, J3=0.0058, J5=0.0002
    batch_train_loss: 2.3145, original=2.3145, J3=0.0057, J5=0.0002
    batch_train_loss: 2.3043, original=2.3043, J3=0.0056, J5=0.0002
    batch_train_loss: 2.3010, original=2.3010, J3=0.0054, J5=0.0002
    batch_train_loss: 2.3154, original=2.3154, J3=0.0057, J5=0.0002
    batch_train_loss: 2.3143, original=2.3143, J3=0.0056, J5=0.0002
    batch_train_loss: 2.3016, original=2.3016, J3=0.0051, J5=0.0002
    batch_train_loss: 2.3106, original=2.3106, J3=0.0060, J5=0.0002
    batch_train_loss: 2.3099, original=2.3099, J3=0.0057, J5=0.0002
    batch_train_loss: 2.3048, original=2.3048, J3=0.0057, J5=0.0002
    batch_train_loss: 2.3097, original=2.3097, J3=0.0059, J5=0.0002
    batch_train_loss: 2.3066, original=2.3066, J3=0.0057, J5=0.0002
    batch_train_loss: 2.3057, original=2.3057, J3=0.0056, J5=0.0002
    batch_train_loss: 2.3007, original=2.3007, J3=0.0057, J5=0.0002
    batch_train_loss: 2.3034, original=2.3034, J3=0.0053, J5=0.0002
(num=200,lam=0.0001,coef=1.1999999999999997)epoch=0, trainloss=2.309, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.286', '9.981', '0.000', '0.000', '0.000', '0.104', '85.409', '0.205', '5.253']
    batch_train_loss: 2.3008, original=2.3008, J3=0.0056, J5=0.0002
    batch_train_loss: 2.3023, original=2.3023, J3=0.0055, J5=0.0002
    batch_train_loss: 2.3016, original=2.3016, J3=0.0055, J5=0.0002
    batch_train_loss: 2.3013, original=2.3013, J3=0.0056, J5=0.0002
    batch_train_loss: 2.2992, original=2.2992, J3=0.0060, J5=0.0002
    batch_train_loss: 2.3039, original=2.3039, J3=0.0057, J5=0.0002
    batch_train_loss: 2.3036, original=2.3036, J3=0.0058, J5=0.0002
    batch_train_loss: 2.3028, original=2.3028, J3=0.0058, J5=0.0002
    batch_train_loss: 2.2923, original=2.2923, J3=0.0060, J5=0.0002
    batch_train_loss: 2.2933, original=2.2933, J3=0.0057, J5=0.0002
    batch_train_loss: 2.2962, original=2.2962, J3=0.0058, J5=0.0002
    batch_train_loss: 2.2923, original=2.2923, J3=0.0057, J5=0.0002
    batch_train_loss: 2.2996, original=2.2996, J3=0.0054, J5=0.0002
    batch_train_loss: 2.2991, original=2.2991, J3=0.0059, J5=0.0002
    batch_train_loss: 2.2893, original=2.2893, J3=0.0055, J5=0.0002
    batch_train_loss: 2.2945, original=2.2945, J3=0.0056, J5=0.0002
    batch_train_loss: 2.2949, original=2.2949, J3=0.0053, J5=0.0002
    batch_train_loss: 2.2882, original=2.2882, J3=0.0053, J5=0.0002
    batch_train_loss: 2.2892, original=2.2892, J3=0.0060, J5=0.0002
    batch_train_loss: 2.2893, original=2.2893, J3=0.0053, J5=0.0002
(num=200,lam=0.0001,coef=1.1999999999999997)epoch=1, trainloss=2.297, testloss=['2.315', '2.277', '2.241', '2.348', '2.284', '2.337', '2.264', '2.238', '2.264', '2.256'], testacc=['0.000', '9.604', '43.314', '0.000', '1.935', '0.000', '2.192', '84.533', '4.723', '30.030']
    batch_train_loss: 2.2910, original=2.2910, J3=0.0060, J5=0.0002
