[12.93438978  8.47894692 13.08604546 12.28279667 11.52259169 12.55812502
 11.85503531 11.11020231 12.48102951 11.25226707]
    batch_train_loss: 2.3060, original=2.3060, J6=0.0001
    batch_train_loss: 2.3086, original=2.3086, J6=0.0001
    batch_train_loss: 2.3034, original=2.3034, J6=0.0001
    batch_train_loss: 2.3036, original=2.3036, J6=0.0001
    batch_train_loss: 2.3104, original=2.3104, J6=0.0001
    batch_train_loss: 2.3194, original=2.3194, J6=0.0001
    batch_train_loss: 2.3087, original=2.3087, J6=0.0001
    batch_train_loss: 2.2986, original=2.2986, J6=0.0001
    batch_train_loss: 2.2955, original=2.2955, J6=0.0001
    batch_train_loss: 2.3096, original=2.3096, J6=0.0001
    batch_train_loss: 2.3086, original=2.3086, J6=0.0001
    batch_train_loss: 2.2964, original=2.2964, J6=0.0001
    batch_train_loss: 2.3046, original=2.3046, J6=0.0001
    batch_train_loss: 2.3041, original=2.3041, J6=0.0001
    batch_train_loss: 2.2990, original=2.2990, J6=0.0001
    batch_train_loss: 2.3036, original=2.3036, J6=0.0001
    batch_train_loss: 2.3008, original=2.3008, J6=0.0001
    batch_train_loss: 2.3000, original=2.3000, J6=0.0001
    batch_train_loss: 2.2949, original=2.2949, J6=0.0001
    batch_train_loss: 2.2979, original=2.2979, J6=0.0001
(num=200,lam=0.0001,coef=1.2999999999999998)epoch=0, trainloss=2.304, testloss=['2.351', '2.266', '2.252', '2.373', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.374', '9.981', '0.000', '0.000', '0.000', '0.104', '85.117', '0.205', '5.550']
    batch_train_loss: 2.2950, original=2.2950, J6=0.0001
    batch_train_loss: 2.2967, original=2.2967, J6=0.0001
    batch_train_loss: 2.2960, original=2.2960, J6=0.0001
    batch_train_loss: 2.2956, original=2.2956, J6=0.0001
    batch_train_loss: 2.2930, original=2.2930, J6=0.0001
    batch_train_loss: 2.2981, original=2.2981, J6=0.0001
    batch_train_loss: 2.2976, original=2.2976, J6=0.0001
    batch_train_loss: 2.2968, original=2.2968, J6=0.0001
    batch_train_loss: 2.2861, original=2.2861, J6=0.0001
    batch_train_loss: 2.2874, original=2.2874, J6=0.0001
    batch_train_loss: 2.2901, original=2.2901, J6=0.0001
    batch_train_loss: 2.2863, original=2.2863, J6=0.0001
    batch_train_loss: 2.2941, original=2.2941, J6=0.0001
    batch_train_loss: 2.2929, original=2.2929, J6=0.0001
    batch_train_loss: 2.2837, original=2.2837, J6=0.0001
    batch_train_loss: 2.2886, original=2.2886, J6=0.0001
    batch_train_loss: 2.2893, original=2.2893, J6=0.0001
    batch_train_loss: 2.2826, original=2.2826, J6=0.0001
    batch_train_loss: 2.2829, original=2.2829, J6=0.0001
    batch_train_loss: 2.2837, original=2.2837, J6=0.0001
(num=200,lam=0.0001,coef=1.2999999999999998)epoch=1, trainloss=2.291, testloss=['2.314', '2.277', '2.241', '2.347', '2.284', '2.337', '2.264', '2.238', '2.264', '2.256'], testacc=['0.000', '9.604', '43.702', '0.000', '2.037', '0.000', '2.296', '84.047', '4.723', '30.624']
    batch_train_loss: 2.2846, original=2.2846, J6=0.0001
    batch_train_loss: 2.2790, original=2.2790, J6=0.0001
    batch_train_loss: 2.2802, original=2.2802, J6=0.0001
    batch_train_loss: 2.2768, original=2.2768, J6=0.0001
    batch_train_loss: 2.2766, original=2.2766, J6=0.0001
    batch_train_loss: 2.2805, original=2.2805, J6=0.0001
    batch_train_loss: 2.2764, original=2.2764, J6=0.0001
    batch_train_loss: 2.2816, original=2.2816, J6=0.0001
    batch_train_loss: 2.2739, original=2.2739, J6=0.0001
    batch_train_loss: 2.2754, original=2.2754, J6=0.0001
    batch_train_loss: 2.2746, original=2.2746, J6=0.0001
    batch_train_loss: 2.2763, original=2.2763, J6=0.0001
    batch_train_loss: 2.2716, original=2.2716, J6=0.0001
    batch_train_loss: 2.2690, original=2.2690, J6=0.0001
    batch_train_loss: 2.2746, original=2.2746, J6=0.0001
    batch_train_loss: 2.2699, original=2.2699, J6=0.0001
    batch_train_loss: 2.2808, original=2.2808, J6=0.0001
    batch_train_loss: 2.2676, original=2.2676, J6=0.0001
    batch_train_loss: 2.2680, original=2.2680, J6=0.0001
    batch_train_loss: 2.2730, original=2.2730, J6=0.0001
(num=200,lam=0.0001,coef=1.2999999999999998)epoch=2, trainloss=2.276, testloss=['2.262', '2.278', '2.225', '2.321', '2.273', '2.337', '2.247', '2.235', '2.242', '2.243'], testacc=['1.429', '9.339', '68.120', '0.000', '7.637', '0.000', '9.395', '72.568', '39.322', '61.943']
    batch_train_loss: 2.2728, original=2.2728, J6=0.0001
    batch_train_loss: 2.2616, original=2.2616, J6=0.0001
    batch_train_loss: 2.2613, original=2.2613, J6=0.0001
    batch_train_loss: 2.2682, original=2.2682, J6=0.0001
    batch_train_loss: 2.2659, original=2.2659, J6=0.0001
    batch_train_loss: 2.2537, original=2.2537, J6=0.0001
    batch_train_loss: 2.2651, original=2.2651, J6=0.0001
    batch_train_loss: 2.2641, original=2.2641, J6=0.0001
    batch_train_loss: 2.2583, original=2.2583, J6=0.0001
    batch_train_loss: 2.2579, original=2.2579, J6=0.0001
    batch_train_loss: 2.2578, original=2.2578, J6=0.0001
    batch_train_loss: 2.2508, original=2.2508, J6=0.0001
    batch_train_loss: 2.2529, original=2.2529, J6=0.0001
    batch_train_loss: 2.2575, original=2.2575, J6=0.0001
    batch_train_loss: 2.2576, original=2.2576, J6=0.0001
    batch_train_loss: 2.2586, original=2.2586, J6=0.0001
    batch_train_loss: 2.2610, original=2.2610, J6=0.0001
    batch_train_loss: 2.2504, original=2.2504, J6=0.0001
    batch_train_loss: 2.2489, original=2.2489, J6=0.0001
    batch_train_loss: 2.2524, original=2.2524, J6=0.0001
(num=200,lam=0.0001,coef=1.2999999999999998)epoch=3, trainloss=2.259, testloss=['2.221', '2.277', '2.215', '2.287', '2.262', '2.325', '2.222', '2.229', '2.217', '2.230'], testacc=['53.265', '8.811', '64.729', '1.584', '13.849', '0.000', '39.144', '66.537', '83.060', '72.052']
    batch_train_loss: 2.2397, original=2.2397, J6=0.0001
    batch_train_loss: 2.2533, original=2.2533, J6=0.0001
    batch_train_loss: 2.2426, original=2.2426, J6=0.0001
    batch_train_loss: 2.2463, original=2.2463, J6=0.0001
    batch_train_loss: 2.2459, original=2.2459, J6=0.0001
    batch_train_loss: 2.2457, original=2.2457, J6=0.0001
    batch_train_loss: 2.2469, original=2.2469, J6=0.0001
    batch_train_loss: 2.2393, original=2.2393, J6=0.0001
    batch_train_loss: 2.2458, original=2.2458, J6=0.0001
    batch_train_loss: 2.2443, original=2.2443, J6=0.0001
    batch_train_loss: 2.2445, original=2.2445, J6=0.0001
    batch_train_loss: 2.2390, original=2.2390, J6=0.0001
    batch_train_loss: 2.2397, original=2.2397, J6=0.0001
    batch_train_loss: 2.2366, original=2.2366, J6=0.0001
    batch_train_loss: 2.2319, original=2.2319, J6=0.0001
    batch_train_loss: 2.2292, original=2.2292, J6=0.0001
    batch_train_loss: 2.2303, original=2.2303, J6=0.0001
    batch_train_loss: 2.2365, original=2.2365, J6=0.0001
    batch_train_loss: 2.2318, original=2.2318, J6=0.0001
    batch_train_loss: 2.2295, original=2.2295, J6=0.0001
(num=200,lam=0.0001,coef=1.2999999999999998)epoch=4, trainloss=2.240, testloss=['2.162', '2.277', '2.202', '2.258', '2.238', '2.311', '2.198', '2.223', '2.186', '2.224'], testacc=['91.735', '5.815', '58.915', '7.129', '34.420', '0.448', '64.823', '65.467', '96.304', '54.212']
    batch_train_loss: 2.2277, original=2.2277, J6=0.0001
    batch_train_loss: 2.2301, original=2.2301, J6=0.0001
    batch_train_loss: 2.2261, original=2.2261, J6=0.0001
    batch_train_loss: 2.2271, original=2.2271, J6=0.0001
    batch_train_loss: 2.2301, original=2.2301, J6=0.0002
    batch_train_loss: 2.2207, original=2.2207, J6=0.0001
    batch_train_loss: 2.2216, original=2.2216, J6=0.0002
    batch_train_loss: 2.2187, original=2.2187, J6=0.0001
    batch_train_loss: 2.2225, original=2.2225, J6=0.0002
