[13.92934284  9.13117361 14.09266434 13.22762718 12.40894489 13.52413464
 12.7669611  11.96483326 13.4411087  12.11782608]
    batch_train_loss: 2.3133, original=2.3133, J3=0.0071, J5=0.0003
    batch_train_loss: 2.3158, original=2.3158, J3=0.0071, J5=0.0003
    batch_train_loss: 2.3102, original=2.3102, J3=0.0066, J5=0.0002
    batch_train_loss: 2.3110, original=2.3110, J3=0.0072, J5=0.0003
    batch_train_loss: 2.3178, original=2.3178, J3=0.0072, J5=0.0003
    batch_train_loss: 2.3266, original=2.3266, J3=0.0071, J5=0.0003
    batch_train_loss: 2.3158, original=2.3158, J3=0.0069, J5=0.0003
    batch_train_loss: 2.3056, original=2.3056, J3=0.0068, J5=0.0003
    batch_train_loss: 2.3023, original=2.3023, J3=0.0066, J5=0.0002
    batch_train_loss: 2.3167, original=2.3167, J3=0.0069, J5=0.0003
    batch_train_loss: 2.3156, original=2.3156, J3=0.0069, J5=0.0003
    batch_train_loss: 2.3029, original=2.3029, J3=0.0063, J5=0.0002
    batch_train_loss: 2.3120, original=2.3120, J3=0.0072, J5=0.0003
    batch_train_loss: 2.3112, original=2.3112, J3=0.0069, J5=0.0003
    batch_train_loss: 2.3061, original=2.3061, J3=0.0069, J5=0.0003
    batch_train_loss: 2.3109, original=2.3109, J3=0.0071, J5=0.0003
    batch_train_loss: 2.3079, original=2.3079, J3=0.0070, J5=0.0003
    batch_train_loss: 2.3070, original=2.3070, J3=0.0068, J5=0.0002
    batch_train_loss: 2.3019, original=2.3019, J3=0.0069, J5=0.0003
    batch_train_loss: 2.3046, original=2.3046, J3=0.0065, J5=0.0002
(num=200,lam=0.0001,coef=1.4)epoch=0, trainloss=2.311, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.198', '9.981', '0.000', '0.000', '0.000', '0.104', '85.506', '0.205', '5.253']
    batch_train_loss: 2.3020, original=2.3020, J3=0.0068, J5=0.0002
    batch_train_loss: 2.3036, original=2.3036, J3=0.0067, J5=0.0002
    batch_train_loss: 2.3029, original=2.3029, J3=0.0067, J5=0.0003
    batch_train_loss: 2.3025, original=2.3025, J3=0.0068, J5=0.0003
    batch_train_loss: 2.3005, original=2.3005, J3=0.0072, J5=0.0003
    batch_train_loss: 2.3052, original=2.3052, J3=0.0069, J5=0.0003
    batch_train_loss: 2.3049, original=2.3049, J3=0.0070, J5=0.0003
    batch_train_loss: 2.3040, original=2.3040, J3=0.0070, J5=0.0003
    batch_train_loss: 2.2937, original=2.2937, J3=0.0073, J5=0.0003
    batch_train_loss: 2.2946, original=2.2946, J3=0.0069, J5=0.0003
    batch_train_loss: 2.2975, original=2.2975, J3=0.0071, J5=0.0003
    batch_train_loss: 2.2936, original=2.2936, J3=0.0069, J5=0.0003
    batch_train_loss: 2.3008, original=2.3008, J3=0.0065, J5=0.0002
    batch_train_loss: 2.3004, original=2.3004, J3=0.0072, J5=0.0003
    batch_train_loss: 2.2906, original=2.2906, J3=0.0067, J5=0.0003
    batch_train_loss: 2.2957, original=2.2957, J3=0.0068, J5=0.0003
    batch_train_loss: 2.2962, original=2.2962, J3=0.0065, J5=0.0002
    batch_train_loss: 2.2894, original=2.2894, J3=0.0064, J5=0.0002
    batch_train_loss: 2.2906, original=2.2906, J3=0.0073, J5=0.0003
    batch_train_loss: 2.2905, original=2.2905, J3=0.0064, J5=0.0002
(num=200,lam=0.0001,coef=1.4)epoch=1, trainloss=2.298, testloss=['2.315', '2.277', '2.242', '2.348', '2.284', '2.337', '2.265', '2.238', '2.264', '2.257'], testacc=['0.000', '9.427', '43.120', '0.000', '1.935', '0.000', '2.192', '84.533', '4.723', '30.030']
    batch_train_loss: 2.2924, original=2.2924, J3=0.0073, J5=0.0003
    batch_train_loss: 2.2867, original=2.2867, J3=0.0071, J5=0.0003
    batch_train_loss: 2.2878, original=2.2878, J3=0.0071, J5=0.0003
    batch_train_loss: 2.2846, original=2.2846, J3=0.0072, J5=0.0003
    batch_train_loss: 2.2840, original=2.2840, J3=0.0069, J5=0.0003
    batch_train_loss: 2.2881, original=2.2881, J3=0.0070, J5=0.0003
    batch_train_loss: 2.2836, original=2.2836, J3=0.0067, J5=0.0003
    batch_train_loss: 2.2894, original=2.2894, J3=0.0072, J5=0.0003
    batch_train_loss: 2.2814, original=2.2814, J3=0.0068, J5=0.0003
    batch_train_loss: 2.2829, original=2.2829, J3=0.0069, J5=0.0003
    batch_train_loss: 2.2815, original=2.2815, J3=0.0063, J5=0.0002
    batch_train_loss: 2.2826, original=2.2826, J3=0.0056, J5=0.0002
    batch_train_loss: 2.2795, original=2.2795, J3=0.0072, J5=0.0003
    batch_train_loss: 2.2767, original=2.2767, J3=0.0069, J5=0.0003
    batch_train_loss: 2.2824, original=2.2824, J3=0.0071, J5=0.0003
    batch_train_loss: 2.2775, original=2.2775, J3=0.0068, J5=0.0003
    batch_train_loss: 2.2886, original=2.2886, J3=0.0070, J5=0.0003
    batch_train_loss: 2.2756, original=2.2756, J3=0.0069, J5=0.0003
    batch_train_loss: 2.2760, original=2.2760, J3=0.0071, J5=0.0003
    batch_train_loss: 2.2808, original=2.2808, J3=0.0067, J5=0.0002
(num=200,lam=0.0001,coef=1.4)epoch=2, trainloss=2.283, testloss=['2.264', '2.277', '2.226', '2.323', '2.273', '2.337', '2.249', '2.235', '2.243', '2.243'], testacc=['1.020', '10.132', '67.442', '0.000', '7.434', '0.000', '8.664', '73.541', '37.782', '62.438']
    batch_train_loss: 2.2810, original=2.2810, J3=0.0070, J5=0.0003
    batch_train_loss: 2.2698, original=2.2698, J3=0.0070, J5=0.0003
    batch_train_loss: 2.2696, original=2.2696, J3=0.0072, J5=0.0003
    batch_train_loss: 2.2761, original=2.2761, J3=0.0068, J5=0.0003
    batch_train_loss: 2.2745, original=2.2745, J3=0.0075, J5=0.0003
    batch_train_loss: 2.2621, original=2.2621, J3=0.0071, J5=0.0003
    batch_train_loss: 2.2734, original=2.2734, J3=0.0070, J5=0.0003
    batch_train_loss: 2.2721, original=2.2721, J3=0.0068, J5=0.0003
    batch_train_loss: 2.2664, original=2.2664, J3=0.0067, J5=0.0003
    batch_train_loss: 2.2653, original=2.2653, J3=0.0061, J5=0.0002
    batch_train_loss: 2.2667, original=2.2667, J3=0.0073, J5=0.0003
    batch_train_loss: 2.2593, original=2.2593, J3=0.0069, J5=0.0003
    batch_train_loss: 2.2616, original=2.2616, J3=0.0071, J5=0.0003
    batch_train_loss: 2.2664, original=2.2664, J3=0.0073, J5=0.0003
    batch_train_loss: 2.2663, original=2.2663, J3=0.0071, J5=0.0003
    batch_train_loss: 2.2672, original=2.2672, J3=0.0070, J5=0.0003
    batch_train_loss: 2.2700, original=2.2700, J3=0.0075, J5=0.0003
    batch_train_loss: 2.2600, original=2.2600, J3=0.0076, J5=0.0003
    batch_train_loss: 2.2581, original=2.2581, J3=0.0073, J5=0.0003
    batch_train_loss: 2.2618, original=2.2618, J3=0.0074, J5=0.0003
(num=200,lam=0.0001,coef=1.4)epoch=3, trainloss=2.267, testloss=['2.226', '2.277', '2.218', '2.290', '2.263', '2.325', '2.225', '2.229', '2.220', '2.231'], testacc=['47.857', '9.956', '64.826', '1.287', '12.525', '0.000', '35.908', '67.121', '80.698', '73.935']
    batch_train_loss: 2.2493, original=2.2493, J3=0.0073, J5=0.0003
    batch_train_loss: 2.2626, original=2.2626, J3=0.0075, J5=0.0003
    batch_train_loss: 2.2523, original=2.2523, J3=0.0073, J5=0.0003
    batch_train_loss: 2.2552, original=2.2552, J3=0.0066, J5=0.0003
    batch_train_loss: 2.2555, original=2.2555, J3=0.0072, J5=0.0003
    batch_train_loss: 2.2559, original=2.2559, J3=0.0076, J5=0.0003
    batch_train_loss: 2.2566, original=2.2566, J3=0.0073, J5=0.0003
    batch_train_loss: 2.2493, original=2.2493, J3=0.0075, J5=0.0003
    batch_train_loss: 2.2555, original=2.2555, J3=0.0073, J5=0.0003
    batch_train_loss: 2.2539, original=2.2539, J3=0.0072, J5=0.0003
    batch_train_loss: 2.2550, original=2.2550, J3=0.0078, J5=0.0003
    batch_train_loss: 2.2487, original=2.2487, J3=0.0071, J5=0.0003
    batch_train_loss: 2.2497, original=2.2497, J3=0.0072, J5=0.0003
    batch_train_loss: 2.2470, original=2.2470, J3=0.0075, J5=0.0003
    batch_train_loss: 2.2424, original=2.2424, J3=0.0073, J5=0.0003
    batch_train_loss: 2.2396, original=2.2396, J3=0.0071, J5=0.0003
    batch_train_loss: 2.2412, original=2.2412, J3=0.0074, J5=0.0003
    batch_train_loss: 2.2472, original=2.2472, J3=0.0075, J5=0.0003
    batch_train_loss: 2.2426, original=2.2426, J3=0.0077, J5=0.0003
    batch_train_loss: 2.2403, original=2.2403, J3=0.0074, J5=0.0003
(num=200,lam=0.0001,coef=1.4)epoch=4, trainloss=2.250, testloss=['2.171', '2.277', '2.205', '2.264', '2.241', '2.311', '2.203', '2.224', '2.192', '2.225'], testacc=['90.612', '7.225', '59.302', '5.941', '32.790', '0.448', '63.466', '66.245', '95.996', '57.384']
    batch_train_loss: 2.2383, original=2.2383, J3=0.0073, J5=0.0003
    batch_train_loss: 2.2403, original=2.2403, J3=0.0068, J5=0.0003
    batch_train_loss: 2.2366, original=2.2366, J3=0.0069, J5=0.0003
    batch_train_loss: 2.2381, original=2.2381, J3=0.0075, J5=0.0003
    batch_train_loss: 2.2419, original=2.2419, J3=0.0081, J5=0.0003
    batch_train_loss: 2.2322, original=2.2322, J3=0.0074, J5=0.0003
    batch_train_loss: 2.2334, original=2.2334, J3=0.0077, J5=0.0003
    batch_train_loss: 2.2307, original=2.2307, J3=0.0078, J5=0.0003
    batch_train_loss: 2.2351, original=2.2351, J3=0.0082, J5=0.0003
    batch_train_loss: 2.2296, original=2.2296, J3=0.0076, J5=0.0003
    batch_train_loss: 2.2361, original=2.2361, J3=0.0081, J5=0.0003
    batch_train_loss: 2.2274, original=2.2274, J3=0.0078, J5=0.0003
    batch_train_loss: 2.2202, original=2.2202, J3=0.0079, J5=0.0003
    batch_train_loss: 2.2236, original=2.2236, J3=0.0077, J5=0.0003
