[13.92934284  9.13117361 14.09266434 13.22762718 12.40894489 13.52413464
 12.7669611  11.96483326 13.4411087  12.11782608]
    batch_train_loss: 2.3695, original=2.3695, J1=0.0635
    batch_train_loss: 2.3717, original=2.3717, J1=0.0632
    batch_train_loss: 2.3620, original=2.3620, J1=0.0587
    batch_train_loss: 2.3676, original=2.3676, J1=0.0641
    batch_train_loss: 2.3752, original=2.3752, J1=0.0649
    batch_train_loss: 2.3839, original=2.3839, J1=0.0646
    batch_train_loss: 2.3713, original=2.3713, J1=0.0627
    batch_train_loss: 2.3582, original=2.3582, J1=0.0597
    batch_train_loss: 2.3535, original=2.3535, J1=0.0581
    batch_train_loss: 2.3713, original=2.3713, J1=0.0619
    batch_train_loss: 2.3698, original=2.3698, J1=0.0613
    batch_train_loss: 2.3524, original=2.3524, J1=0.0561
    batch_train_loss: 2.3682, original=2.3682, J1=0.0637
    batch_train_loss: 2.3658, original=2.3658, J1=0.0618
    batch_train_loss: 2.3605, original=2.3605, J1=0.0615
    batch_train_loss: 2.3662, original=2.3662, J1=0.0627
    batch_train_loss: 2.3636, original=2.3636, J1=0.0629
    batch_train_loss: 2.3607, original=2.3607, J1=0.0607
    batch_train_loss: 2.3550, original=2.3550, J1=0.0602
    batch_train_loss: 2.3569, original=2.3569, J1=0.0591
(num=200,lam=0.0001,coef=1.4)epoch=0, trainloss=2.365, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.268'], testacc=['0.000', '25.022', '9.690', '0.000', '0.000', '0.000', '0.104', '85.700', '0.205', '5.253']
    batch_train_loss: 2.3540, original=2.3540, J1=0.0590
    batch_train_loss: 2.3554, original=2.3554, J1=0.0587
    batch_train_loss: 2.3540, original=2.3540, J1=0.0581
    batch_train_loss: 2.3552, original=2.3552, J1=0.0596
    batch_train_loss: 2.3570, original=2.3570, J1=0.0639
    batch_train_loss: 2.3596, original=2.3596, J1=0.0615
    batch_train_loss: 2.3603, original=2.3603, J1=0.0626
    batch_train_loss: 2.3591, original=2.3591, J1=0.0622
    batch_train_loss: 2.3506, original=2.3506, J1=0.0643
    batch_train_loss: 2.3488, original=2.3488, J1=0.0611
    batch_train_loss: 2.3530, original=2.3530, J1=0.0626
    batch_train_loss: 2.3473, original=2.3473, J1=0.0607
    batch_train_loss: 2.3515, original=2.3515, J1=0.0571
    batch_train_loss: 2.3565, original=2.3565, J1=0.0632
    batch_train_loss: 2.3419, original=2.3419, J1=0.0579
    batch_train_loss: 2.3492, original=2.3492, J1=0.0602
    batch_train_loss: 2.3468, original=2.3468, J1=0.0570
    batch_train_loss: 2.3392, original=2.3392, J1=0.0561
    batch_train_loss: 2.3470, original=2.3470, J1=0.0636
    batch_train_loss: 2.3401, original=2.3401, J1=0.0557
(num=200,lam=0.0001,coef=1.4)epoch=1, trainloss=2.351, testloss=['2.316', '2.277', '2.243', '2.349', '2.284', '2.337', '2.266', '2.238', '2.264', '2.257'], testacc=['0.000', '9.339', '42.733', '0.000', '1.935', '0.000', '1.775', '85.019', '4.312', '29.138']
    batch_train_loss: 2.3479, original=2.3479, J1=0.0626
    batch_train_loss: 2.3424, original=2.3424, J1=0.0625
    batch_train_loss: 2.3422, original=2.3422, J1=0.0613
    batch_train_loss: 2.3405, original=2.3405, J1=0.0628
    batch_train_loss: 2.3362, original=2.3362, J1=0.0588
    batch_train_loss: 2.3426, original=2.3426, J1=0.0611
    batch_train_loss: 2.3329, original=2.3329, J1=0.0558
    batch_train_loss: 2.3436, original=2.3436, J1=0.0609
    batch_train_loss: 2.3349, original=2.3349, J1=0.0598
    batch_train_loss: 2.3355, original=2.3355, J1=0.0589
    batch_train_loss: 2.3286, original=2.3286, J1=0.0528
    batch_train_loss: 2.3255, original=2.3255, J1=0.0479
    batch_train_loss: 2.3338, original=2.3338, J1=0.0607
    batch_train_loss: 2.3290, original=2.3290, J1=0.0585
    batch_train_loss: 2.3364, original=2.3364, J1=0.0604
    batch_train_loss: 2.3277, original=2.3277, J1=0.0561
    batch_train_loss: 2.3421, original=2.3421, J1=0.0599
    batch_train_loss: 2.3276, original=2.3276, J1=0.0579
    batch_train_loss: 2.3312, original=2.3312, J1=0.0613
    batch_train_loss: 2.3327, original=2.3327, J1=0.0575
(num=200,lam=0.0001,coef=1.4)epoch=2, trainloss=2.336, testloss=['2.267', '2.278', '2.228', '2.325', '2.275', '2.336', '2.251', '2.236', '2.244', '2.244'], testacc=['0.612', '9.692', '67.054', '0.000', '6.415', '0.000', '7.516', '74.903', '37.372', '61.447']
    batch_train_loss: 2.3341, original=2.3341, J1=0.0592
    batch_train_loss: 2.3230, original=2.3230, J1=0.0588
    batch_train_loss: 2.3244, original=2.3244, J1=0.0608
    batch_train_loss: 2.3251, original=2.3251, J1=0.0547
    batch_train_loss: 2.3285, original=2.3285, J1=0.0603
    batch_train_loss: 2.3159, original=2.3159, J1=0.0594
    batch_train_loss: 2.3248, original=2.3248, J1=0.0568
    batch_train_loss: 2.3230, original=2.3230, J1=0.0562
    batch_train_loss: 2.3178, original=2.3178, J1=0.0565
    batch_train_loss: 2.3103, original=2.3103, J1=0.0494
    batch_train_loss: 2.3206, original=2.3206, J1=0.0595
    batch_train_loss: 2.3102, original=2.3102, J1=0.0557
    batch_train_loss: 2.3142, original=2.3142, J1=0.0578
    batch_train_loss: 2.3209, original=2.3209, J1=0.0598
    batch_train_loss: 2.3195, original=2.3195, J1=0.0584
    batch_train_loss: 2.3184, original=2.3184, J1=0.0564
    batch_train_loss: 2.3243, original=2.3243, J1=0.0600
    batch_train_loss: 2.3172, original=2.3172, J1=0.0626
    batch_train_loss: 2.3112, original=2.3112, J1=0.0579
    batch_train_loss: 2.3174, original=2.3174, J1=0.0605
