[14.9242959   9.7834003  15.09928322 14.1724577  13.2952981  14.49014425
 13.67888689 12.81946421 14.4011879  12.98338509]
    batch_train_loss: 2.3138, original=2.3138, J3=0.0076, J5=0.0003
    batch_train_loss: 2.3163, original=2.3163, J3=0.0076, J5=0.0003
    batch_train_loss: 2.3107, original=2.3107, J3=0.0071, J5=0.0003
    batch_train_loss: 2.3115, original=2.3115, J3=0.0077, J5=0.0003
    batch_train_loss: 2.3183, original=2.3183, J3=0.0077, J5=0.0003
    batch_train_loss: 2.3272, original=2.3272, J3=0.0076, J5=0.0003
    batch_train_loss: 2.3163, original=2.3163, J3=0.0074, J5=0.0003
    batch_train_loss: 2.3061, original=2.3061, J3=0.0073, J5=0.0003
    batch_train_loss: 2.3028, original=2.3028, J3=0.0072, J5=0.0003
    batch_train_loss: 2.3172, original=2.3172, J3=0.0075, J5=0.0003
    batch_train_loss: 2.3162, original=2.3162, J3=0.0075, J5=0.0003
    batch_train_loss: 2.3034, original=2.3034, J3=0.0068, J5=0.0003
    batch_train_loss: 2.3125, original=2.3125, J3=0.0078, J5=0.0003
    batch_train_loss: 2.3117, original=2.3117, J3=0.0075, J5=0.0003
    batch_train_loss: 2.3066, original=2.3066, J3=0.0074, J5=0.0003
    batch_train_loss: 2.3114, original=2.3114, J3=0.0076, J5=0.0003
    batch_train_loss: 2.3084, original=2.3084, J3=0.0075, J5=0.0003
    batch_train_loss: 2.3075, original=2.3075, J3=0.0073, J5=0.0003
    batch_train_loss: 2.3024, original=2.3024, J3=0.0073, J5=0.0003
    batch_train_loss: 2.3050, original=2.3050, J3=0.0069, J5=0.0003
(num=200,lam=0.0001,coef=1.4999999999999998)epoch=0, trainloss=2.311, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.198', '9.981', '0.000', '0.000', '0.000', '0.104', '85.506', '0.205', '5.253']
    batch_train_loss: 2.3025, original=2.3025, J3=0.0073, J5=0.0003
    batch_train_loss: 2.3041, original=2.3041, J3=0.0072, J5=0.0003
    batch_train_loss: 2.3034, original=2.3034, J3=0.0072, J5=0.0003
    batch_train_loss: 2.3031, original=2.3031, J3=0.0073, J5=0.0003
