[14.9242959   9.7834003  15.09928322 14.1724577  13.2952981  14.49014425
 13.67888689 12.81946421 14.4011879  12.98338509]
    batch_train_loss: 2.3741, original=2.3741, J1=0.0682
    batch_train_loss: 2.3762, original=2.3762, J1=0.0678
    batch_train_loss: 2.3663, original=2.3663, J1=0.0630
    batch_train_loss: 2.3724, original=2.3724, J1=0.0688
    batch_train_loss: 2.3801, original=2.3801, J1=0.0698
    batch_train_loss: 2.3887, original=2.3887, J1=0.0694
    batch_train_loss: 2.3758, original=2.3758, J1=0.0672
    batch_train_loss: 2.3627, original=2.3627, J1=0.0642
    batch_train_loss: 2.3579, original=2.3579, J1=0.0625
    batch_train_loss: 2.3758, original=2.3758, J1=0.0664
    batch_train_loss: 2.3746, original=2.3746, J1=0.0661
    batch_train_loss: 2.3568, original=2.3568, J1=0.0605
    batch_train_loss: 2.3727, original=2.3727, J1=0.0682
    batch_train_loss: 2.3704, original=2.3704, J1=0.0664
    batch_train_loss: 2.3649, original=2.3649, J1=0.0660
    batch_train_loss: 2.3705, original=2.3705, J1=0.0669
    batch_train_loss: 2.3681, original=2.3681, J1=0.0674
    batch_train_loss: 2.3649, original=2.3649, J1=0.0649
    batch_train_loss: 2.3592, original=2.3592, J1=0.0643
    batch_train_loss: 2.3611, original=2.3611, J1=0.0632
(num=200,lam=0.0001,coef=1.4999999999999998)epoch=0, trainloss=2.370, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.268'], testacc=['0.000', '25.110', '9.690', '0.000', '0.000', '0.000', '0.104', '85.700', '0.205', '5.253']
    batch_train_loss: 2.3583, original=2.3583, J1=0.0632
    batch_train_loss: 2.3596, original=2.3596, J1=0.0630
    batch_train_loss: 2.3583, original=2.3583, J1=0.0623
    batch_train_loss: 2.3595, original=2.3595, J1=0.0639
    batch_train_loss: 2.3614, original=2.3614, J1=0.0682
    batch_train_loss: 2.3642, original=2.3642, J1=0.0660
    batch_train_loss: 2.3648, original=2.3648, J1=0.0671
    batch_train_loss: 2.3635, original=2.3635, J1=0.0665
    batch_train_loss: 2.3553, original=2.3553, J1=0.0691
    batch_train_loss: 2.3531, original=2.3531, J1=0.0654
    batch_train_loss: 2.3575, original=2.3575, J1=0.0671
    batch_train_loss: 2.3517, original=2.3517, J1=0.0650
    batch_train_loss: 2.3555, original=2.3555, J1=0.0611
    batch_train_loss: 2.3610, original=2.3610, J1=0.0677
    batch_train_loss: 2.3461, original=2.3461, J1=0.0621
    batch_train_loss: 2.3535, original=2.3535, J1=0.0645
    batch_train_loss: 2.3508, original=2.3508, J1=0.0610
    batch_train_loss: 2.3432, original=2.3432, J1=0.0601
    batch_train_loss: 2.3516, original=2.3516, J1=0.0681
    batch_train_loss: 2.3438, original=2.3438, J1=0.0594
(num=200,lam=0.0001,coef=1.4999999999999998)epoch=1, trainloss=2.356, testloss=['2.316', '2.277', '2.243', '2.349', '2.284', '2.337', '2.266', '2.238', '2.264', '2.257'], testacc=['0.000', '9.515', '42.733', '0.000', '1.935', '0.000', '1.775', '85.019', '4.312', '29.138']
    batch_train_loss: 2.3524, original=2.3524, J1=0.0670
    batch_train_loss: 2.3467, original=2.3467, J1=0.0667
    batch_train_loss: 2.3467, original=2.3467, J1=0.0657
    batch_train_loss: 2.3448, original=2.3448, J1=0.0669
    batch_train_loss: 2.3406, original=2.3406, J1=0.0631
    batch_train_loss: 2.3469, original=2.3469, J1=0.0652
    batch_train_loss: 2.3368, original=2.3368, J1=0.0596
    batch_train_loss: 2.3479, original=2.3479, J1=0.0651
    batch_train_loss: 2.3393, original=2.3393, J1=0.0641
    batch_train_loss: 2.3396, original=2.3396, J1=0.0629
    batch_train_loss: 2.3324, original=2.3324, J1=0.0565
    batch_train_loss: 2.3289, original=2.3289, J1=0.0512
    batch_train_loss: 2.3382, original=2.3382, J1=0.0650
    batch_train_loss: 2.3332, original=2.3332, J1=0.0625
    batch_train_loss: 2.3408, original=2.3408, J1=0.0647
    batch_train_loss: 2.3317, original=2.3317, J1=0.0599
    batch_train_loss: 2.3463, original=2.3463, J1=0.0640
    batch_train_loss: 2.3316, original=2.3316, J1=0.0617
    batch_train_loss: 2.3353, original=2.3353, J1=0.0653
    batch_train_loss: 2.3366, original=2.3366, J1=0.0612
