[16.91420202 11.08785367 17.11252098 16.06211872 15.06800451 16.42216349
 15.50273848 14.5287261  16.32134628 14.7145031 ]
    batch_train_loss: 2.3818, original=2.3818, J1=0.0759
    batch_train_loss: 2.3837, original=2.3837, J1=0.0752
    batch_train_loss: 2.3733, original=2.3733, J1=0.0700
    batch_train_loss: 2.3803, original=2.3803, J1=0.0767
    batch_train_loss: 2.3881, original=2.3881, J1=0.0778
    batch_train_loss: 2.3967, original=2.3967, J1=0.0774
    batch_train_loss: 2.3832, original=2.3832, J1=0.0747
    batch_train_loss: 2.3700, original=2.3700, J1=0.0715
    batch_train_loss: 2.3653, original=2.3653, J1=0.0699
    batch_train_loss: 2.3832, original=2.3832, J1=0.0737
    batch_train_loss: 2.3826, original=2.3826, J1=0.0741
    batch_train_loss: 2.3640, original=2.3640, J1=0.0677
    batch_train_loss: 2.3801, original=2.3801, J1=0.0756
    batch_train_loss: 2.3779, original=2.3779, J1=0.0739
    batch_train_loss: 2.3722, original=2.3722, J1=0.0732
    batch_train_loss: 2.3774, original=2.3774, J1=0.0738
    batch_train_loss: 2.3754, original=2.3754, J1=0.0747
    batch_train_loss: 2.3718, original=2.3718, J1=0.0719
    batch_train_loss: 2.3660, original=2.3660, J1=0.0711
    batch_train_loss: 2.3679, original=2.3679, J1=0.0700
(num=200,lam=0.0001,coef=1.6999999999999997)epoch=0, trainloss=2.377, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.268'], testacc=['0.000', '25.022', '9.690', '0.000', '0.000', '0.000', '0.104', '85.798', '0.205', '5.253']
    batch_train_loss: 2.3652, original=2.3652, J1=0.0701
    batch_train_loss: 2.3666, original=2.3666, J1=0.0700
    batch_train_loss: 2.3652, original=2.3652, J1=0.0692
    batch_train_loss: 2.3666, original=2.3666, J1=0.0710
    batch_train_loss: 2.3686, original=2.3686, J1=0.0754
    batch_train_loss: 2.3716, original=2.3716, J1=0.0734
    batch_train_loss: 2.3721, original=2.3721, J1=0.0744
    batch_train_loss: 2.3707, original=2.3707, J1=0.0737
    batch_train_loss: 2.3632, original=2.3632, J1=0.0769
    batch_train_loss: 2.3600, original=2.3600, J1=0.0723
    batch_train_loss: 2.3649, original=2.3649, J1=0.0745
    batch_train_loss: 2.3588, original=2.3588, J1=0.0721
    batch_train_loss: 2.3620, original=2.3620, J1=0.0675
    batch_train_loss: 2.3684, original=2.3684, J1=0.0750
    batch_train_loss: 2.3531, original=2.3531, J1=0.0690
    batch_train_loss: 2.3605, original=2.3605, J1=0.0715
    batch_train_loss: 2.3574, original=2.3574, J1=0.0675
    batch_train_loss: 2.3498, original=2.3498, J1=0.0665
    batch_train_loss: 2.3591, original=2.3591, J1=0.0756
    batch_train_loss: 2.3498, original=2.3498, J1=0.0653
(num=200,lam=0.0001,coef=1.6999999999999997)epoch=1, trainloss=2.363, testloss=['2.316', '2.277', '2.243', '2.349', '2.284', '2.337', '2.266', '2.238', '2.264', '2.257'], testacc=['0.000', '9.515', '42.345', '0.000', '1.935', '0.000', '1.775', '85.117', '4.312', '29.138']
    batch_train_loss: 2.3597, original=2.3597, J1=0.0743
    batch_train_loss: 2.3537, original=2.3537, J1=0.0736
    batch_train_loss: 2.3539, original=2.3539, J1=0.0728
    batch_train_loss: 2.3517, original=2.3517, J1=0.0737
    batch_train_loss: 2.3478, original=2.3478, J1=0.0702
    batch_train_loss: 2.3537, original=2.3537, J1=0.0719
    batch_train_loss: 2.3431, original=2.3431, J1=0.0658
    batch_train_loss: 2.3549, original=2.3549, J1=0.0720
    batch_train_loss: 2.3466, original=2.3466, J1=0.0712
    batch_train_loss: 2.3462, original=2.3462, J1=0.0693
    batch_train_loss: 2.3386, original=2.3386, J1=0.0625
    batch_train_loss: 2.3344, original=2.3344, J1=0.0565
    batch_train_loss: 2.3453, original=2.3453, J1=0.0719
    batch_train_loss: 2.3399, original=2.3399, J1=0.0691
    batch_train_loss: 2.3478, original=2.3478, J1=0.0715
    batch_train_loss: 2.3381, original=2.3381, J1=0.0661
    batch_train_loss: 2.3532, original=2.3532, J1=0.0707
    batch_train_loss: 2.3382, original=2.3382, J1=0.0680
    batch_train_loss: 2.3420, original=2.3420, J1=0.0717
    batch_train_loss: 2.3429, original=2.3429, J1=0.0673
(num=200,lam=0.0001,coef=1.6999999999999997)epoch=2, trainloss=2.347, testloss=['2.268', '2.278', '2.229', '2.326', '2.275', '2.336', '2.252', '2.236', '2.245', '2.245'], testacc=['0.510', '9.956', '66.473', '0.000', '6.110', '0.000', '7.516', '75.097', '36.858', '61.645']
    batch_train_loss: 2.3448, original=2.3448, J1=0.0694
    batch_train_loss: 2.3339, original=2.3339, J1=0.0693
    batch_train_loss: 2.3353, original=2.3353, J1=0.0712
    batch_train_loss: 2.3348, original=2.3348, J1=0.0639
    batch_train_loss: 2.3404, original=2.3404, J1=0.0718
    batch_train_loss: 2.3264, original=2.3264, J1=0.0693
    batch_train_loss: 2.3349, original=2.3349, J1=0.0664
    batch_train_loss: 2.3340, original=2.3340, J1=0.0665
    batch_train_loss: 2.3281, original=2.3281, J1=0.0662
    batch_train_loss: 2.3188, original=2.3188, J1=0.0574
    batch_train_loss: 2.3313, original=2.3313, J1=0.0695
    batch_train_loss: 2.3207, original=2.3207, J1=0.0654
    batch_train_loss: 2.3250, original=2.3250, J1=0.0678
    batch_train_loss: 2.3318, original=2.3318, J1=0.0700
    batch_train_loss: 2.3303, original=2.3303, J1=0.0684
    batch_train_loss: 2.3289, original=2.3289, J1=0.0662
    batch_train_loss: 2.3354, original=2.3354, J1=0.0705
    batch_train_loss: 2.3294, original=2.3294, J1=0.0740
    batch_train_loss: 2.3225, original=2.3225, J1=0.0683
    batch_train_loss: 2.3289, original=2.3289, J1=0.0711
(num=200,lam=0.0001,coef=1.6999999999999997)epoch=3, trainloss=2.331, testloss=['2.234', '2.278', '2.222', '2.296', '2.267', '2.324', '2.232', '2.231', '2.224', '2.234'], testacc=['36.429', '9.604', '63.372', '0.891', '11.100', '0.000', '30.585', '68.288', '80.287', '72.448']
    batch_train_loss: 2.3150, original=2.3150, J1=0.0695
    batch_train_loss: 2.3297, original=2.3297, J1=0.0715
    batch_train_loss: 2.3183, original=2.3183, J1=0.0690
    batch_train_loss: 2.3128, original=2.3128, J1=0.0605
    batch_train_loss: 2.3191, original=2.3191, J1=0.0668
    batch_train_loss: 2.3231, original=2.3231, J1=0.0707
    batch_train_loss: 2.3204, original=2.3204, J1=0.0674
