[16.91420202 11.08785367 17.11252098 16.06211872 15.06800451 16.42216349
 15.50273848 14.5287261  16.32134628 14.7145031 ]
    batch_train_loss: 2.3061, original=2.3061, J6=0.0001
    batch_train_loss: 2.3086, original=2.3086, J6=0.0001
    batch_train_loss: 2.3034, original=2.3034, J6=0.0001
    batch_train_loss: 2.3037, original=2.3037, J6=0.0001
    batch_train_loss: 2.3105, original=2.3105, J6=0.0001
    batch_train_loss: 2.3194, original=2.3194, J6=0.0001
    batch_train_loss: 2.3087, original=2.3087, J6=0.0001
    batch_train_loss: 2.2986, original=2.2986, J6=0.0001
    batch_train_loss: 2.2956, original=2.2956, J6=0.0001
    batch_train_loss: 2.3096, original=2.3096, J6=0.0001
    batch_train_loss: 2.3086, original=2.3086, J6=0.0001
    batch_train_loss: 2.2964, original=2.2964, J6=0.0001
    batch_train_loss: 2.3046, original=2.3046, J6=0.0001
    batch_train_loss: 2.3041, original=2.3041, J6=0.0001
    batch_train_loss: 2.2990, original=2.2990, J6=0.0001
    batch_train_loss: 2.3036, original=2.3036, J6=0.0001
    batch_train_loss: 2.3008, original=2.3008, J6=0.0001
    batch_train_loss: 2.3000, original=2.3000, J6=0.0001
    batch_train_loss: 2.2949, original=2.2949, J6=0.0001
    batch_train_loss: 2.2980, original=2.2980, J6=0.0001
(num=200,lam=0.0001,coef=1.6999999999999997)epoch=0, trainloss=2.304, testloss=['2.351', '2.266', '2.252', '2.373', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.374', '9.981', '0.000', '0.000', '0.000', '0.104', '85.117', '0.205', '5.550']
    batch_train_loss: 2.2951, original=2.2951, J6=0.0001
    batch_train_loss: 2.2967, original=2.2967, J6=0.0001
    batch_train_loss: 2.2961, original=2.2961, J6=0.0001
    batch_train_loss: 2.2956, original=2.2956, J6=0.0001
    batch_train_loss: 2.2931, original=2.2931, J6=0.0001
    batch_train_loss: 2.2981, original=2.2981, J6=0.0001
    batch_train_loss: 2.2977, original=2.2977, J6=0.0001
    batch_train_loss: 2.2969, original=2.2969, J6=0.0001
    batch_train_loss: 2.2861, original=2.2861, J6=0.0001
    batch_train_loss: 2.2874, original=2.2874, J6=0.0001
    batch_train_loss: 2.2902, original=2.2902, J6=0.0001
    batch_train_loss: 2.2864, original=2.2864, J6=0.0001
    batch_train_loss: 2.2941, original=2.2941, J6=0.0001
    batch_train_loss: 2.2929, original=2.2929, J6=0.0001
    batch_train_loss: 2.2837, original=2.2837, J6=0.0001
    batch_train_loss: 2.2886, original=2.2886, J6=0.0001
    batch_train_loss: 2.2893, original=2.2893, J6=0.0001
    batch_train_loss: 2.2826, original=2.2826, J6=0.0001
    batch_train_loss: 2.2829, original=2.2829, J6=0.0002
    batch_train_loss: 2.2837, original=2.2837, J6=0.0001
(num=200,lam=0.0001,coef=1.6999999999999997)epoch=1, trainloss=2.291, testloss=['2.314', '2.277', '2.241', '2.347', '2.284', '2.337', '2.264', '2.238', '2.264', '2.256'], testacc=['0.000', '9.604', '43.702', '0.000', '2.037', '0.000', '2.296', '84.047', '4.723', '30.624']
    batch_train_loss: 2.2847, original=2.2847, J6=0.0002
    batch_train_loss: 2.2791, original=2.2791, J6=0.0001
    batch_train_loss: 2.2802, original=2.2802, J6=0.0002
    batch_train_loss: 2.2768, original=2.2768, J6=0.0001
    batch_train_loss: 2.2767, original=2.2767, J6=0.0001
    batch_train_loss: 2.2806, original=2.2806, J6=0.0001
    batch_train_loss: 2.2764, original=2.2764, J6=0.0001
    batch_train_loss: 2.2816, original=2.2816, J6=0.0002
    batch_train_loss: 2.2739, original=2.2739, J6=0.0001
    batch_train_loss: 2.2754, original=2.2754, J6=0.0001
    batch_train_loss: 2.2747, original=2.2747, J6=0.0001
    batch_train_loss: 2.2763, original=2.2763, J6=0.0001
    batch_train_loss: 2.2716, original=2.2716, J6=0.0002
    batch_train_loss: 2.2691, original=2.2691, J6=0.0001
    batch_train_loss: 2.2746, original=2.2746, J6=0.0002
    batch_train_loss: 2.2699, original=2.2699, J6=0.0001
    batch_train_loss: 2.2808, original=2.2808, J6=0.0001
    batch_train_loss: 2.2677, original=2.2677, J6=0.0001
    batch_train_loss: 2.2680, original=2.2680, J6=0.0001
    batch_train_loss: 2.2731, original=2.2731, J6=0.0001
(num=200,lam=0.0001,coef=1.6999999999999997)epoch=2, trainloss=2.276, testloss=['2.262', '2.278', '2.225', '2.321', '2.273', '2.337', '2.247', '2.235', '2.242', '2.243'], testacc=['1.429', '9.427', '68.120', '0.000', '7.637', '0.000', '9.395', '72.568', '39.220', '61.943']
    batch_train_loss: 2.2729, original=2.2729, J6=0.0002
    batch_train_loss: 2.2617, original=2.2617, J6=0.0001
    batch_train_loss: 2.2613, original=2.2613, J6=0.0002
    batch_train_loss: 2.2683, original=2.2683, J6=0.0001
    batch_train_loss: 2.2660, original=2.2660, J6=0.0002
    batch_train_loss: 2.2537, original=2.2537, J6=0.0002
    batch_train_loss: 2.2652, original=2.2652, J6=0.0002
    batch_train_loss: 2.2641, original=2.2641, J6=0.0002
    batch_train_loss: 2.2584, original=2.2584, J6=0.0001
    batch_train_loss: 2.2580, original=2.2580, J6=0.0001
    batch_train_loss: 2.2578, original=2.2578, J6=0.0002
    batch_train_loss: 2.2508, original=2.2508, J6=0.0002
    batch_train_loss: 2.2530, original=2.2530, J6=0.0002
    batch_train_loss: 2.2575, original=2.2575, J6=0.0002
    batch_train_loss: 2.2577, original=2.2577, J6=0.0002
    batch_train_loss: 2.2587, original=2.2587, J6=0.0002
    batch_train_loss: 2.2611, original=2.2611, J6=0.0002
    batch_train_loss: 2.2505, original=2.2505, J6=0.0002
    batch_train_loss: 2.2489, original=2.2489, J6=0.0002
    batch_train_loss: 2.2524, original=2.2524, J6=0.0002
(num=200,lam=0.0001,coef=1.6999999999999997)epoch=3, trainloss=2.259, testloss=['2.221', '2.277', '2.215', '2.287', '2.262', '2.325', '2.222', '2.229', '2.217', '2.230'], testacc=['53.061', '8.811', '64.729', '1.584', '13.849', '0.000', '39.144', '66.537', '83.060', '72.151']
    batch_train_loss: 2.2398, original=2.2398, J6=0.0002
    batch_train_loss: 2.2534, original=2.2534, J6=0.0002
    batch_train_loss: 2.2427, original=2.2427, J6=0.0002
    batch_train_loss: 2.2464, original=2.2464, J6=0.0002
    batch_train_loss: 2.2459, original=2.2459, J6=0.0002
    batch_train_loss: 2.2458, original=2.2458, J6=0.0002
    batch_train_loss: 2.2470, original=2.2470, J6=0.0002
    batch_train_loss: 2.2393, original=2.2393, J6=0.0002
    batch_train_loss: 2.2459, original=2.2459, J6=0.0002
    batch_train_loss: 2.2444, original=2.2444, J6=0.0002
    batch_train_loss: 2.2446, original=2.2446, J6=0.0002
    batch_train_loss: 2.2390, original=2.2390, J6=0.0002
    batch_train_loss: 2.2398, original=2.2398, J6=0.0002
    batch_train_loss: 2.2367, original=2.2367, J6=0.0002
    batch_train_loss: 2.2320, original=2.2320, J6=0.0002
    batch_train_loss: 2.2292, original=2.2292, J6=0.0002
    batch_train_loss: 2.2304, original=2.2304, J6=0.0002
    batch_train_loss: 2.2365, original=2.2365, J6=0.0002
    batch_train_loss: 2.2319, original=2.2319, J6=0.0002
    batch_train_loss: 2.2296, original=2.2296, J6=0.0002
(num=200,lam=0.0001,coef=1.6999999999999997)epoch=4, trainloss=2.240, testloss=['2.162', '2.277', '2.202', '2.259', '2.238', '2.311', '2.198', '2.223', '2.186', '2.224'], testacc=['91.735', '5.815', '58.915', '7.129', '34.420', '0.448', '64.823', '65.467', '96.304', '54.311']
    batch_train_loss: 2.2277, original=2.2277, J6=0.0002
    batch_train_loss: 2.2302, original=2.2302, J6=0.0002
    batch_train_loss: 2.2262, original=2.2262, J6=0.0002
    batch_train_loss: 2.2271, original=2.2271, J6=0.0002
    batch_train_loss: 2.2302, original=2.2302, J6=0.0002
    batch_train_loss: 2.2208, original=2.2208, J6=0.0002
    batch_train_loss: 2.2217, original=2.2217, J6=0.0002
    batch_train_loss: 2.2188, original=2.2188, J6=0.0002
    batch_train_loss: 2.2226, original=2.2226, J6=0.0002
