[17.90915508 11.74008036 18.11913986 17.00694923 15.95435772 17.3881731
 16.41466427 15.38335705 17.28142548 15.5800621 ]
    batch_train_loss: 2.3850, original=2.3850, J1=0.0790
    batch_train_loss: 2.3868, original=2.3868, J1=0.0783
    batch_train_loss: 2.3761, original=2.3761, J1=0.0729
    batch_train_loss: 2.3835, original=2.3835, J1=0.0800
    batch_train_loss: 2.3915, original=2.3915, J1=0.0812
    batch_train_loss: 2.4000, original=2.4000, J1=0.0807
    batch_train_loss: 2.3863, original=2.3863, J1=0.0777
    batch_train_loss: 2.3731, original=2.3731, J1=0.0746
    batch_train_loss: 2.3683, original=2.3683, J1=0.0729
    batch_train_loss: 2.3862, original=2.3862, J1=0.0768
    batch_train_loss: 2.3859, original=2.3859, J1=0.0774
    batch_train_loss: 2.3670, original=2.3670, J1=0.0707
    batch_train_loss: 2.3831, original=2.3831, J1=0.0787
    batch_train_loss: 2.3809, original=2.3809, J1=0.0770
    batch_train_loss: 2.3751, original=2.3751, J1=0.0762
    batch_train_loss: 2.3802, original=2.3802, J1=0.0767
    batch_train_loss: 2.3784, original=2.3784, J1=0.0778
    batch_train_loss: 2.3747, original=2.3747, J1=0.0747
    batch_train_loss: 2.3687, original=2.3687, J1=0.0739
    batch_train_loss: 2.3707, original=2.3707, J1=0.0728
(num=200,lam=0.0001,coef=1.7999999999999998)epoch=0, trainloss=2.380, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.268'], testacc=['0.000', '25.022', '9.690', '0.000', '0.000', '0.000', '0.104', '85.798', '0.205', '5.253']
    batch_train_loss: 2.3680, original=2.3680, J1=0.0729
    batch_train_loss: 2.3695, original=2.3695, J1=0.0728
    batch_train_loss: 2.3680, original=2.3680, J1=0.0720
    batch_train_loss: 2.3695, original=2.3695, J1=0.0739
    batch_train_loss: 2.3715, original=2.3715, J1=0.0783
    batch_train_loss: 2.3746, original=2.3746, J1=0.0764
    batch_train_loss: 2.3751, original=2.3751, J1=0.0773
    batch_train_loss: 2.3736, original=2.3736, J1=0.0766
    batch_train_loss: 2.3664, original=2.3664, J1=0.0801
    batch_train_loss: 2.3629, original=2.3629, J1=0.0751
    batch_train_loss: 2.3679, original=2.3679, J1=0.0775
    batch_train_loss: 2.3617, original=2.3617, J1=0.0750
    batch_train_loss: 2.3646, original=2.3646, J1=0.0701
    batch_train_loss: 2.3714, original=2.3714, J1=0.0780
    batch_train_loss: 2.3559, original=2.3559, J1=0.0718
    batch_train_loss: 2.3634, original=2.3634, J1=0.0743
    batch_train_loss: 2.3601, original=2.3601, J1=0.0701
    batch_train_loss: 2.3524, original=2.3524, J1=0.0692
    batch_train_loss: 2.3622, original=2.3622, J1=0.0786
    batch_train_loss: 2.3522, original=2.3522, J1=0.0676
(num=200,lam=0.0001,coef=1.7999999999999998)epoch=1, trainloss=2.366, testloss=['2.316', '2.277', '2.243', '2.349', '2.285', '2.337', '2.266', '2.238', '2.264', '2.257'], testacc=['0.000', '9.515', '42.442', '0.000', '1.833', '0.000', '1.775', '85.214', '4.312', '29.138']
    batch_train_loss: 2.3628, original=2.3628, J1=0.0773
    batch_train_loss: 2.3566, original=2.3566, J1=0.0764
    batch_train_loss: 2.3569, original=2.3569, J1=0.0757
    batch_train_loss: 2.3545, original=2.3545, J1=0.0764
    batch_train_loss: 2.3508, original=2.3508, J1=0.0731
    batch_train_loss: 2.3565, original=2.3565, J1=0.0747
    batch_train_loss: 2.3457, original=2.3457, J1=0.0683
    batch_train_loss: 2.3578, original=2.3578, J1=0.0748
    batch_train_loss: 2.3495, original=2.3495, J1=0.0741
