[18.90410814 12.39230704 19.12575874 17.95177975 16.84071093 18.35418272
 17.32659006 16.237988   18.24150467 16.44562111]
    batch_train_loss: 2.3155, original=2.3155, J3=0.0092, J5=0.0003
    batch_train_loss: 2.3179, original=2.3179, J3=0.0091, J5=0.0003
    batch_train_loss: 2.3121, original=2.3121, J3=0.0085, J5=0.0003
    batch_train_loss: 2.3132, original=2.3132, J3=0.0093, J5=0.0003
    batch_train_loss: 2.3200, original=2.3200, J3=0.0093, J5=0.0003
    batch_train_loss: 2.3288, original=2.3288, J3=0.0092, J5=0.0003
    batch_train_loss: 2.3178, original=2.3178, J3=0.0089, J5=0.0003
    batch_train_loss: 2.3077, original=2.3077, J3=0.0088, J5=0.0003
    batch_train_loss: 2.3044, original=2.3044, J3=0.0087, J5=0.0003
    batch_train_loss: 2.3187, original=2.3187, J3=0.0089, J5=0.0003
    batch_train_loss: 2.3179, original=2.3179, J3=0.0091, J5=0.0003
    batch_train_loss: 2.3049, original=2.3049, J3=0.0083, J5=0.0003
    batch_train_loss: 2.3140, original=2.3140, J3=0.0093, J5=0.0003
    batch_train_loss: 2.3133, original=2.3133, J3=0.0090, J5=0.0003
    batch_train_loss: 2.3081, original=2.3081, J3=0.0089, J5=0.0003
    batch_train_loss: 2.3129, original=2.3129, J3=0.0091, J5=0.0003
    batch_train_loss: 2.3099, original=2.3099, J3=0.0089, J5=0.0003
    batch_train_loss: 2.3089, original=2.3089, J3=0.0087, J5=0.0003
    batch_train_loss: 2.3039, original=2.3039, J3=0.0087, J5=0.0003
    batch_train_loss: 2.3064, original=2.3064, J3=0.0083, J5=0.0003
(num=200,lam=0.0001,coef=1.8999999999999997)epoch=0, trainloss=2.313, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.198', '9.884', '0.000', '0.000', '0.000', '0.104', '85.603', '0.205', '5.253']
    batch_train_loss: 2.3040, original=2.3040, J3=0.0087, J5=0.0003
    batch_train_loss: 2.3056, original=2.3056, J3=0.0087, J5=0.0003
    batch_train_loss: 2.3049, original=2.3049, J3=0.0086, J5=0.0003
    batch_train_loss: 2.3046, original=2.3046, J3=0.0088, J5=0.0003
    batch_train_loss: 2.3025, original=2.3025, J3=0.0091, J5=0.0003
    batch_train_loss: 2.3073, original=2.3073, J3=0.0089, J5=0.0003
    batch_train_loss: 2.3069, original=2.3069, J3=0.0090, J5=0.0003
    batch_train_loss: 2.3061, original=2.3061, J3=0.0089, J5=0.0003
    batch_train_loss: 2.2960, original=2.2960, J3=0.0095, J5=0.0003
    batch_train_loss: 2.2966, original=2.2966, J3=0.0089, J5=0.0003
    batch_train_loss: 2.2997, original=2.2997, J3=0.0091, J5=0.0003
    batch_train_loss: 2.2957, original=2.2957, J3=0.0089, J5=0.0003
    batch_train_loss: 2.3028, original=2.3028, J3=0.0083, J5=0.0003
    batch_train_loss: 2.3026, original=2.3026, J3=0.0092, J5=0.0003
    batch_train_loss: 2.2927, original=2.2927, J3=0.0086, J5=0.0003
    batch_train_loss: 2.2978, original=2.2978, J3=0.0087, J5=0.0003
    batch_train_loss: 2.2981, original=2.2981, J3=0.0083, J5=0.0003
    batch_train_loss: 2.2914, original=2.2914, J3=0.0083, J5=0.0003
    batch_train_loss: 2.2929, original=2.2929, J3=0.0094, J5=0.0004
    batch_train_loss: 2.2923, original=2.2923, J3=0.0080, J5=0.0003
(num=200,lam=0.0001,coef=1.8999999999999997)epoch=1, trainloss=2.300, testloss=['2.315', '2.277', '2.242', '2.348', '2.284', '2.337', '2.265', '2.238', '2.264', '2.257'], testacc=['0.000', '9.515', '43.411', '0.000', '1.935', '0.000', '2.192', '84.533', '4.620', '29.931']
    batch_train_loss: 2.2946, original=2.2946, J3=0.0094, J5=0.0004
    batch_train_loss: 2.2888, original=2.2888, J3=0.0091, J5=0.0003
    batch_train_loss: 2.2901, original=2.2901, J3=0.0092, J5=0.0003
    batch_train_loss: 2.2867, original=2.2867, J3=0.0091, J5=0.0003
    batch_train_loss: 2.2862, original=2.2862, J3=0.0089, J5=0.0003
    batch_train_loss: 2.2902, original=2.2902, J3=0.0089, J5=0.0003
    batch_train_loss: 2.2856, original=2.2856, J3=0.0086, J5=0.0003
    batch_train_loss: 2.2916, original=2.2916, J3=0.0092, J5=0.0003
    batch_train_loss: 2.2837, original=2.2837, J3=0.0089, J5=0.0003
    batch_train_loss: 2.2850, original=2.2850, J3=0.0087, J5=0.0003
    batch_train_loss: 2.2835, original=2.2835, J3=0.0080, J5=0.0003
    batch_train_loss: 2.2844, original=2.2844, J3=0.0072, J5=0.0003
    batch_train_loss: 2.2818, original=2.2818, J3=0.0092, J5=0.0003
    batch_train_loss: 2.2790, original=2.2790, J3=0.0089, J5=0.0003
    batch_train_loss: 2.2847, original=2.2847, J3=0.0091, J5=0.0003
    batch_train_loss: 2.2797, original=2.2797, J3=0.0087, J5=0.0003
    batch_train_loss: 2.2908, original=2.2908, J3=0.0090, J5=0.0003
    batch_train_loss: 2.2778, original=2.2778, J3=0.0088, J5=0.0003
    batch_train_loss: 2.2783, original=2.2783, J3=0.0089, J5=0.0003
    batch_train_loss: 2.2830, original=2.2830, J3=0.0085, J5=0.0003
(num=200,lam=0.0001,coef=1.8999999999999997)epoch=2, trainloss=2.285, testloss=['2.265', '2.277', '2.227', '2.323', '2.273', '2.337', '2.249', '2.236', '2.244', '2.244'], testacc=['0.918', '10.308', '67.636', '0.000', '7.434', '0.000', '8.664', '73.833', '37.064', '62.339']
    batch_train_loss: 2.2832, original=2.2832, J3=0.0089, J5=0.0003
    batch_train_loss: 2.2722, original=2.2722, J3=0.0089, J5=0.0003
    batch_train_loss: 2.2719, original=2.2719, J3=0.0091, J5=0.0003
    batch_train_loss: 2.2782, original=2.2782, J3=0.0086, J5=0.0003
    batch_train_loss: 2.2770, original=2.2770, J3=0.0097, J5=0.0004
    batch_train_loss: 2.2644, original=2.2644, J3=0.0089, J5=0.0003
    batch_train_loss: 2.2756, original=2.2756, J3=0.0088, J5=0.0003
    batch_train_loss: 2.2746, original=2.2746, J3=0.0088, J5=0.0003
    batch_train_loss: 2.2687, original=2.2687, J3=0.0085, J5=0.0003
    batch_train_loss: 2.2673, original=2.2673, J3=0.0077, J5=0.0003
    batch_train_loss: 2.2691, original=2.2691, J3=0.0093, J5=0.0004
    batch_train_loss: 2.2617, original=2.2617, J3=0.0088, J5=0.0003
    batch_train_loss: 2.2641, original=2.2641, J3=0.0091, J5=0.0004
    batch_train_loss: 2.2689, original=2.2689, J3=0.0092, J5=0.0003
    batch_train_loss: 2.2688, original=2.2688, J3=0.0090, J5=0.0003
