[18.90410814 12.39230704 19.12575874 17.95177975 16.84071093 18.35418272
 17.32659006 16.237988   18.24150467 16.44562111]
    batch_train_loss: 2.3061, original=2.3061, J6=0.0002
    batch_train_loss: 2.3086, original=2.3086, J6=0.0002
    batch_train_loss: 2.3034, original=2.3034, J6=0.0001
    batch_train_loss: 2.3037, original=2.3037, J6=0.0002
    batch_train_loss: 2.3105, original=2.3105, J6=0.0002
    batch_train_loss: 2.3195, original=2.3195, J6=0.0002
    batch_train_loss: 2.3087, original=2.3087, J6=0.0002
    batch_train_loss: 2.2987, original=2.2987, J6=0.0002
    batch_train_loss: 2.2956, original=2.2956, J6=0.0001
    batch_train_loss: 2.3096, original=2.3096, J6=0.0002
    batch_train_loss: 2.3086, original=2.3086, J6=0.0002
    batch_train_loss: 2.2964, original=2.2964, J6=0.0001
    batch_train_loss: 2.3046, original=2.3046, J6=0.0002
    batch_train_loss: 2.3041, original=2.3041, J6=0.0002
    batch_train_loss: 2.2991, original=2.2991, J6=0.0001
    batch_train_loss: 2.3036, original=2.3036, J6=0.0002
    batch_train_loss: 2.3008, original=2.3008, J6=0.0001
    batch_train_loss: 2.3000, original=2.3000, J6=0.0001
    batch_train_loss: 2.2949, original=2.2949, J6=0.0002
    batch_train_loss: 2.2980, original=2.2980, J6=0.0001
(num=200,lam=0.0001,coef=1.8999999999999997)epoch=0, trainloss=2.304, testloss=['2.351', '2.266', '2.252', '2.373', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.374', '9.981', '0.000', '0.000', '0.000', '0.104', '85.117', '0.205', '5.550']
    batch_train_loss: 2.2951, original=2.2951, J6=0.0001
    batch_train_loss: 2.2967, original=2.2967, J6=0.0001
    batch_train_loss: 2.2961, original=2.2961, J6=0.0001
    batch_train_loss: 2.2956, original=2.2956, J6=0.0002
    batch_train_loss: 2.2931, original=2.2931, J6=0.0002
    batch_train_loss: 2.2981, original=2.2981, J6=0.0002
    batch_train_loss: 2.2977, original=2.2977, J6=0.0002
    batch_train_loss: 2.2969, original=2.2969, J6=0.0002
    batch_train_loss: 2.2861, original=2.2861, J6=0.0002
    batch_train_loss: 2.2874, original=2.2874, J6=0.0002
