[21.88896732 14.3489871  22.14561539 20.78627129 19.49977055 21.25221157
 20.06236744 18.80188084 21.12174225 19.04229813]
    batch_train_loss: 2.3162, original=2.3162, J3=0.0099, J5=0.0004
    batch_train_loss: 2.3186, original=2.3186, J3=0.0098, J5=0.0004
    batch_train_loss: 2.3128, original=2.3128, J3=0.0092, J5=0.0003
    batch_train_loss: 2.3140, original=2.3140, J3=0.0100, J5=0.0004
    batch_train_loss: 2.3208, original=2.3208, J3=0.0101, J5=0.0004
    batch_train_loss: 2.3296, original=2.3296, J3=0.0099, J5=0.0004
    batch_train_loss: 2.3185, original=2.3185, J3=0.0096, J5=0.0004
    batch_train_loss: 2.3084, original=2.3084, J3=0.0096, J5=0.0004
    batch_train_loss: 2.3052, original=2.3052, J3=0.0094, J5=0.0003
    batch_train_loss: 2.3195, original=2.3195, J3=0.0097, J5=0.0004
    batch_train_loss: 2.3187, original=2.3187, J3=0.0099, J5=0.0004
    batch_train_loss: 2.3057, original=2.3057, J3=0.0090, J5=0.0003
    batch_train_loss: 2.3148, original=2.3148, J3=0.0100, J5=0.0004
    batch_train_loss: 2.3140, original=2.3140, J3=0.0097, J5=0.0004
    batch_train_loss: 2.3089, original=2.3089, J3=0.0096, J5=0.0004
    batch_train_loss: 2.3136, original=2.3136, J3=0.0097, J5=0.0004
    batch_train_loss: 2.3107, original=2.3107, J3=0.0097, J5=0.0004
    batch_train_loss: 2.3096, original=2.3096, J3=0.0094, J5=0.0003
    batch_train_loss: 2.3045, original=2.3045, J3=0.0094, J5=0.0004
    batch_train_loss: 2.3071, original=2.3071, J3=0.0089, J5=0.0003
(num=200,lam=0.0001,coef=2.1999999999999997)epoch=0, trainloss=2.314, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.198', '9.787', '0.000', '0.000', '0.000', '0.104', '85.603', '0.205', '5.253']
    batch_train_loss: 2.3048, original=2.3048, J3=0.0094, J5=0.0003
    batch_train_loss: 2.3063, original=2.3063, J3=0.0094, J5=0.0003
    batch_train_loss: 2.3056, original=2.3056, J3=0.0093, J5=0.0004
    batch_train_loss: 2.3053, original=2.3053, J3=0.0095, J5=0.0004
    batch_train_loss: 2.3032, original=2.3032, J3=0.0098, J5=0.0004
    batch_train_loss: 2.3081, original=2.3081, J3=0.0097, J5=0.0004
    batch_train_loss: 2.3077, original=2.3077, J3=0.0097, J5=0.0004
    batch_train_loss: 2.3068, original=2.3068, J3=0.0096, J5=0.0004
    batch_train_loss: 2.2968, original=2.2968, J3=0.0103, J5=0.0004
    batch_train_loss: 2.2974, original=2.2974, J3=0.0096, J5=0.0004
    batch_train_loss: 2.3004, original=2.3004, J3=0.0098, J5=0.0004
    batch_train_loss: 2.2964, original=2.2964, J3=0.0096, J5=0.0004
    batch_train_loss: 2.3034, original=2.3034, J3=0.0090, J5=0.0003
    batch_train_loss: 2.3034, original=2.3034, J3=0.0100, J5=0.0004
    batch_train_loss: 2.2935, original=2.2935, J3=0.0093, J5=0.0004
    batch_train_loss: 2.2985, original=2.2985, J3=0.0094, J5=0.0003
    batch_train_loss: 2.2988, original=2.2988, J3=0.0090, J5=0.0003
    batch_train_loss: 2.2921, original=2.2921, J3=0.0089, J5=0.0003
    batch_train_loss: 2.2937, original=2.2937, J3=0.0102, J5=0.0004
    batch_train_loss: 2.2929, original=2.2929, J3=0.0086, J5=0.0003
(num=200,lam=0.0001,coef=2.1999999999999997)epoch=1, trainloss=2.301, testloss=['2.315', '2.277', '2.242', '2.349', '2.284', '2.337', '2.265', '2.238', '2.264', '2.257'], testacc=['0.000', '9.604', '43.314', '0.000', '1.935', '0.000', '2.192', '84.533', '4.620', '29.832']
    batch_train_loss: 2.2955, original=2.2955, J3=0.0101, J5=0.0004
    batch_train_loss: 2.2896, original=2.2896, J3=0.0098, J5=0.0004
    batch_train_loss: 2.2909, original=2.2909, J3=0.0099, J5=0.0004
    batch_train_loss: 2.2874, original=2.2874, J3=0.0098, J5=0.0004
    batch_train_loss: 2.2870, original=2.2870, J3=0.0097, J5=0.0004
    batch_train_loss: 2.2910, original=2.2910, J3=0.0096, J5=0.0004
    batch_train_loss: 2.2863, original=2.2863, J3=0.0092, J5=0.0004
    batch_train_loss: 2.2924, original=2.2924, J3=0.0099, J5=0.0004
    batch_train_loss: 2.2845, original=2.2845, J3=0.0096, J5=0.0004
    batch_train_loss: 2.2857, original=2.2857, J3=0.0094, J5=0.0003
    batch_train_loss: 2.2842, original=2.2842, J3=0.0087, J5=0.0003
    batch_train_loss: 2.2851, original=2.2851, J3=0.0078, J5=0.0003
    batch_train_loss: 2.2827, original=2.2827, J3=0.0099, J5=0.0004
    batch_train_loss: 2.2797, original=2.2797, J3=0.0096, J5=0.0004
    batch_train_loss: 2.2855, original=2.2855, J3=0.0098, J5=0.0004
    batch_train_loss: 2.2805, original=2.2805, J3=0.0094, J5=0.0004
    batch_train_loss: 2.2916, original=2.2916, J3=0.0097, J5=0.0004
    batch_train_loss: 2.2786, original=2.2786, J3=0.0095, J5=0.0004
    batch_train_loss: 2.2790, original=2.2790, J3=0.0096, J5=0.0004
    batch_train_loss: 2.2837, original=2.2837, J3=0.0092, J5=0.0003
(num=200,lam=0.0001,coef=2.1999999999999997)epoch=2, trainloss=2.286, testloss=['2.265', '2.277', '2.227', '2.324', '2.273', '2.337', '2.249', '2.236', '2.244', '2.244'], testacc=['0.918', '10.308', '67.733', '0.000', '7.536', '0.000', '8.768', '73.930', '36.961', '62.636']
    batch_train_loss: 2.2840, original=2.2840, J3=0.0096, J5=0.0004
    batch_train_loss: 2.2730, original=2.2730, J3=0.0096, J5=0.0003
    batch_train_loss: 2.2727, original=2.2727, J3=0.0098, J5=0.0004
    batch_train_loss: 2.2790, original=2.2790, J3=0.0092, J5=0.0003
    batch_train_loss: 2.2780, original=2.2780, J3=0.0105, J5=0.0004
    batch_train_loss: 2.2652, original=2.2652, J3=0.0096, J5=0.0004
    batch_train_loss: 2.2764, original=2.2764, J3=0.0095, J5=0.0004
    batch_train_loss: 2.2754, original=2.2754, J3=0.0095, J5=0.0004
    batch_train_loss: 2.2695, original=2.2695, J3=0.0091, J5=0.0003
    batch_train_loss: 2.2680, original=2.2680, J3=0.0082, J5=0.0003
    batch_train_loss: 2.2700, original=2.2700, J3=0.0100, J5=0.0004
    batch_train_loss: 2.2626, original=2.2626, J3=0.0094, J5=0.0003
    batch_train_loss: 2.2650, original=2.2650, J3=0.0098, J5=0.0004
    batch_train_loss: 2.2698, original=2.2698, J3=0.0099, J5=0.0004
    batch_train_loss: 2.2697, original=2.2697, J3=0.0097, J5=0.0004
    batch_train_loss: 2.2706, original=2.2706, J3=0.0097, J5=0.0004
    batch_train_loss: 2.2735, original=2.2735, J3=0.0103, J5=0.0004
    batch_train_loss: 2.2638, original=2.2638, J3=0.0106, J5=0.0004
    batch_train_loss: 2.2618, original=2.2618, J3=0.0101, J5=0.0004
    batch_train_loss: 2.2656, original=2.2656, J3=0.0103, J5=0.0004
(num=200,lam=0.0001,coef=2.1999999999999997)epoch=3, trainloss=2.271, testloss=['2.228', '2.277', '2.219', '2.292', '2.264', '2.325', '2.227', '2.230', '2.222', '2.231'], testacc=['45.408', '10.308', '65.310', '1.188', '12.322', '0.000', '35.699', '67.899', '79.774', '74.331']
    batch_train_loss: 2.2530, original=2.2530, J3=0.0100, J5=0.0004
    batch_train_loss: 2.2664, original=2.2664, J3=0.0104, J5=0.0004
    batch_train_loss: 2.2562, original=2.2562, J3=0.0101, J5=0.0004
    batch_train_loss: 2.2586, original=2.2586, J3=0.0091, J5=0.0003
    batch_train_loss: 2.2592, original=2.2592, J3=0.0099, J5=0.0004
    batch_train_loss: 2.2598, original=2.2598, J3=0.0104, J5=0.0004
    batch_train_loss: 2.2603, original=2.2603, J3=0.0099, J5=0.0004
    batch_train_loss: 2.2534, original=2.2534, J3=0.0106, J5=0.0004
    batch_train_loss: 2.2592, original=2.2592, J3=0.0100, J5=0.0004
    batch_train_loss: 2.2576, original=2.2576, J3=0.0100, J5=0.0004
    batch_train_loss: 2.2589, original=2.2589, J3=0.0106, J5=0.0004
    batch_train_loss: 2.2525, original=2.2525, J3=0.0096, J5=0.0004
    batch_train_loss: 2.2534, original=2.2534, J3=0.0098, J5=0.0004
    batch_train_loss: 2.2510, original=2.2510, J3=0.0103, J5=0.0004
    batch_train_loss: 2.2464, original=2.2464, J3=0.0100, J5=0.0004
    batch_train_loss: 2.2436, original=2.2436, J3=0.0098, J5=0.0004
    batch_train_loss: 2.2450, original=2.2450, J3=0.0098, J5=0.0004
    batch_train_loss: 2.2512, original=2.2512, J3=0.0102, J5=0.0004
    batch_train_loss: 2.2466, original=2.2466, J3=0.0104, J5=0.0004
    batch_train_loss: 2.2445, original=2.2445, J3=0.0101, J5=0.0004
(num=200,lam=0.0001,coef=2.1999999999999997)epoch=4, trainloss=2.254, testloss=['2.175', '2.276', '2.207', '2.266', '2.243', '2.311', '2.206', '2.225', '2.194', '2.226'], testacc=['90.306', '7.225', '59.109', '5.545', '32.281', '0.336', '62.839', '66.440', '95.893', '58.176']
    batch_train_loss: 2.2422, original=2.2422, J3=0.0099, J5=0.0004
    batch_train_loss: 2.2441, original=2.2441, J3=0.0092, J5=0.0004
    batch_train_loss: 2.2409, original=2.2409, J3=0.0096, J5=0.0004
    batch_train_loss: 2.2423, original=2.2423, J3=0.0102, J5=0.0004
    batch_train_loss: 2.2465, original=2.2465, J3=0.0112, J5=0.0004
    batch_train_loss: 2.2367, original=2.2367, J3=0.0101, J5=0.0004
    batch_train_loss: 2.2380, original=2.2380, J3=0.0107, J5=0.0004
    batch_train_loss: 2.2352, original=2.2352, J3=0.0105, J5=0.0004
    batch_train_loss: 2.2398, original=2.2398, J3=0.0111, J5=0.0004
    batch_train_loss: 2.2342, original=2.2342, J3=0.0103, J5=0.0004
    batch_train_loss: 2.2407, original=2.2407, J3=0.0109, J5=0.0004
    batch_train_loss: 2.2324, original=2.2324, J3=0.0108, J5=0.0004
