[22.88392038 15.00121379 23.15223427 21.7311018  20.38612375 22.21822119
 20.97429323 19.65651178 22.08182144 19.90785713]
    batch_train_loss: 2.3164, original=2.3164, J3=0.0101, J5=0.0004
    batch_train_loss: 2.3188, original=2.3188, J3=0.0100, J5=0.0004
    batch_train_loss: 2.3130, original=2.3130, J3=0.0094, J5=0.0003
    batch_train_loss: 2.3142, original=2.3142, J3=0.0102, J5=0.0004
    batch_train_loss: 2.3210, original=2.3210, J3=0.0103, J5=0.0004
    batch_train_loss: 2.3298, original=2.3298, J3=0.0101, J5=0.0004
    batch_train_loss: 2.3187, original=2.3187, J3=0.0098, J5=0.0004
    batch_train_loss: 2.3086, original=2.3086, J3=0.0098, J5=0.0004
    batch_train_loss: 2.3054, original=2.3054, J3=0.0096, J5=0.0004
    batch_train_loss: 2.3197, original=2.3197, J3=0.0098, J5=0.0004
    batch_train_loss: 2.3189, original=2.3189, J3=0.0101, J5=0.0004
    batch_train_loss: 2.3059, original=2.3059, J3=0.0092, J5=0.0003
    batch_train_loss: 2.3150, original=2.3150, J3=0.0102, J5=0.0004
    batch_train_loss: 2.3142, original=2.3142, J3=0.0099, J5=0.0004
    batch_train_loss: 2.3091, original=2.3091, J3=0.0098, J5=0.0004
    batch_train_loss: 2.3138, original=2.3138, J3=0.0099, J5=0.0004
    batch_train_loss: 2.3109, original=2.3109, J3=0.0098, J5=0.0004
    batch_train_loss: 2.3098, original=2.3098, J3=0.0095, J5=0.0003
    batch_train_loss: 2.3047, original=2.3047, J3=0.0096, J5=0.0004
    batch_train_loss: 2.3073, original=2.3073, J3=0.0091, J5=0.0003
(num=200,lam=0.0001,coef=2.3)epoch=0, trainloss=2.314, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.198', '9.787', '0.000', '0.000', '0.000', '0.104', '85.603', '0.205', '5.253']
    batch_train_loss: 2.3049, original=2.3049, J3=0.0096, J5=0.0003
    batch_train_loss: 2.3065, original=2.3065, J3=0.0096, J5=0.0003
