[29.8485918  19.56680059 30.19856644 28.34491539 26.5905962  28.98028851
 27.35777378 25.63892841 28.80237579 25.96677017]
    batch_train_loss: 2.3174, original=2.3174, J3=0.0111, J5=0.0004
    batch_train_loss: 2.3198, original=2.3198, J3=0.0109, J5=0.0004
    batch_train_loss: 2.3139, original=2.3139, J3=0.0102, J5=0.0004
    batch_train_loss: 2.3151, original=2.3151, J3=0.0112, J5=0.0004
    batch_train_loss: 2.3220, original=2.3220, J3=0.0113, J5=0.0004
    batch_train_loss: 2.3308, original=2.3308, J3=0.0111, J5=0.0004
    batch_train_loss: 2.3196, original=2.3196, J3=0.0107, J5=0.0004
    batch_train_loss: 2.3096, original=2.3096, J3=0.0107, J5=0.0004
    batch_train_loss: 2.3063, original=2.3063, J3=0.0105, J5=0.0004
    batch_train_loss: 2.3206, original=2.3206, J3=0.0107, J5=0.0004
    batch_train_loss: 2.3200, original=2.3200, J3=0.0111, J5=0.0004
    batch_train_loss: 2.3068, original=2.3068, J3=0.0101, J5=0.0004
    batch_train_loss: 2.3159, original=2.3159, J3=0.0110, J5=0.0004
    batch_train_loss: 2.3152, original=2.3152, J3=0.0108, J5=0.0004
    batch_train_loss: 2.3100, original=2.3100, J3=0.0106, J5=0.0004
    batch_train_loss: 2.3146, original=2.3146, J3=0.0107, J5=0.0004
    batch_train_loss: 2.3118, original=2.3118, J3=0.0107, J5=0.0004
    batch_train_loss: 2.3106, original=2.3106, J3=0.0103, J5=0.0004
    batch_train_loss: 2.3056, original=2.3056, J3=0.0104, J5=0.0004
    batch_train_loss: 2.3081, original=2.3081, J3=0.0099, J5=0.0004
(num=200,lam=0.0001,coef=2.9999999999999996)epoch=0, trainloss=2.315, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.286', '9.787', '0.000', '0.000', '0.000', '0.104', '85.506', '0.205', '5.253']
    batch_train_loss: 2.3058, original=2.3058, J3=0.0105, J5=0.0004
    batch_train_loss: 2.3074, original=2.3074, J3=0.0104, J5=0.0004
    batch_train_loss: 2.3067, original=2.3067, J3=0.0103, J5=0.0004
    batch_train_loss: 2.3065, original=2.3065, J3=0.0105, J5=0.0004
    batch_train_loss: 2.3043, original=2.3043, J3=0.0109, J5=0.0004
    batch_train_loss: 2.3093, original=2.3093, J3=0.0107, J5=0.0004
    batch_train_loss: 2.3088, original=2.3088, J3=0.0108, J5=0.0004
    batch_train_loss: 2.3079, original=2.3079, J3=0.0107, J5=0.0004
    batch_train_loss: 2.2980, original=2.2980, J3=0.0115, J5=0.0004
    batch_train_loss: 2.2985, original=2.2985, J3=0.0106, J5=0.0004
    batch_train_loss: 2.3016, original=2.3016, J3=0.0109, J5=0.0004
    batch_train_loss: 2.2975, original=2.2975, J3=0.0107, J5=0.0004
    batch_train_loss: 2.3045, original=2.3045, J3=0.0099, J5=0.0004
    batch_train_loss: 2.3046, original=2.3046, J3=0.0111, J5=0.0004
    batch_train_loss: 2.2946, original=2.2946, J3=0.0104, J5=0.0004
    batch_train_loss: 2.2996, original=2.2996, J3=0.0104, J5=0.0004
    batch_train_loss: 2.2999, original=2.2999, J3=0.0099, J5=0.0004
    batch_train_loss: 2.2932, original=2.2932, J3=0.0099, J5=0.0004
    batch_train_loss: 2.2949, original=2.2949, J3=0.0113, J5=0.0004
    batch_train_loss: 2.2939, original=2.2939, J3=0.0095, J5=0.0004
(num=200,lam=0.0001,coef=2.9999999999999996)epoch=1, trainloss=2.302, testloss=['2.315', '2.277', '2.242', '2.349', '2.284', '2.337', '2.265', '2.238', '2.264', '2.257'], testacc=['0.000', '9.604', '43.217', '0.000', '1.935', '0.000', '2.192', '84.533', '4.620', '29.832']
    batch_train_loss: 2.2967, original=2.2967, J3=0.0113, J5=0.0004
    batch_train_loss: 2.2907, original=2.2907, J3=0.0108, J5=0.0004
    batch_train_loss: 2.2921, original=2.2921, J3=0.0110, J5=0.0004
    batch_train_loss: 2.2885, original=2.2885, J3=0.0108, J5=0.0004
    batch_train_loss: 2.2882, original=2.2882, J3=0.0108, J5=0.0004
    batch_train_loss: 2.2921, original=2.2921, J3=0.0106, J5=0.0004
    batch_train_loss: 2.2874, original=2.2874, J3=0.0102, J5=0.0004
    batch_train_loss: 2.2936, original=2.2936, J3=0.0110, J5=0.0004
    batch_train_loss: 2.2857, original=2.2857, J3=0.0107, J5=0.0004
    batch_train_loss: 2.2869, original=2.2869, J3=0.0104, J5=0.0004
    batch_train_loss: 2.2853, original=2.2853, J3=0.0096, J5=0.0004
    batch_train_loss: 2.2861, original=2.2861, J3=0.0087, J5=0.0003
    batch_train_loss: 2.2839, original=2.2839, J3=0.0110, J5=0.0004
