[31.83849792 20.87125397 32.2118042  30.23457642 28.36330261 30.91230774
 29.18162537 27.34819031 30.72253418 27.69788818]
    batch_train_loss: 2.3176, original=2.3176, J3=0.0113, J5=0.0004
    batch_train_loss: 2.3199, original=2.3199, J3=0.0110, J5=0.0004
    batch_train_loss: 2.3140, original=2.3140, J3=0.0104, J5=0.0004
    batch_train_loss: 2.3153, original=2.3153, J3=0.0114, J5=0.0004
    batch_train_loss: 2.3222, original=2.3222, J3=0.0115, J5=0.0004
    batch_train_loss: 2.3309, original=2.3309, J3=0.0112, J5=0.0004
    batch_train_loss: 2.3198, original=2.3198, J3=0.0108, J5=0.0004
    batch_train_loss: 2.3097, original=2.3097, J3=0.0108, J5=0.0004
    batch_train_loss: 2.3065, original=2.3065, J3=0.0107, J5=0.0004
    batch_train_loss: 2.3208, original=2.3208, J3=0.0109, J5=0.0004
    batch_train_loss: 2.3202, original=2.3202, J3=0.0113, J5=0.0004
    batch_train_loss: 2.3070, original=2.3070, J3=0.0103, J5=0.0004
    batch_train_loss: 2.3161, original=2.3161, J3=0.0112, J5=0.0004
    batch_train_loss: 2.3153, original=2.3153, J3=0.0110, J5=0.0004
    batch_train_loss: 2.3101, original=2.3101, J3=0.0108, J5=0.0004
    batch_train_loss: 2.3148, original=2.3148, J3=0.0109, J5=0.0004
    batch_train_loss: 2.3119, original=2.3119, J3=0.0109, J5=0.0004
    batch_train_loss: 2.3108, original=2.3108, J3=0.0105, J5=0.0004
    batch_train_loss: 2.3057, original=2.3057, J3=0.0105, J5=0.0004
    batch_train_loss: 2.3083, original=2.3083, J3=0.0101, J5=0.0004
(num=200,lam=0.0001,coef=3.1999999999999993)epoch=0, trainloss=2.315, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.286', '9.787', '0.000', '0.000', '0.000', '0.104', '85.506', '0.205', '5.253']
    batch_train_loss: 2.3060, original=2.3060, J3=0.0106, J5=0.0004
    batch_train_loss: 2.3076, original=2.3076, J3=0.0106, J5=0.0004
    batch_train_loss: 2.3068, original=2.3068, J3=0.0105, J5=0.0004
    batch_train_loss: 2.3066, original=2.3066, J3=0.0107, J5=0.0004
    batch_train_loss: 2.3045, original=2.3045, J3=0.0110, J5=0.0004
    batch_train_loss: 2.3094, original=2.3094, J3=0.0109, J5=0.0004
    batch_train_loss: 2.3090, original=2.3090, J3=0.0110, J5=0.0004
    batch_train_loss: 2.3081, original=2.3081, J3=0.0108, J5=0.0004
    batch_train_loss: 2.2982, original=2.2982, J3=0.0116, J5=0.0004
    batch_train_loss: 2.2986, original=2.2986, J3=0.0107, J5=0.0004
    batch_train_loss: 2.3018, original=2.3018, J3=0.0111, J5=0.0004
    batch_train_loss: 2.2977, original=2.2977, J3=0.0109, J5=0.0004
    batch_train_loss: 2.3046, original=2.3046, J3=0.0101, J5=0.0004
    batch_train_loss: 2.3047, original=2.3047, J3=0.0112, J5=0.0004
    batch_train_loss: 2.2948, original=2.2948, J3=0.0106, J5=0.0004
    batch_train_loss: 2.2998, original=2.2998, J3=0.0106, J5=0.0004
    batch_train_loss: 2.3000, original=2.3000, J3=0.0101, J5=0.0004
    batch_train_loss: 2.2933, original=2.2933, J3=0.0100, J5=0.0004
    batch_train_loss: 2.2951, original=2.2951, J3=0.0115, J5=0.0004
    batch_train_loss: 2.2940, original=2.2940, J3=0.0096, J5=0.0004
(num=200,lam=0.0001,coef=3.1999999999999993)epoch=1, trainloss=2.302, testloss=['2.315', '2.277', '2.242', '2.349', '2.284', '2.337', '2.265', '2.238', '2.264', '2.257'], testacc=['0.000', '9.604', '43.217', '0.000', '1.935', '0.000', '2.192', '84.533', '4.620', '29.832']
    batch_train_loss: 2.2969, original=2.2969, J3=0.0114, J5=0.0004
    batch_train_loss: 2.2909, original=2.2909, J3=0.0109, J5=0.0004
    batch_train_loss: 2.2923, original=2.2923, J3=0.0112, J5=0.0004
    batch_train_loss: 2.2887, original=2.2887, J3=0.0109, J5=0.0004
    batch_train_loss: 2.2884, original=2.2884, J3=0.0109, J5=0.0004
    batch_train_loss: 2.2923, original=2.2923, J3=0.0108, J5=0.0004
    batch_train_loss: 2.2875, original=2.2875, J3=0.0104, J5=0.0004
    batch_train_loss: 2.2938, original=2.2938, J3=0.0112, J5=0.0004
    batch_train_loss: 2.2859, original=2.2859, J3=0.0108, J5=0.0004
    batch_train_loss: 2.2870, original=2.2870, J3=0.0105, J5=0.0004
    batch_train_loss: 2.2855, original=2.2855, J3=0.0098, J5=0.0004
    batch_train_loss: 2.2862, original=2.2862, J3=0.0088, J5=0.0003
    batch_train_loss: 2.2841, original=2.2841, J3=0.0112, J5=0.0004
    batch_train_loss: 2.2811, original=2.2811, J3=0.0107, J5=0.0004
    batch_train_loss: 2.2869, original=2.2869, J3=0.0110, J5=0.0004
    batch_train_loss: 2.2818, original=2.2818, J3=0.0105, J5=0.0004
    batch_train_loss: 2.2930, original=2.2930, J3=0.0109, J5=0.0004
