[33.82840405 22.17570734 34.22504196 32.12423744 30.13600903 32.84432697
 31.00547695 29.0574522  32.64269257 29.4290062 ]
    batch_train_loss: 2.3177, original=2.3177, J3=0.0114, J5=0.0004
    batch_train_loss: 2.3201, original=2.3201, J3=0.0112, J5=0.0004
    batch_train_loss: 2.3142, original=2.3142, J3=0.0105, J5=0.0004
    batch_train_loss: 2.3155, original=2.3155, J3=0.0115, J5=0.0004
    batch_train_loss: 2.3223, original=2.3223, J3=0.0116, J5=0.0004
    batch_train_loss: 2.3311, original=2.3311, J3=0.0114, J5=0.0004
    batch_train_loss: 2.3199, original=2.3199, J3=0.0109, J5=0.0004
    batch_train_loss: 2.3099, original=2.3099, J3=0.0110, J5=0.0004
    batch_train_loss: 2.3067, original=2.3067, J3=0.0108, J5=0.0004
    batch_train_loss: 2.3209, original=2.3209, J3=0.0110, J5=0.0004
    batch_train_loss: 2.3203, original=2.3203, J3=0.0114, J5=0.0004
    batch_train_loss: 2.3071, original=2.3071, J3=0.0104, J5=0.0004
    batch_train_loss: 2.3162, original=2.3162, J3=0.0113, J5=0.0004
    batch_train_loss: 2.3155, original=2.3155, J3=0.0111, J5=0.0004
    batch_train_loss: 2.3103, original=2.3103, J3=0.0109, J5=0.0004
    batch_train_loss: 2.3149, original=2.3149, J3=0.0110, J5=0.0004
    batch_train_loss: 2.3121, original=2.3121, J3=0.0110, J5=0.0004
    batch_train_loss: 2.3109, original=2.3109, J3=0.0106, J5=0.0004
    batch_train_loss: 2.3059, original=2.3059, J3=0.0107, J5=0.0004
    batch_train_loss: 2.3084, original=2.3084, J3=0.0102, J5=0.0004
(num=200,lam=0.0001,coef=3.3999999999999995)epoch=0, trainloss=2.315, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.286', '9.787', '0.000', '0.000', '0.000', '0.104', '85.506', '0.205', '5.154']
    batch_train_loss: 2.3061, original=2.3061, J3=0.0108, J5=0.0004
    batch_train_loss: 2.3077, original=2.3077, J3=0.0107, J5=0.0004
    batch_train_loss: 2.3070, original=2.3070, J3=0.0106, J5=0.0004
    batch_train_loss: 2.3068, original=2.3068, J3=0.0108, J5=0.0004
    batch_train_loss: 2.3046, original=2.3046, J3=0.0112, J5=0.0004
    batch_train_loss: 2.3096, original=2.3096, J3=0.0110, J5=0.0004
