[34.82335711 22.82793403 35.23166084 33.06906796 31.02236223 33.81033659
 31.91740274 29.91208315 33.60277176 30.2945652 ]
    batch_train_loss: 2.3178, original=2.3178, J3=0.0115, J5=0.0004
    batch_train_loss: 2.3201, original=2.3201, J3=0.0112, J5=0.0004
    batch_train_loss: 2.3142, original=2.3142, J3=0.0105, J5=0.0004
    batch_train_loss: 2.3155, original=2.3155, J3=0.0116, J5=0.0004
    batch_train_loss: 2.3224, original=2.3224, J3=0.0117, J5=0.0004
    batch_train_loss: 2.3312, original=2.3312, J3=0.0114, J5=0.0004
    batch_train_loss: 2.3200, original=2.3200, J3=0.0110, J5=0.0004
    batch_train_loss: 2.3099, original=2.3099, J3=0.0110, J5=0.0004
    batch_train_loss: 2.3067, original=2.3067, J3=0.0109, J5=0.0004
    batch_train_loss: 2.3210, original=2.3210, J3=0.0111, J5=0.0004
    batch_train_loss: 2.3204, original=2.3204, J3=0.0115, J5=0.0004
    batch_train_loss: 2.3072, original=2.3072, J3=0.0105, J5=0.0004
    batch_train_loss: 2.3163, original=2.3163, J3=0.0114, J5=0.0004
    batch_train_loss: 2.3155, original=2.3155, J3=0.0112, J5=0.0004
    batch_train_loss: 2.3103, original=2.3103, J3=0.0110, J5=0.0004
    batch_train_loss: 2.3150, original=2.3150, J3=0.0111, J5=0.0004
    batch_train_loss: 2.3121, original=2.3121, J3=0.0111, J5=0.0004
    batch_train_loss: 2.3110, original=2.3110, J3=0.0107, J5=0.0004
    batch_train_loss: 2.3059, original=2.3059, J3=0.0107, J5=0.0004
    batch_train_loss: 2.3085, original=2.3085, J3=0.0102, J5=0.0004
(num=200,lam=0.0001,coef=3.499999999999999)epoch=0, trainloss=2.315, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.286', '9.787', '0.000', '0.000', '0.000', '0.104', '85.506', '0.205', '5.154']
    batch_train_loss: 2.3062, original=2.3062, J3=0.0108, J5=0.0004
    batch_train_loss: 2.3078, original=2.3078, J3=0.0108, J5=0.0004
    batch_train_loss: 2.3070, original=2.3070, J3=0.0107, J5=0.0004
    batch_train_loss: 2.3068, original=2.3068, J3=0.0109, J5=0.0004
    batch_train_loss: 2.3047, original=2.3047, J3=0.0112, J5=0.0004
    batch_train_loss: 2.3096, original=2.3096, J3=0.0111, J5=0.0004
