[35.81831017 23.48016071 36.23827972 34.01389847 31.90871544 34.77634621
 32.82932854 30.7667141  34.56285095 31.16012421]
    batch_train_loss: 2.3179, original=2.3179, J3=0.0115, J5=0.0004
    batch_train_loss: 2.3202, original=2.3202, J3=0.0113, J5=0.0004
    batch_train_loss: 2.3143, original=2.3143, J3=0.0106, J5=0.0004
    batch_train_loss: 2.3156, original=2.3156, J3=0.0116, J5=0.0004
    batch_train_loss: 2.3225, original=2.3225, J3=0.0117, J5=0.0004
    batch_train_loss: 2.3312, original=2.3312, J3=0.0115, J5=0.0004
    batch_train_loss: 2.3201, original=2.3201, J3=0.0111, J5=0.0004
    batch_train_loss: 2.3100, original=2.3100, J3=0.0111, J5=0.0004
    batch_train_loss: 2.3068, original=2.3068, J3=0.0109, J5=0.0004
    batch_train_loss: 2.3210, original=2.3210, J3=0.0111, J5=0.0004
    batch_train_loss: 2.3205, original=2.3205, J3=0.0116, J5=0.0004
    batch_train_loss: 2.3072, original=2.3072, J3=0.0105, J5=0.0004
    batch_train_loss: 2.3163, original=2.3163, J3=0.0115, J5=0.0004
    batch_train_loss: 2.3156, original=2.3156, J3=0.0112, J5=0.0004
    batch_train_loss: 2.3104, original=2.3104, J3=0.0110, J5=0.0004
    batch_train_loss: 2.3150, original=2.3150, J3=0.0111, J5=0.0004
    batch_train_loss: 2.3122, original=2.3122, J3=0.0111, J5=0.0004
    batch_train_loss: 2.3110, original=2.3110, J3=0.0107, J5=0.0004
    batch_train_loss: 2.3060, original=2.3060, J3=0.0108, J5=0.0004
    batch_train_loss: 2.3085, original=2.3085, J3=0.0103, J5=0.0004
(num=200,lam=0.0001,coef=3.599999999999999)epoch=0, trainloss=2.315, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.286', '9.787', '0.000', '0.000', '0.000', '0.104', '85.506', '0.205', '5.154']
    batch_train_loss: 2.3063, original=2.3063, J3=0.0109, J5=0.0004
    batch_train_loss: 2.3078, original=2.3078, J3=0.0108, J5=0.0004
