[39.79812241 26.08906746 40.26475525 37.79322052 35.45412827 38.64038467
 36.47703171 34.18523788 38.40316772 34.62236023]
    batch_train_loss: 2.3181, original=2.3181, J3=0.0117, J5=0.0004
    batch_train_loss: 2.3204, original=2.3204, J3=0.0115, J5=0.0004
    batch_train_loss: 2.3145, original=2.3145, J3=0.0108, J5=0.0004
    batch_train_loss: 2.3158, original=2.3158, J3=0.0118, J5=0.0004
    batch_train_loss: 2.3227, original=2.3227, J3=0.0119, J5=0.0004
    batch_train_loss: 2.3314, original=2.3314, J3=0.0117, J5=0.0004
    batch_train_loss: 2.3202, original=2.3202, J3=0.0112, J5=0.0004
    batch_train_loss: 2.3102, original=2.3102, J3=0.0113, J5=0.0004
    batch_train_loss: 2.3070, original=2.3070, J3=0.0111, J5=0.0004
    batch_train_loss: 2.3212, original=2.3212, J3=0.0113, J5=0.0004
    batch_train_loss: 2.3207, original=2.3207, J3=0.0118, J5=0.0004
    batch_train_loss: 2.3074, original=2.3074, J3=0.0107, J5=0.0004
    batch_train_loss: 2.3165, original=2.3165, J3=0.0116, J5=0.0004
    batch_train_loss: 2.3158, original=2.3158, J3=0.0114, J5=0.0004
    batch_train_loss: 2.3106, original=2.3106, J3=0.0112, J5=0.0004
    batch_train_loss: 2.3152, original=2.3152, J3=0.0113, J5=0.0004
    batch_train_loss: 2.3124, original=2.3124, J3=0.0113, J5=0.0004
    batch_train_loss: 2.3112, original=2.3112, J3=0.0109, J5=0.0004
    batch_train_loss: 2.3061, original=2.3061, J3=0.0109, J5=0.0004
    batch_train_loss: 2.3087, original=2.3087, J3=0.0104, J5=0.0004
(num=200,lam=0.0001,coef=3.999999999999999)epoch=0, trainloss=2.315, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.286', '9.787', '0.000', '0.000', '0.000', '0.104', '85.506', '0.205', '5.154']
    batch_train_loss: 2.3064, original=2.3064, J3=0.0110, J5=0.0004
    batch_train_loss: 2.3080, original=2.3080, J3=0.0110, J5=0.0004
    batch_train_loss: 2.3073, original=2.3073, J3=0.0109, J5=0.0004
    batch_train_loss: 2.3071, original=2.3071, J3=0.0111, J5=0.0004
    batch_train_loss: 2.3049, original=2.3049, J3=0.0114, J5=0.0004
    batch_train_loss: 2.3099, original=2.3099, J3=0.0113, J5=0.0004
    batch_train_loss: 2.3094, original=2.3094, J3=0.0114, J5=0.0004
    batch_train_loss: 2.3085, original=2.3085, J3=0.0113, J5=0.0004
    batch_train_loss: 2.2987, original=2.2987, J3=0.0121, J5=0.0004
    batch_train_loss: 2.2991, original=2.2991, J3=0.0112, J5=0.0004
    batch_train_loss: 2.3022, original=2.3022, J3=0.0115, J5=0.0004
    batch_train_loss: 2.2982, original=2.2982, J3=0.0113, J5=0.0004
