[42.78298159 28.04574752 43.28461189 40.62771206 38.11318789 41.53841352
 39.21280909 36.74913073 41.2834053  37.21903725]
    batch_train_loss: 2.3061, original=2.3061, J6=0.0002
    batch_train_loss: 2.3087, original=2.3087, J6=0.0002
    batch_train_loss: 2.3035, original=2.3035, J6=0.0002
    batch_train_loss: 2.3037, original=2.3037, J6=0.0002
    batch_train_loss: 2.3105, original=2.3105, J6=0.0002
    batch_train_loss: 2.3195, original=2.3195, J6=0.0002
    batch_train_loss: 2.3088, original=2.3088, J6=0.0002
    batch_train_loss: 2.2987, original=2.2987, J6=0.0002
    batch_train_loss: 2.2956, original=2.2956, J6=0.0002
    batch_train_loss: 2.3097, original=2.3097, J6=0.0002
    batch_train_loss: 2.3087, original=2.3087, J6=0.0002
    batch_train_loss: 2.2965, original=2.2965, J6=0.0002
    batch_train_loss: 2.3047, original=2.3047, J6=0.0002
    batch_train_loss: 2.3042, original=2.3042, J6=0.0002
    batch_train_loss: 2.2991, original=2.2991, J6=0.0002
    batch_train_loss: 2.3037, original=2.3037, J6=0.0002
    batch_train_loss: 2.3008, original=2.3008, J6=0.0002
    batch_train_loss: 2.3001, original=2.3001, J6=0.0002
    batch_train_loss: 2.2950, original=2.2950, J6=0.0002
    batch_train_loss: 2.2980, original=2.2980, J6=0.0002
(num=200,lam=0.0001,coef=4.299999999999999)epoch=0, trainloss=2.304, testloss=['2.351', '2.266', '2.252', '2.373', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.374', '9.981', '0.000', '0.000', '0.000', '0.104', '85.117', '0.205', '5.550']
    batch_train_loss: 2.2951, original=2.2951, J6=0.0002
    batch_train_loss: 2.2968, original=2.2968, J6=0.0002
    batch_train_loss: 2.2961, original=2.2961, J6=0.0002
    batch_train_loss: 2.2957, original=2.2957, J6=0.0002
    batch_train_loss: 2.2931, original=2.2931, J6=0.0002
    batch_train_loss: 2.2982, original=2.2982, J6=0.0002
    batch_train_loss: 2.2977, original=2.2977, J6=0.0002
    batch_train_loss: 2.2969, original=2.2969, J6=0.0002
    batch_train_loss: 2.2862, original=2.2862, J6=0.0002
    batch_train_loss: 2.2875, original=2.2875, J6=0.0002
    batch_train_loss: 2.2902, original=2.2902, J6=0.0002
    batch_train_loss: 2.2864, original=2.2864, J6=0.0002
    batch_train_loss: 2.2942, original=2.2942, J6=0.0002
    batch_train_loss: 2.2930, original=2.2930, J6=0.0002
    batch_train_loss: 2.2837, original=2.2837, J6=0.0002
    batch_train_loss: 2.2887, original=2.2887, J6=0.0002
    batch_train_loss: 2.2894, original=2.2894, J6=0.0002
    batch_train_loss: 2.2827, original=2.2827, J6=0.0002
    batch_train_loss: 2.2830, original=2.2830, J6=0.0002
    batch_train_loss: 2.2837, original=2.2837, J6=0.0002
(num=200,lam=0.0001,coef=4.299999999999999)epoch=1, trainloss=2.291, testloss=['2.314', '2.277', '2.241', '2.347', '2.284', '2.337', '2.264', '2.238', '2.264', '2.256'], testacc=['0.000', '9.604', '43.702', '0.000', '2.037', '0.000', '2.296', '84.047', '4.723', '30.723']
    batch_train_loss: 2.2848, original=2.2848, J6=0.0002
    batch_train_loss: 2.2791, original=2.2791, J6=0.0002
    batch_train_loss: 2.2803, original=2.2803, J6=0.0002
    batch_train_loss: 2.2769, original=2.2769, J6=0.0002
    batch_train_loss: 2.2767, original=2.2767, J6=0.0002
    batch_train_loss: 2.2806, original=2.2806, J6=0.0002
    batch_train_loss: 2.2765, original=2.2765, J6=0.0002
    batch_train_loss: 2.2817, original=2.2817, J6=0.0002
    batch_train_loss: 2.2740, original=2.2740, J6=0.0002
    batch_train_loss: 2.2755, original=2.2755, J6=0.0002
    batch_train_loss: 2.2747, original=2.2747, J6=0.0002
    batch_train_loss: 2.2764, original=2.2764, J6=0.0002
    batch_train_loss: 2.2717, original=2.2717, J6=0.0002
    batch_train_loss: 2.2691, original=2.2691, J6=0.0002
    batch_train_loss: 2.2747, original=2.2747, J6=0.0002
    batch_train_loss: 2.2700, original=2.2700, J6=0.0002
    batch_train_loss: 2.2809, original=2.2809, J6=0.0002
    batch_train_loss: 2.2677, original=2.2677, J6=0.0002
    batch_train_loss: 2.2681, original=2.2681, J6=0.0002
    batch_train_loss: 2.2731, original=2.2731, J6=0.0002
(num=200,lam=0.0001,coef=4.299999999999999)epoch=2, trainloss=2.276, testloss=['2.262', '2.278', '2.225', '2.321', '2.273', '2.337', '2.247', '2.235', '2.242', '2.243'], testacc=['1.429', '9.515', '68.120', '0.000', '7.637', '0.000', '9.290', '72.568', '39.322', '61.744']
    batch_train_loss: 2.2730, original=2.2730, J6=0.0002
    batch_train_loss: 2.2618, original=2.2618, J6=0.0002
    batch_train_loss: 2.2614, original=2.2614, J6=0.0002
    batch_train_loss: 2.2683, original=2.2683, J6=0.0002
    batch_train_loss: 2.2661, original=2.2661, J6=0.0002
    batch_train_loss: 2.2538, original=2.2538, J6=0.0002
    batch_train_loss: 2.2653, original=2.2653, J6=0.0002
    batch_train_loss: 2.2642, original=2.2642, J6=0.0002
    batch_train_loss: 2.2584, original=2.2584, J6=0.0002
    batch_train_loss: 2.2581, original=2.2581, J6=0.0002
    batch_train_loss: 2.2579, original=2.2579, J6=0.0002
    batch_train_loss: 2.2509, original=2.2509, J6=0.0002
    batch_train_loss: 2.2531, original=2.2531, J6=0.0002
    batch_train_loss: 2.2576, original=2.2576, J6=0.0002
    batch_train_loss: 2.2578, original=2.2578, J6=0.0002
    batch_train_loss: 2.2588, original=2.2588, J6=0.0002
    batch_train_loss: 2.2612, original=2.2612, J6=0.0002
    batch_train_loss: 2.2506, original=2.2506, J6=0.0002
    batch_train_loss: 2.2490, original=2.2490, J6=0.0002
    batch_train_loss: 2.2525, original=2.2525, J6=0.0002
(num=200,lam=0.0001,coef=4.299999999999999)epoch=3, trainloss=2.259, testloss=['2.221', '2.277', '2.215', '2.287', '2.262', '2.325', '2.223', '2.229', '2.217', '2.230'], testacc=['53.061', '8.811', '64.729', '1.584', '13.849', '0.000', '39.040', '66.537', '83.060', '72.151']
    batch_train_loss: 2.2399, original=2.2399, J6=0.0002
    batch_train_loss: 2.2535, original=2.2535, J6=0.0002
    batch_train_loss: 2.2428, original=2.2428, J6=0.0002
    batch_train_loss: 2.2465, original=2.2465, J6=0.0002
    batch_train_loss: 2.2461, original=2.2461, J6=0.0002
    batch_train_loss: 2.2459, original=2.2459, J6=0.0002
    batch_train_loss: 2.2471, original=2.2471, J6=0.0002
    batch_train_loss: 2.2395, original=2.2395, J6=0.0003
    batch_train_loss: 2.2460, original=2.2460, J6=0.0002
    batch_train_loss: 2.2445, original=2.2445, J6=0.0002
    batch_train_loss: 2.2447, original=2.2447, J6=0.0003
    batch_train_loss: 2.2391, original=2.2391, J6=0.0002
    batch_train_loss: 2.2399, original=2.2399, J6=0.0002
    batch_train_loss: 2.2368, original=2.2368, J6=0.0003
    batch_train_loss: 2.2321, original=2.2321, J6=0.0003
    batch_train_loss: 2.2294, original=2.2294, J6=0.0003
    batch_train_loss: 2.2305, original=2.2305, J6=0.0002
    batch_train_loss: 2.2366, original=2.2366, J6=0.0003
    batch_train_loss: 2.2320, original=2.2320, J6=0.0003
    batch_train_loss: 2.2297, original=2.2297, J6=0.0003
(num=200,lam=0.0001,coef=4.299999999999999)epoch=4, trainloss=2.240, testloss=['2.162', '2.277', '2.202', '2.259', '2.239', '2.311', '2.198', '2.223', '2.186', '2.224'], testacc=['91.735', '5.815', '58.915', '7.129', '34.420', '0.448', '64.718', '65.467', '96.304', '54.311']
    batch_train_loss: 2.2279, original=2.2279, J6=0.0002
    batch_train_loss: 2.2303, original=2.2303, J6=0.0002
    batch_train_loss: 2.2263, original=2.2263, J6=0.0002
    batch_train_loss: 2.2273, original=2.2273, J6=0.0003
    batch_train_loss: 2.2303, original=2.2303, J6=0.0003
    batch_train_loss: 2.2209, original=2.2209, J6=0.0003
    batch_train_loss: 2.2219, original=2.2219, J6=0.0003
    batch_train_loss: 2.2190, original=2.2190, J6=0.0003
    batch_train_loss: 2.2228, original=2.2228, J6=0.0003
    batch_train_loss: 2.2179, original=2.2179, J6=0.0003
    batch_train_loss: 2.2239, original=2.2239, J6=0.0003
    batch_train_loss: 2.2150, original=2.2150, J6=0.0003
    batch_train_loss: 2.2072, original=2.2072, J6=0.0003
    batch_train_loss: 2.2111, original=2.2111, J6=0.0003
    batch_train_loss: 2.2250, original=2.2250, J6=0.0003
    batch_train_loss: 2.2134, original=2.2134, J6=0.0003
    batch_train_loss: 2.2111, original=2.2111, J6=0.0003
    batch_train_loss: 2.2029, original=2.2029, J6=0.0003
    batch_train_loss: 2.2015, original=2.2015, J6=0.0003
    batch_train_loss: 2.1944, original=2.1944, J6=0.0003
(num=200,lam=0.0001,coef=4.299999999999999)epoch=5, trainloss=2.218, testloss=['2.104', '2.271', '2.188', '2.234', '2.215', '2.296', '2.158', '2.205', '2.151', '2.216'], testacc=['95.204', '5.639', '50.484', '12.178', '44.094', '0.897', '76.722', '68.385', '98.255', '36.967']
    batch_train_loss: 2.1900, original=2.1900, J6=0.0003
    batch_train_loss: 2.2050, original=2.2050, J6=0.0003
    batch_train_loss: 2.2062, original=2.2062, J6=0.0003
    batch_train_loss: 2.2102, original=2.2102, J6=0.0003
    batch_train_loss: 2.1938, original=2.1938, J6=0.0003
    batch_train_loss: 2.2018, original=2.2018, J6=0.0003
    batch_train_loss: 2.1948, original=2.1948, J6=0.0003
    batch_train_loss: 2.1839, original=2.1839, J6=0.0003
    batch_train_loss: 2.1950, original=2.1950, J6=0.0003
    batch_train_loss: 2.1848, original=2.1848, J6=0.0003
    batch_train_loss: 2.1846, original=2.1846, J6=0.0003
    batch_train_loss: 2.1911, original=2.1911, J6=0.0003
    batch_train_loss: 2.1917, original=2.1917, J6=0.0003
    batch_train_loss: 2.1815, original=2.1815, J6=0.0003
    batch_train_loss: 2.1878, original=2.1878, J6=0.0003
    batch_train_loss: 2.1841, original=2.1841, J6=0.0003
    batch_train_loss: 2.1756, original=2.1756, J6=0.0004
    batch_train_loss: 2.1775, original=2.1775, J6=0.0003
    batch_train_loss: 2.1813, original=2.1813, J6=0.0004
    batch_train_loss: 2.1800, original=2.1800, J6=0.0004
(num=200,lam=0.0001,coef=4.299999999999999)epoch=6, trainloss=2.190, testloss=['2.007', '2.266', '2.167', '2.193', '2.185', '2.278', '2.113', '2.182', '2.129', '2.206'], testacc=['97.653', '10.925', '53.004', '44.653', '55.703', '2.130', '83.194', '70.914', '95.380', '32.706']
    batch_train_loss: 2.1686, original=2.1686, J6=0.0004
    batch_train_loss: 2.1630, original=2.1630, J6=0.0004
    batch_train_loss: 2.1657, original=2.1657, J6=0.0004
    batch_train_loss: 2.1767, original=2.1767, J6=0.0004
    batch_train_loss: 2.1732, original=2.1732, J6=0.0004
    batch_train_loss: 2.1704, original=2.1704, J6=0.0004
    batch_train_loss: 2.1459, original=2.1459, J6=0.0004
    batch_train_loss: 2.1650, original=2.1650, J6=0.0004
    batch_train_loss: 2.1634, original=2.1634, J6=0.0004
    batch_train_loss: 2.1599, original=2.1599, J6=0.0004
    batch_train_loss: 2.1665, original=2.1665, J6=0.0004
    batch_train_loss: 2.1454, original=2.1454, J6=0.0004
    batch_train_loss: 2.1311, original=2.1311, J6=0.0004
    batch_train_loss: 2.1341, original=2.1341, J6=0.0004
    batch_train_loss: 2.1520, original=2.1520, J6=0.0005
    batch_train_loss: 2.1494, original=2.1494, J6=0.0005
    batch_train_loss: 2.1518, original=2.1518, J6=0.0005
    batch_train_loss: 2.1446, original=2.1446, J6=0.0005
    batch_train_loss: 2.1414, original=2.1414, J6=0.0005
    batch_train_loss: 2.1286, original=2.1286, J6=0.0005
(num=200,lam=0.0001,coef=4.299999999999999)epoch=7, trainloss=2.155, testloss=['1.895', '2.253', '2.124', '2.140', '2.161', '2.263', '2.050', '2.166', '2.077', '2.206'], testacc=['98.163', '11.454', '53.198', '58.119', '50.815', '2.130', '82.881', '66.342', '94.969', '15.362']
    batch_train_loss: 2.1372, original=2.1372, J6=0.0005
    batch_train_loss: 2.1231, original=2.1231, J6=0.0004
    batch_train_loss: 2.1170, original=2.1170, J6=0.0005
    batch_train_loss: 2.1216, original=2.1216, J6=0.0005
    batch_train_loss: 2.1333, original=2.1333, J6=0.0005
    batch_train_loss: 2.1076, original=2.1076, J6=0.0005
    batch_train_loss: 2.1164, original=2.1164, J6=0.0005
    batch_train_loss: 2.1243, original=2.1243, J6=0.0005
    batch_train_loss: 2.1112, original=2.1112, J6=0.0005
    batch_train_loss: 2.1186, original=2.1186, J6=0.0005
    batch_train_loss: 2.0947, original=2.0947, J6=0.0005
    batch_train_loss: 2.0830, original=2.0830, J6=0.0005
    batch_train_loss: 2.1050, original=2.1050, J6=0.0006
    batch_train_loss: 2.1064, original=2.1064, J6=0.0006
    batch_train_loss: 2.1184, original=2.1184, J6=0.0006
    batch_train_loss: 2.0981, original=2.0981, J6=0.0005
    batch_train_loss: 2.1073, original=2.1073, J6=0.0007
    batch_train_loss: 2.1025, original=2.1025, J6=0.0006
    batch_train_loss: 2.0636, original=2.0636, J6=0.0006
    batch_train_loss: 2.0873, original=2.0873, J6=0.0006
