[43.77793465 28.69797421 44.29123077 41.57254257 38.99954109 42.50442314
 40.12473488 37.60376167 42.2434845  38.08459625]
    batch_train_loss: 2.3182, original=2.3182, J3=0.0119, J5=0.0004
    batch_train_loss: 2.3205, original=2.3205, J3=0.0116, J5=0.0004
    batch_train_loss: 2.3146, original=2.3146, J3=0.0109, J5=0.0004
    batch_train_loss: 2.3160, original=2.3160, J3=0.0120, J5=0.0004
    batch_train_loss: 2.3228, original=2.3228, J3=0.0121, J5=0.0004
    batch_train_loss: 2.3316, original=2.3316, J3=0.0118, J5=0.0004
    batch_train_loss: 2.3204, original=2.3204, J3=0.0114, J5=0.0004
    batch_train_loss: 2.3103, original=2.3103, J3=0.0114, J5=0.0004
    batch_train_loss: 2.3071, original=2.3071, J3=0.0113, J5=0.0004
    batch_train_loss: 2.3214, original=2.3214, J3=0.0115, J5=0.0004
    batch_train_loss: 2.3208, original=2.3208, J3=0.0119, J5=0.0004
    batch_train_loss: 2.3076, original=2.3076, J3=0.0109, J5=0.0004
    batch_train_loss: 2.3167, original=2.3167, J3=0.0118, J5=0.0004
    batch_train_loss: 2.3159, original=2.3159, J3=0.0115, J5=0.0004
    batch_train_loss: 2.3107, original=2.3107, J3=0.0114, J5=0.0004
    batch_train_loss: 2.3153, original=2.3153, J3=0.0114, J5=0.0004
    batch_train_loss: 2.3125, original=2.3125, J3=0.0114, J5=0.0004
    batch_train_loss: 2.3113, original=2.3113, J3=0.0110, J5=0.0004
    batch_train_loss: 2.3063, original=2.3063, J3=0.0111, J5=0.0004
    batch_train_loss: 2.3088, original=2.3088, J3=0.0106, J5=0.0004
(num=200,lam=0.0001,coef=4.399999999999999)epoch=0, trainloss=2.315, testloss=['2.351', '2.265', '2.252', '2.374', '2.302', '2.351', '2.277', '2.239', '2.292', '2.267'], testacc=['0.000', '25.286', '9.787', '0.000', '0.000', '0.000', '0.104', '85.506', '0.205', '5.154']
    batch_train_loss: 2.3066, original=2.3066, J3=0.0112, J5=0.0004
    batch_train_loss: 2.3081, original=2.3081, J3=0.0111, J5=0.0004
    batch_train_loss: 2.3074, original=2.3074, J3=0.0111, J5=0.0004
    batch_train_loss: 2.3072, original=2.3072, J3=0.0113, J5=0.0004
    batch_train_loss: 2.3051, original=2.3051, J3=0.0116, J5=0.0004
    batch_train_loss: 2.3100, original=2.3100, J3=0.0115, J5=0.0004
    batch_train_loss: 2.3096, original=2.3096, J3=0.0115, J5=0.0004
    batch_train_loss: 2.3087, original=2.3087, J3=0.0114, J5=0.0004
    batch_train_loss: 2.2989, original=2.2989, J3=0.0123, J5=0.0005
    batch_train_loss: 2.2992, original=2.2992, J3=0.0113, J5=0.0004
    batch_train_loss: 2.3024, original=2.3024, J3=0.0117, J5=0.0004
    batch_train_loss: 2.2983, original=2.2983, J3=0.0114, J5=0.0004
    batch_train_loss: 2.3052, original=2.3052, J3=0.0106, J5=0.0004
    batch_train_loss: 2.3054, original=2.3054, J3=0.0118, J5=0.0004
    batch_train_loss: 2.2954, original=2.2954, J3=0.0111, J5=0.0004
    batch_train_loss: 2.3004, original=2.3004, J3=0.0111, J5=0.0004
    batch_train_loss: 2.3006, original=2.3006, J3=0.0106, J5=0.0004
    batch_train_loss: 2.2939, original=2.2939, J3=0.0106, J5=0.0004
    batch_train_loss: 2.2957, original=2.2957, J3=0.0121, J5=0.0004
    batch_train_loss: 2.2945, original=2.2945, J3=0.0101, J5=0.0004
(num=200,lam=0.0001,coef=4.399999999999999)epoch=1, trainloss=2.303, testloss=['2.315', '2.277', '2.242', '2.349', '2.284', '2.337', '2.265', '2.238', '2.264', '2.257'], testacc=['0.000', '9.604', '43.217', '0.000', '1.935', '0.000', '2.192', '84.825', '4.620', '29.633']
    batch_train_loss: 2.2975, original=2.2975, J3=0.0120, J5=0.0005
    batch_train_loss: 2.2915, original=2.2915, J3=0.0115, J5=0.0004
    batch_train_loss: 2.2929, original=2.2929, J3=0.0118, J5=0.0004
    batch_train_loss: 2.2893, original=2.2893, J3=0.0114, J5=0.0004
    batch_train_loss: 2.2890, original=2.2890, J3=0.0115, J5=0.0004
    batch_train_loss: 2.2929, original=2.2929, J3=0.0113, J5=0.0004
    batch_train_loss: 2.2881, original=2.2881, J3=0.0109, J5=0.0004
    batch_train_loss: 2.2944, original=2.2944, J3=0.0117, J5=0.0004
    batch_train_loss: 2.2865, original=2.2865, J3=0.0114, J5=0.0004
    batch_train_loss: 2.2876, original=2.2876, J3=0.0110, J5=0.0004
    batch_train_loss: 2.2860, original=2.2860, J3=0.0103, J5=0.0004
    batch_train_loss: 2.2867, original=2.2867, J3=0.0092, J5=0.0003
    batch_train_loss: 2.2848, original=2.2848, J3=0.0118, J5=0.0004
    batch_train_loss: 2.2817, original=2.2817, J3=0.0113, J5=0.0004
    batch_train_loss: 2.2876, original=2.2876, J3=0.0116, J5=0.0004
