[ 9.9495306   6.52226686 10.06618881  9.44830513  8.86353207  9.66009617
  9.11925793  8.54630947  9.60079193  8.65559006]
    batch_train_loss: 2.3484, original=2.3484, J3=0.3806
    batch_train_loss: 2.3511, original=2.3511, J3=0.3817
    batch_train_loss: 2.3431, original=2.3431, J3=0.3532
    batch_train_loss: 2.3459, original=2.3459, J3=0.3804
    batch_train_loss: 2.3524, original=2.3524, J3=0.3822
    batch_train_loss: 2.3606, original=2.3606, J3=0.3815
    batch_train_loss: 2.3499, original=2.3499, J3=0.3769
    batch_train_loss: 2.3384, original=2.3384, J3=0.3543
    batch_train_loss: 2.3339, original=2.3339, J3=0.3411
    batch_train_loss: 2.3507, original=2.3507, J3=0.3724
    batch_train_loss: 2.3476, original=2.3476, J3=0.3541
    batch_train_loss: 2.3325, original=2.3325, J3=0.3267
    batch_train_loss: 2.3474, original=2.3474, J3=0.3854
    batch_train_loss: 2.3443, original=2.3443, J3=0.3685
    batch_train_loss: 2.3396, original=2.3396, J3=0.3700
    batch_train_loss: 2.3466, original=2.3466, J3=0.3879
    batch_train_loss: 2.3415, original=2.3415, J3=0.3798
    batch_train_loss: 2.3404, original=2.3404, J3=0.3707
    batch_train_loss: 2.3354, original=2.3354, J3=0.3687
    batch_train_loss: 2.3357, original=2.3357, J3=0.3586
(num=200,lam=0.001,coef=1.0)epoch=0, trainloss=2.344, testloss=['2.351', '2.265', '2.253', '2.374', '2.302', '2.350', '2.277', '2.239', '2.292', '2.268'], testacc=['0.000', '25.463', '9.787', '0.000', '0.000', '0.000', '0.104', '85.700', '0.205', '4.955']
    batch_train_loss: 2.3346, original=2.3346, J3=0.3568
    batch_train_loss: 2.3353, original=2.3353, J3=0.3526
    batch_train_loss: 2.3340, original=2.3340, J3=0.3476
    batch_train_loss: 2.3345, original=2.3345, J3=0.3575
    batch_train_loss: 2.3353, original=2.3353, J3=0.3909
    batch_train_loss: 2.3374, original=2.3374, J3=0.3661
    batch_train_loss: 2.3380, original=2.3380, J3=0.3776
    batch_train_loss: 2.3369, original=2.3369, J3=0.3759
    batch_train_loss: 2.3274, original=2.3274, J3=0.3794
    batch_train_loss: 2.3276, original=2.3276, J3=0.3727
    batch_train_loss: 2.3305, original=2.3305, J3=0.3757
    batch_train_loss: 2.3257, original=2.3257, J3=0.3648
    batch_train_loss: 2.3316, original=2.3316, J3=0.3484
    batch_train_loss: 2.3340, original=2.3340, J3=0.3819
    batch_train_loss: 2.3211, original=2.3211, J3=0.3458
    batch_train_loss: 2.3271, original=2.3271, J3=0.3633
    batch_train_loss: 2.3265, original=2.3265, J3=0.3457
    batch_train_loss: 2.3196, original=2.3196, J3=0.3394
    batch_train_loss: 2.3239, original=2.3239, J3=0.3788
    batch_train_loss: 2.3212, original=2.3212, J3=0.3490
(num=200,lam=0.001,coef=1.0)epoch=1, trainloss=2.330, testloss=['2.318', '2.276', '2.244', '2.351', '2.284', '2.337', '2.267', '2.238', '2.266', '2.258'], testacc=['0.000', '10.485', '41.570', '0.000', '2.037', '0.000', '1.983', '86.479', '4.209', '27.750']
    batch_train_loss: 2.3253, original=2.3253, J3=0.3754
    batch_train_loss: 2.3203, original=2.3203, J3=0.3831
    batch_train_loss: 2.3201, original=2.3201, J3=0.3667
    batch_train_loss: 2.3189, original=2.3189, J3=0.3882
    batch_train_loss: 2.3147, original=2.3147, J3=0.3472
    batch_train_loss: 2.3213, original=2.3213, J3=0.3747
    batch_train_loss: 2.3145, original=2.3145, J3=0.3413
    batch_train_loss: 2.3227, original=2.3227, J3=0.3691
    batch_train_loss: 2.3125, original=2.3125, J3=0.3547
    batch_train_loss: 2.3153, original=2.3153, J3=0.3624
    batch_train_loss: 2.3105, original=2.3105, J3=0.3197
    batch_train_loss: 2.3096, original=2.3096, J3=0.2951
    batch_train_loss: 2.3125, original=2.3125, J3=0.3649
    batch_train_loss: 2.3090, original=2.3090, J3=0.3558
    batch_train_loss: 2.3149, original=2.3149, J3=0.3641
    batch_train_loss: 2.3096, original=2.3096, J3=0.3428
    batch_train_loss: 2.3209, original=2.3209, J3=0.3638
    batch_train_loss: 2.3091, original=2.3091, J3=0.3563
    batch_train_loss: 2.3102, original=2.3102, J3=0.3814
    batch_train_loss: 2.3140, original=2.3140, J3=0.3583
(num=200,lam=0.001,coef=1.0)epoch=2, trainloss=2.315, testloss=['2.274', '2.276', '2.232', '2.330', '2.276', '2.336', '2.255', '2.237', '2.250', '2.246'], testacc=['0.510', '12.863', '66.085', '0.000', '6.008', '0.000', '6.994', '76.654', '28.747', '63.231']
    batch_train_loss: 2.3149, original=2.3149, J3=0.3647
    batch_train_loss: 2.3035, original=2.3035, J3=0.3586
    batch_train_loss: 2.3041, original=2.3041, J3=0.3772
    batch_train_loss: 2.3088, original=2.3088, J3=0.3420
    batch_train_loss: 2.3077, original=2.3077, J3=0.3562
    batch_train_loss: 2.2969, original=2.2969, J3=0.3704
    batch_train_loss: 2.3073, original=2.3073, J3=0.3544
    batch_train_loss: 2.3040, original=2.3040, J3=0.3373
    batch_train_loss: 2.2991, original=2.2991, J3=0.3474
    batch_train_loss: 2.2963, original=2.2963, J3=0.3138
    batch_train_loss: 2.3029, original=2.3029, J3=0.3702
    batch_train_loss: 2.2935, original=2.2935, J3=0.3417
    batch_train_loss: 2.2963, original=2.2963, J3=0.3546
    batch_train_loss: 2.3024, original=2.3024, J3=0.3710
    batch_train_loss: 2.3009, original=2.3009, J3=0.3601
    batch_train_loss: 2.3010, original=2.3010, J3=0.3463
    batch_train_loss: 2.3053, original=2.3053, J3=0.3666
    batch_train_loss: 2.2963, original=2.2963, J3=0.3759
    batch_train_loss: 2.2937, original=2.2937, J3=0.3513
    batch_train_loss: 2.2982, original=2.2982, J3=0.3694
(num=200,lam=0.001,coef=1.0)epoch=3, trainloss=2.302, testloss=['2.244', '2.275', '2.227', '2.303', '2.269', '2.324', '2.237', '2.232', '2.233', '2.235'], testacc=['23.673', '13.480', '66.667', '0.396', '10.183', '0.000', '25.365', '70.720', '68.275', '79.881']
    batch_train_loss: 2.2865, original=2.2865, J3=0.3661
