[10.94448366  7.17449355 11.07280769 10.39313564  9.74988527 10.62610579
 10.03118372  9.40094042 10.56087112  9.52114906]
    batch_train_loss: 2.3568, original=2.3568, J3=0.4551
    batch_train_loss: 2.3593, original=2.3593, J3=0.4553
    batch_train_loss: 2.3509, original=2.3509, J3=0.4220
    batch_train_loss: 2.3544, original=2.3544, J3=0.4563
    batch_train_loss: 2.3610, original=2.3610, J3=0.4599
    batch_train_loss: 2.3690, original=2.3690, J3=0.4586
    batch_train_loss: 2.3579, original=2.3579, J3=0.4502
    batch_train_loss: 2.3464, original=2.3464, J3=0.4250
    batch_train_loss: 2.3417, original=2.3417, J3=0.4104
    batch_train_loss: 2.3586, original=2.3586, J3=0.4444
    batch_train_loss: 2.3559, original=2.3559, J3=0.4287
    batch_train_loss: 2.3399, original=2.3399, J3=0.3943
    batch_train_loss: 2.3556, original=2.3556, J3=0.4596
    batch_train_loss: 2.3522, original=2.3522, J3=0.4414
    batch_train_loss: 2.3473, original=2.3473, J3=0.4420
    batch_train_loss: 2.3543, original=2.3543, J3=0.4587
    batch_train_loss: 2.3492, original=2.3492, J3=0.4529
    batch_train_loss: 2.3478, original=2.3478, J3=0.4402
    batch_train_loss: 2.3428, original=2.3428, J3=0.4374
    batch_train_loss: 2.3427, original=2.3427, J3=0.4266
(num=200,lam=0.001,coef=1.1)epoch=0, trainloss=2.352, testloss=['2.351', '2.265', '2.253', '2.375', '2.302', '2.350', '2.277', '2.239', '2.292', '2.268'], testacc=['0.000', '25.022', '9.690', '0.000', '0.000', '0.000', '0.209', '85.798', '0.205', '4.856']
    batch_train_loss: 2.3420, original=2.3420, J3=0.4250
    batch_train_loss: 2.3426, original=2.3426, J3=0.4210
    batch_train_loss: 2.3412, original=2.3412, J3=0.4155
    batch_train_loss: 2.3418, original=2.3418, J3=0.4269
    batch_train_loss: 2.3428, original=2.3428, J3=0.4638
    batch_train_loss: 2.3448, original=2.3448, J3=0.4383
    batch_train_loss: 2.3454, original=2.3454, J3=0.4502
    batch_train_loss: 2.3443, original=2.3443, J3=0.4479
    batch_train_loss: 2.3353, original=2.3353, J3=0.4559
    batch_train_loss: 2.3348, original=2.3348, J3=0.4427
    batch_train_loss: 2.3378, original=2.3378, J3=0.4488
    batch_train_loss: 2.3329, original=2.3329, J3=0.4354
    batch_train_loss: 2.3382, original=2.3382, J3=0.4138
    batch_train_loss: 2.3413, original=2.3413, J3=0.4549
    batch_train_loss: 2.3280, original=2.3280, J3=0.4133
    batch_train_loss: 2.3340, original=2.3340, J3=0.4330
    batch_train_loss: 2.3331, original=2.3331, J3=0.4112
    batch_train_loss: 2.3261, original=2.3261, J3=0.4040
