[27.85868568 18.26234722 28.18532867 26.45525436 24.81788979 27.04826927
 25.5339222  23.92966652 26.88221741 24.23565216]
    batch_train_loss: 2.4147, original=2.4147, J3=0.9658
    batch_train_loss: 2.4152, original=2.4152, J3=0.9522
    batch_train_loss: 2.4034, original=2.4034, J3=0.8865
    batch_train_loss: 2.4129, original=2.4129, J3=0.9793
    batch_train_loss: 2.4202, original=2.4202, J3=0.9947
    batch_train_loss: 2.4266, original=2.4266, J3=0.9886
    batch_train_loss: 2.4117, original=2.4117, J3=0.9447
    batch_train_loss: 2.4011, original=2.4011, J3=0.9127
    batch_train_loss: 2.3961, original=2.3961, J3=0.8974
    batch_train_loss: 2.4119, original=2.4119, J3=0.9338
    batch_train_loss: 2.4136, original=2.4136, J3=0.9573
    batch_train_loss: 2.3916, original=2.3916, J3=0.8707
    batch_train_loss: 2.4083, original=2.4083, J3=0.9501
    batch_train_loss: 2.4046, original=2.4046, J3=0.9366
    batch_train_loss: 2.3978, original=2.3978, J3=0.9224
    batch_train_loss: 2.4027, original=2.4027, J3=0.9171
    batch_train_loss: 2.3991, original=2.3991, J3=0.9393
    batch_train_loss: 2.3949, original=2.3949, J3=0.8985
    batch_train_loss: 2.3889, original=2.3889, J3=0.8862
    batch_train_loss: 2.3870, original=2.3870, J3=0.8770
(num=200,lam=0.001,coef=2.8000000000000003)epoch=0, trainloss=2.405, testloss=['2.352', '2.265', '2.254', '2.376', '2.301', '2.350', '2.278', '2.240', '2.292', '2.269'], testacc=['0.000', '25.727', '9.205', '0.000', '0.000', '0.000', '0.209', '85.700', '0.205', '4.262']
    batch_train_loss: 2.3890, original=2.3890, J3=0.8803
    batch_train_loss: 2.3894, original=2.3894, J3=0.8813
    batch_train_loss: 2.3869, original=2.3869, J3=0.8709
    batch_train_loss: 2.3882, original=2.3882, J3=0.8925
    batch_train_loss: 2.3889, original=2.3889, J3=0.9363
    batch_train_loss: 2.3917, original=2.3917, J3=0.9247
    batch_train_loss: 2.3916, original=2.3916, J3=0.9309
    batch_train_loss: 2.3892, original=2.3892, J3=0.9191
    batch_train_loss: 2.3847, original=2.3847, J3=0.9699
    batch_train_loss: 2.3784, original=2.3784, J3=0.8989
    batch_train_loss: 2.3830, original=2.3830, J3=0.9318
