[28.85363874 18.91457391 29.19194756 27.40008488 25.70424299 28.01427889
 26.44584799 24.78429747 27.8422966  25.10121117]
    batch_train_loss: 2.4158, original=2.4158, J3=0.9752
    batch_train_loss: 2.4162, original=2.4162, J3=0.9612
    batch_train_loss: 2.4043, original=2.4043, J3=0.8949
    batch_train_loss: 2.4140, original=2.4140, J3=0.9889
    batch_train_loss: 2.4213, original=2.4213, J3=1.0045
    batch_train_loss: 2.4277, original=2.4277, J3=0.9983
    batch_train_loss: 2.4127, original=2.4127, J3=0.9537
    batch_train_loss: 2.4022, original=2.4022, J3=0.9217
    batch_train_loss: 2.3971, original=2.3971, J3=0.9065
    batch_train_loss: 2.4128, original=2.4128, J3=0.9427
    batch_train_loss: 2.4146, original=2.4146, J3=0.9672
    batch_train_loss: 2.3926, original=2.3926, J3=0.8796
    batch_train_loss: 2.4092, original=2.4092, J3=0.9588
    batch_train_loss: 2.4055, original=2.4055, J3=0.9455
    batch_train_loss: 2.3987, original=2.3987, J3=0.9310
    batch_train_loss: 2.4036, original=2.4036, J3=0.9251
    batch_train_loss: 2.4000, original=2.4000, J3=0.9480
    batch_train_loss: 2.3957, original=2.3957, J3=0.9067
    batch_train_loss: 2.3897, original=2.3897, J3=0.8941
    batch_train_loss: 2.3877, original=2.3877, J3=0.8850
(num=200,lam=0.001,coef=2.9000000000000004)epoch=0, trainloss=2.406, testloss=['2.352', '2.265', '2.254', '2.376', '2.301', '2.350', '2.278', '2.240', '2.292', '2.269'], testacc=['0.000', '25.727', '9.109', '0.000', '0.000', '0.000', '0.209', '85.895', '0.205', '4.163']
    batch_train_loss: 2.3899, original=2.3899, J3=0.8885
    batch_train_loss: 2.3902, original=2.3902, J3=0.8896
    batch_train_loss: 2.3877, original=2.3877, J3=0.8791
    batch_train_loss: 2.3889, original=2.3889, J3=0.9008
    batch_train_loss: 2.3897, original=2.3897, J3=0.9446
    batch_train_loss: 2.3925, original=2.3925, J3=0.9335
    batch_train_loss: 2.3923, original=2.3923, J3=0.9394
    batch_train_loss: 2.3900, original=2.3900, J3=0.9274
    batch_train_loss: 2.3856, original=2.3856, J3=0.9791
    batch_train_loss: 2.3791, original=2.3791, J3=0.9069
    batch_train_loss: 2.3838, original=2.3838, J3=0.9403
    batch_train_loss: 2.3772, original=2.3772, J3=0.9092
    batch_train_loss: 2.3786, original=2.3786, J3=0.8454
    batch_train_loss: 2.3867, original=2.3867, J3=0.9455
    batch_train_loss: 2.3707, original=2.3707, J3=0.8743
    batch_train_loss: 2.3758, original=2.3758, J3=0.8990
    batch_train_loss: 2.3730, original=2.3730, J3=0.8463
    batch_train_loss: 2.3660, original=2.3660, J3=0.8363
    batch_train_loss: 2.3763, original=2.3763, J3=0.9522
    batch_train_loss: 2.3627, original=2.3627, J3=0.8051
(num=200,lam=0.001,coef=2.9000000000000004)epoch=1, trainloss=2.382, testloss=['2.322', '2.273', '2.250', '2.356', '2.285', '2.336', '2.270', '2.239', '2.270', '2.260'], testacc=['0.000', '12.159', '36.337', '0.000', '1.527', '0.000', '1.983', '89.591', '3.080', '24.975']
    batch_train_loss: 2.3759, original=2.3759, J3=0.9342
    batch_train_loss: 2.3683, original=2.3683, J3=0.9159
    batch_train_loss: 2.3697, original=2.3697, J3=0.9161
    batch_train_loss: 2.3658, original=2.3658, J3=0.9117
    batch_train_loss: 2.3637, original=2.3637, J3=0.8900
    batch_train_loss: 2.3683, original=2.3683, J3=0.8943
    batch_train_loss: 2.3580, original=2.3580, J3=0.8196
    batch_train_loss: 2.3706, original=2.3706, J3=0.8996
    batch_train_loss: 2.3601, original=2.3601, J3=0.8990
    batch_train_loss: 2.3598, original=2.3598, J3=0.8593
    batch_train_loss: 2.3523, original=2.3523, J3=0.7827
    batch_train_loss: 2.3471, original=2.3471, J3=0.7064
    batch_train_loss: 2.3606, original=2.3606, J3=0.8998
    batch_train_loss: 2.3542, original=2.3542, J3=0.8604
