[29.8485918  19.56680059 30.19856644 28.34491539 26.5905962  28.98028851
 27.35777378 25.63892841 28.80237579 25.96677017]
    batch_train_loss: 2.4167, original=2.4167, J3=0.9838
    batch_train_loss: 2.4171, original=2.4171, J3=0.9694
    batch_train_loss: 2.4052, original=2.4052, J3=0.9025
    batch_train_loss: 2.4150, original=2.4150, J3=0.9977
    batch_train_loss: 2.4223, original=2.4223, J3=1.0135
    batch_train_loss: 2.4286, original=2.4286, J3=1.0071
    batch_train_loss: 2.4135, original=2.4135, J3=0.9618
    batch_train_loss: 2.4031, original=2.4031, J3=0.9299
    batch_train_loss: 2.3980, original=2.3980, J3=0.9148
    batch_train_loss: 2.4137, original=2.4137, J3=0.9508
    batch_train_loss: 2.4156, original=2.4156, J3=0.9762
    batch_train_loss: 2.3935, original=2.3935, J3=0.8877
    batch_train_loss: 2.4100, original=2.4100, J3=0.9668
    batch_train_loss: 2.4064, original=2.4064, J3=0.9537
    batch_train_loss: 2.3995, original=2.3995, J3=0.9389
    batch_train_loss: 2.4043, original=2.4043, J3=0.9324
    batch_train_loss: 2.4007, original=2.4007, J3=0.9560
    batch_train_loss: 2.3964, original=2.3964, J3=0.9141
    batch_train_loss: 2.3904, original=2.3904, J3=0.9013
    batch_train_loss: 2.3884, original=2.3884, J3=0.8923
(num=200,lam=0.001,coef=3.0000000000000004)epoch=0, trainloss=2.407, testloss=['2.352', '2.265', '2.254', '2.376', '2.301', '2.350', '2.278', '2.240', '2.292', '2.269'], testacc=['0.000', '25.639', '9.109', '0.000', '0.000', '0.000', '0.209', '85.895', '0.205', '4.163']
    batch_train_loss: 2.3906, original=2.3906, J3=0.8959
    batch_train_loss: 2.3909, original=2.3909, J3=0.8972
    batch_train_loss: 2.3884, original=2.3884, J3=0.8865
    batch_train_loss: 2.3897, original=2.3897, J3=0.9084
    batch_train_loss: 2.3904, original=2.3904, J3=0.9521
    batch_train_loss: 2.3932, original=2.3932, J3=0.9415
    batch_train_loss: 2.3930, original=2.3930, J3=0.9472
    batch_train_loss: 2.3907, original=2.3907, J3=0.9350
    batch_train_loss: 2.3863, original=2.3863, J3=0.9875
    batch_train_loss: 2.3797, original=2.3797, J3=0.9142
    batch_train_loss: 2.3844, original=2.3844, J3=0.9481
    batch_train_loss: 2.3778, original=2.3778, J3=0.9167
    batch_train_loss: 2.3792, original=2.3792, J3=0.8521
    batch_train_loss: 2.3874, original=2.3874, J3=0.9532
    batch_train_loss: 2.3713, original=2.3713, J3=0.8817
    batch_train_loss: 2.3765, original=2.3765, J3=0.9063
    batch_train_loss: 2.3736, original=2.3736, J3=0.8531
    batch_train_loss: 2.3666, original=2.3666, J3=0.8432
    batch_train_loss: 2.3770, original=2.3770, J3=0.9601
    batch_train_loss: 2.3632, original=2.3632, J3=0.8111
(num=200,lam=0.001,coef=3.0000000000000004)epoch=1, trainloss=2.382, testloss=['2.322', '2.273', '2.250', '2.356', '2.285', '2.336', '2.270', '2.239', '2.270', '2.260'], testacc=['0.000', '12.159', '36.434', '0.000', '1.426', '0.000', '1.983', '89.689', '3.080', '24.777']
    batch_train_loss: 2.3765, original=2.3765, J3=0.9418
    batch_train_loss: 2.3689, original=2.3689, J3=0.9230
    batch_train_loss: 2.3703, original=2.3703, J3=0.9236
    batch_train_loss: 2.3663, original=2.3663, J3=0.9186
    batch_train_loss: 2.3643, original=2.3643, J3=0.8975
    batch_train_loss: 2.3688, original=2.3688, J3=0.9013
    batch_train_loss: 2.3585, original=2.3585, J3=0.8260
    batch_train_loss: 2.3711, original=2.3711, J3=0.9068
    batch_train_loss: 2.3606, original=2.3606, J3=0.9064
    batch_train_loss: 2.3603, original=2.3603, J3=0.8659
    batch_train_loss: 2.3528, original=2.3528, J3=0.7890
    batch_train_loss: 2.3476, original=2.3476, J3=0.7121
    batch_train_loss: 2.3611, original=2.3611, J3=0.9070
    batch_train_loss: 2.3547, original=2.3547, J3=0.8672
    batch_train_loss: 2.3616, original=2.3616, J3=0.9010
    batch_train_loss: 2.3535, original=2.3535, J3=0.8280
    batch_train_loss: 2.3661, original=2.3661, J3=0.8885
    batch_train_loss: 2.3536, original=2.3536, J3=0.8473
    batch_train_loss: 2.3542, original=2.3542, J3=0.8891
    batch_train_loss: 2.3562, original=2.3562, J3=0.8342
(num=200,lam=0.001,coef=3.0000000000000004)epoch=2, trainloss=2.361, testloss=['2.288', '2.273', '2.242', '2.340', '2.280', '2.334', '2.263', '2.240', '2.260', '2.250'], testacc=['0.000', '18.767', '60.368', '0.000', '4.175', '0.000', '4.697', '79.767', '18.789', '60.258']
    batch_train_loss: 2.3590, original=2.3590, J3=0.8630
    batch_train_loss: 2.3492, original=2.3492, J3=0.8668
