[31.83849792 20.87125397 32.2118042  30.23457642 28.36330261 30.91230774
 29.18162537 27.34819031 30.72253418 27.69788818]
    batch_train_loss: 2.4184, original=2.4184, J3=0.9987
    batch_train_loss: 2.4188, original=2.4188, J3=0.9837
    batch_train_loss: 2.4067, original=2.4067, J3=0.9159
    batch_train_loss: 2.4167, original=2.4167, J3=1.0130
    batch_train_loss: 2.4240, original=2.4240, J3=1.0291
    batch_train_loss: 2.4303, original=2.4303, J3=1.0226
    batch_train_loss: 2.4151, original=2.4151, J3=0.9761
    batch_train_loss: 2.4047, original=2.4047, J3=0.9442
    batch_train_loss: 2.3996, original=2.3996, J3=0.9293
    batch_train_loss: 2.4152, original=2.4152, J3=0.9650
    batch_train_loss: 2.4173, original=2.4173, J3=0.9920
    batch_train_loss: 2.3950, original=2.3950, J3=0.9019
    batch_train_loss: 2.4115, original=2.4115, J3=0.9806
    batch_train_loss: 2.4078, original=2.4078, J3=0.9680
    batch_train_loss: 2.4009, original=2.4009, J3=0.9525
    batch_train_loss: 2.4056, original=2.4056, J3=0.9452
    batch_train_loss: 2.4021, original=2.4021, J3=0.9698
    batch_train_loss: 2.3977, original=2.3977, J3=0.9270
    batch_train_loss: 2.3916, original=2.3916, J3=0.9138
    batch_train_loss: 2.3896, original=2.3896, J3=0.9051
(num=200,lam=0.001,coef=3.2000000000000006)epoch=0, trainloss=2.408, testloss=['2.352', '2.265', '2.254', '2.376', '2.301', '2.350', '2.278', '2.240', '2.292', '2.269'], testacc=['0.000', '25.551', '9.205', '0.000', '0.000', '0.000', '0.209', '86.089', '0.205', '4.163']
    batch_train_loss: 2.3919, original=2.3919, J3=0.9089
    batch_train_loss: 2.3922, original=2.3922, J3=0.9104
    batch_train_loss: 2.3897, original=2.3897, J3=0.8995
    batch_train_loss: 2.3909, original=2.3909, J3=0.9217
    batch_train_loss: 2.3916, original=2.3916, J3=0.9652
    batch_train_loss: 2.3945, original=2.3945, J3=0.9554
    batch_train_loss: 2.3943, original=2.3943, J3=0.9608
    batch_train_loss: 2.3918, original=2.3918, J3=0.9481
    batch_train_loss: 2.3876, original=2.3876, J3=1.0021
    batch_train_loss: 2.3808, original=2.3808, J3=0.9269
    batch_train_loss: 2.3856, original=2.3856, J3=0.9617
    batch_train_loss: 2.3789, original=2.3789, J3=0.9298
    batch_train_loss: 2.3802, original=2.3802, J3=0.8639
    batch_train_loss: 2.3886, original=2.3886, J3=0.9668
    batch_train_loss: 2.3724, original=2.3724, J3=0.8946
    batch_train_loss: 2.3775, original=2.3775, J3=0.9192
    batch_train_loss: 2.3746, original=2.3746, J3=0.8650
    batch_train_loss: 2.3676, original=2.3676, J3=0.8551
    batch_train_loss: 2.3781, original=2.3781, J3=0.9737
    batch_train_loss: 2.3640, original=2.3640, J3=0.8217
(num=200,lam=0.001,coef=3.2000000000000006)epoch=1, trainloss=2.384, testloss=['2.323', '2.273', '2.250', '2.357', '2.285', '2.336', '2.270', '2.239', '2.270', '2.260'], testacc=['0.000', '12.159', '36.434', '0.000', '1.426', '0.000', '1.983', '89.786', '3.080', '24.678']
    batch_train_loss: 2.3775, original=2.3775, J3=0.9551
    batch_train_loss: 2.3698, original=2.3698, J3=0.9355
    batch_train_loss: 2.3713, original=2.3713, J3=0.9367
    batch_train_loss: 2.3673, original=2.3673, J3=0.9307
    batch_train_loss: 2.3654, original=2.3654, J3=0.9107
