    batch_train_loss: 2.3118, original=2.3118, J3=0.0047, J5=0.0002
    batch_train_loss: 2.3211, original=2.3211, J3=0.0048, J5=0.0002
    batch_train_loss: 2.3101, original=2.3101, J3=0.0049, J5=0.0002
    batch_train_loss: 2.3204, original=2.3204, J3=0.0048, J5=0.0002
    batch_train_loss: 2.3153, original=2.3153, J3=0.0049, J5=0.0002
    batch_train_loss: 2.3078, original=2.3078, J3=0.0048, J5=0.0002
    batch_train_loss: 2.3043, original=2.3043, J3=0.0049, J5=0.0002
    batch_train_loss: 2.3037, original=2.3037, J3=0.0048, J5=0.0002
    batch_train_loss: 2.3067, original=2.3067, J3=0.0047, J5=0.0002
    batch_train_loss: 2.3070, original=2.3070, J3=0.0049, J5=0.0002
(num=100,lam=0.0001,bw=0.018329807108324356)epoch=0, trainloss=2.311, testloss=['2.369', '2.260', '2.252', '2.387', '2.308', '2.356', '2.287', '2.238', '2.304', '2.272'], testacc=['0.000', '24.493', '4.457', '0.000', '0.000', '0.000', '0.000', '68.191', '0.103', '1.883']
    batch_train_loss: 2.3113, original=2.3113, J3=0.0049, J5=0.0002
    batch_train_loss: 2.3078, original=2.3078, J3=0.0047, J5=0.0002
    batch_train_loss: 2.3076, original=2.3076, J3=0.0049, J5=0.0002
    batch_train_loss: 2.3075, original=2.3075, J3=0.0049, J5=0.0002
    batch_train_loss: 2.3071, original=2.3071, J3=0.0049, J5=0.0002
    batch_train_loss: 2.3018, original=2.3018, J3=0.0048, J5=0.0002
    batch_train_loss: 2.3122, original=2.3122, J3=0.0048, J5=0.0002
    batch_train_loss: 2.3028, original=2.3028, J3=0.0046, J5=0.0002
    batch_train_loss: 2.2981, original=2.2981, J3=0.0046, J5=0.0002
    batch_train_loss: 2.3023, original=2.3023, J3=0.0049, J5=0.0002
(num=100,lam=0.0001,bw=0.018329807108324356)epoch=1, trainloss=2.306, testloss=['2.352', '2.265', '2.248', '2.377', '2.301', '2.352', '2.280', '2.237', '2.292', '2.268'], testacc=['0.000', '22.819', '11.628', '0.000', '0.000', '0.000', '0.104', '86.479', '0.205', '3.865']
    batch_train_loss: 2.2979, original=2.2979, J3=0.0048, J5=0.0002
    batch_train_loss: 2.2960, original=2.2960, J3=0.0047, J5=0.0002
    batch_train_loss: 2.2944, original=2.2944, J3=0.0046, J5=0.0002
    batch_train_loss: 2.3055, original=2.3055, J3=0.0049, J5=0.0002
    batch_train_loss: 2.2990, original=2.2990, J3=0.0049, J5=0.0002
    batch_train_loss: 2.2986, original=2.2986, J3=0.0048, J5=0.0002
    batch_train_loss: 2.2974, original=2.2974, J3=0.0048, J5=0.0002
    batch_train_loss: 2.2936, original=2.2936, J3=0.0048, J5=0.0002
    batch_train_loss: 2.2957, original=2.2957, J3=0.0048, J5=0.0002
    batch_train_loss: 2.3138, original=2.3138, J3=0.0049, J5=0.0002
(num=100,lam=0.0001,bw=0.018329807108324356)epoch=2, trainloss=2.299, testloss=['2.334', '2.268', '2.247', '2.364', '2.293', '2.351', '2.268', '2.235', '2.278', '2.264'], testacc=['0.000', '21.322', '21.124', '0.000', '0.102', '0.000', '1.566', '91.342', '0.411', '9.812']
    batch_train_loss: 2.3014, original=2.3014, J3=0.0049, J5=0.0002
    batch_train_loss: 2.2966, original=2.2966, J3=0.0050, J5=0.0002
    batch_train_loss: 2.2899, original=2.2899, J3=0.0048, J5=0.0002
    batch_train_loss: 2.2882, original=2.2882, J3=0.0047, J5=0.0002
    batch_train_loss: 2.2995, original=2.2995, J3=0.0047, J5=0.0002
    batch_train_loss: 2.2925, original=2.2925, J3=0.0048, J5=0.0002
    batch_train_loss: 2.2855, original=2.2855, J3=0.0049, J5=0.0002
    batch_train_loss: 2.2927, original=2.2927, J3=0.0048, J5=0.0002
    batch_train_loss: 2.2858, original=2.2858, J3=0.0048, J5=0.0002
    batch_train_loss: 2.2871, original=2.2871, J3=0.0049, J5=0.0002
(num=100,lam=0.0001,bw=0.018329807108324356)epoch=3, trainloss=2.292, testloss=['2.313', '2.273', '2.241', '2.348', '2.290', '2.342', '2.262', '2.235', '2.265', '2.259'], testacc=['0.000', '17.269', '41.667', '0.000', '1.120', '0.000', '3.027', '89.300', '4.107', '21.903']
    batch_train_loss: 2.2858, original=2.2858, J3=0.0047, J5=0.0002
    batch_train_loss: 2.2922, original=2.2922, J3=0.0048, J5=0.0002
    batch_train_loss: 2.2857, original=2.2857, J3=0.0049, J5=0.0002
    batch_train_loss: 2.2788, original=2.2788, J3=0.0048, J5=0.0002
    batch_train_loss: 2.2853, original=2.2853, J3=0.0048, J5=0.0002
    batch_train_loss: 2.2843, original=2.2843, J3=0.0049, J5=0.0002
    batch_train_loss: 2.2798, original=2.2798, J3=0.0048, J5=0.0002
    batch_train_loss: 2.2845, original=2.2845, J3=0.0048, J5=0.0002
    batch_train_loss: 2.2861, original=2.2861, J3=0.0048, J5=0.0002
    batch_train_loss: 2.2814, original=2.2814, J3=0.0049, J5=0.0002
(num=100,lam=0.0001,bw=0.018329807108324356)epoch=4, trainloss=2.284, testloss=['2.289', '2.275', '2.236', '2.335', '2.281', '2.337', '2.252', '2.236', '2.258', '2.250'], testacc=['0.000', '16.300', '55.426', '0.000', '3.971', '0.000', '8.351', '80.934', '11.807', '48.662']
    batch_train_loss: 2.2840, original=2.2840, J3=0.0050, J5=0.0002
    batch_train_loss: 2.2767, original=2.2767, J3=0.0049, J5=0.0002
    batch_train_loss: 2.2854, original=2.2854, J3=0.0048, J5=0.0002
    batch_train_loss: 2.2695, original=2.2695, J3=0.0048, J5=0.0002
    batch_train_loss: 2.2780, original=2.2780, J3=0.0048, J5=0.0002
    batch_train_loss: 2.2783, original=2.2783, J3=0.0050, J5=0.0002
    batch_train_loss: 2.2694, original=2.2694, J3=0.0049, J5=0.0002
    batch_train_loss: 2.2764, original=2.2764, J3=0.0046, J5=0.0002
    batch_train_loss: 2.2770, original=2.2770, J3=0.0051, J5=0.0002
